Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
1990-03-27,3.85,3.85,3.85,3.85,491,0,,,,,3.85,,,,,,0.0,0.0,,
1990-03-28,3.45,3.45,3.45,3.45,123,0,-10.389610389610382,,,,3.811904761904762,,,,,,0.0,0.0,,-0.1096989172564243
1990-03-30,3.45,3.8578,3.45,3.45,2575,0,0.0,,,,3.777437641723356,,,,,,11.820289855072462,0.0,,0.0
1990-04-03,3.4463,3.65,3.4463,3.65,3068,0,5.797101449275344,,,,3.765300723463989,,,,,,5.910686823549894,5.910686823549894,,0.0563529365511315
1990-04-04,3.45,3.45,3.45,3.45,3433,0,-5.479452054794509,3.5700000000000003,,,3.7352720831340855,,,,,,0.0,0.0,,-0.0563529365511316
1990-04-05,3.443,3.85,3.443,3.85,8109,0,11.594202898550732,3.5700000000000003,,,3.74619855140703,,,,,,11.821086261980833,11.821086261980833,,0.1096989172564245
1990-04-06,3.346,3.55,3.346,3.55,8210,0,-7.792207792207795,3.59,,,3.727512975082551,,,,,,6.096832038254624,6.096832038254624,,-0.0811255448123684
1990-04-09,3.35,3.35,3.35,3.35,1224,0,-5.633802816901401,3.5700000000000003,,,3.691559358408022,,,,,,0.0,0.0,,-0.0579872576503492
1990-04-10,3.35,3.35,3.35,3.35,1224,0,0.0,3.51,,,3.659029895702496,,,,,,0.0,0.0,,0.0
1990-04-11,3.35,3.35,3.35,3.35,2448,0,0.0,3.4900000000000007,3.53,,3.629598477064163,,,,,,0.0,0.0,,0.0
1990-04-16,3.6605,3.6605,3.35,3.35,734,0,0.0,3.3899999999999997,3.4799999999999995,,3.6029700506771,,,6.534426698065006,,,9.268656716417905,-8.482447753039196,-12.987012987012992,0.0
1990-04-17,3.3394,3.7466,3.3394,3.6,25292,0,7.462686567164178,3.4,3.495,,3.6026871887078524,,,6.170429026212661,,,12.193807270767204,7.8037970892974835,4.347826086956519,0.0719734996250892
1990-04-18,3.3404,3.65,3.3404,3.65,14729,0,1.388888888888884,3.46,3.5149999999999997,,3.607193170735676,,,6.171182953951062,,,9.268351095677168,9.268351095677168,5.797101449275344,0.0137933221323357
1990-04-19,3.75,3.75,3.75,3.75,245,0,2.7397260273972712,3.54,3.525,,3.620793821141802,,,5.964739896256708,47.61904761904762,,0.0,0.0,2.7397260273972712,0.0270286723879194
1990-04-20,3.7478,3.7478,3.4463,3.65,19638,0,-2.6666666666666727,3.6,3.5450000000000004,,3.62357536198544,,,5.716359278764693,45.454545454545446,,8.748512897890489,-2.6095309248092184,5.797101449275344,-0.0270286723879193
1990-04-23,3.6522,3.75,3.6522,3.75,4907,0,2.7397260273972712,3.68,3.535,,3.635615803701112,,,4.370251799688965,57.89473684210526,,2.677838015442744,2.677838015442744,-2.5974025974025983,0.0270286723879194
1990-04-24,3.4484,3.75,3.4484,3.75,4539,0,0.0,3.709999999999999,3.5549999999999997,,3.646509536681959,,,3.4616467313598105,57.89473684210526,,8.74608514093493,8.74608514093493,5.633802816901423,0.0
1990-04-25,3.7518,3.8578,3.45,3.45,7111,0,-7.9999999999999964,3.67,3.565,,3.627794342712249,,,3.977733268909181,45.00000000000001,,11.820289855072462,-8.044138813369573,2.9850746268656803,-0.083381608939051
1990-04-26,3.8467,4.05,3.8467,4.05,6517,0,17.391304347826075,3.729999999999999,3.6349999999999993,,3.668004405311082,,,6.682210004663656,62.49999999999999,,5.28504952296774,5.28504952296774,20.895522388059696,0.1603426500751792
1990-04-27,4.26,4.26,4.26,4.26,245,0,5.185185185185182,3.851999999999999,3.726,3.628,3.724384938138598,4.123223500845299,3.132776499154702,6.701818999665341,59.27601809954751,5743.1,0.0,0.0,27.164179104477594,0.0505522791628312
1990-04-30,3.9477,4.1512,3.85,3.85,2580,0,-9.6244131455399,3.872,3.7760000000000007,3.628,3.7363482773634935,4.123223500845299,3.132776499154702,7.7323731714209485,56.46551724137932,5847.55,7.823376623376626,-2.4748587785292733,14.925373134328357,-0.1011960119815861
1990-05-01,3.65,4.0574,3.65,3.65,2209,0,-5.1948051948051965,3.851999999999999,3.781,3.638,3.728124631900304,4.126115603218401,3.1498843967815997,7.713220524062625,56.46551724137931,5951.85,11.16164383561645,0.0,1.388888888888884,-0.0533459807052927
1990-05-02,3.85,3.85,3.85,3.85,1474,0,5.47945205479452,3.932,3.8010000000000006,3.658,3.7397318098145607,4.146460524720807,3.1695394752791928,7.878431782377985,59.92063492063492,5896.8,0.0,0.0,5.47945205479452,0.0533459807052927
1990-05-03,3.85,3.85,3.85,3.85,246,0,0.0,3.892,3.811,3.668,3.750233542213174,4.163903216363838,3.172096783636162,7.851264351356059,59.92063492063492,5755.7,0.0,0.0,2.6666666666666616,0.0
1990-05-07,3.741,4.05,3.741,4.05,1721,0,5.1948051948051965,3.85,3.851,3.698,3.778782728669062,4.210685396504985,3.1853146034950157,7.889002484745578,62.86764705882353,5670.1,8.259823576583795,8.259823576583795,10.95890410958904,0.0506437328187549
1990-05-08,3.65,3.65,3.65,3.65,2455,0,-9.876543209876544,3.81,3.841,3.688,3.766517706891056,4.195982593982779,3.18001740601722,8.611908050806438,50.87108013937282,5387.4,0.0,0.0,-2.6666666666666727,-0.1039897135240476
1990-05-09,3.6434,4.05,3.6434,4.05,492,0,10.95890410958904,3.89,3.871,3.713,3.793516020520479,4.241198527270312,3.1848014727296885,9.27575128940421,56.2111801242236,5001.5,11.15990558269747,11.15990558269747,7.999999999999985,0.1039897135240476
1990-05-10,4.0574,4.0574,3.65,3.65,1227,0,-9.876543209876544,3.85,3.891,3.728,3.7798478280899577,4.2291397535933255,3.226860246406675,9.497785030401396,48.57954545454545,5001.65,11.16164383561645,-10.040912899886637,5.797101449275344,-0.1039897135240476
1990-05-11,3.8467,4.05,3.8467,4.05,984,0,10.95890410958904,3.8899999999999992,3.891000000000001,3.762999999999999,3.805576606367104,4.250576174885308,3.2754238251146908,8.4180498727875,55.23560209424084,4989.65,5.28504952296774,5.28504952296774,0.0,0.1039897135240476
1990-05-15,3.6522,3.75,3.6522,3.75,1840,0,-7.4074074074074066,3.83,3.84,3.783,3.800283596236904,4.230406561841629,3.3355934381583716,8.550308563668823,50.0,4959.25,2.677838015442744,2.677838015442744,-11.971830985915489,-0.0769610411361283
1990-05-16,3.6522,4.0598,3.6522,3.75,4293,0,0.0,3.85,3.83,3.802999999999999,3.79549468230958,4.202056782663161,3.4039432173368387,7.987127460472288,50.0,5137.2,11.160396473358524,2.677838015442744,-2.5974025974025983,0.0
1990-05-17,3.65,3.65,3.65,3.65,1350,0,-2.6666666666666727,3.77,3.83,3.8055,3.781638045899144,4.199800179531974,3.411199820468026,7.842293397629955,52.61780104712042,3940.1,0.0,0.0,0.0,-0.0270286723879193
1990-05-18,3.65,3.65,3.65,3.65,614,0,0.0,3.77,3.81,3.8055,3.7691010891468446,4.199800179531974,3.411199820468026,7.62683340549801,43.7888198757764,3234.35,0.0,0.0,-5.1948051948051965,0.0
1990-05-21,3.65,3.65,3.65,3.65,245,0,0.0,3.69,3.79,3.800499999999999,3.7577581282757166,4.2002617711640395,3.40073822883596,7.62683340549801,39.8671096345515,3234.35,0.0,0.0,-5.1948051948051965,0.0
1990-05-22,3.6434,4.05,3.6434,4.05,369,0,10.95890410958904,3.75,3.79,3.8205,3.785590687487553,4.228497678011967,3.412502321988032,8.276041514675198,53.33333333333332,2270.9,11.15990558269747,11.15990558269747,0.0,0.1039897135240476
1990-05-23,3.65,3.65,3.65,3.65,123,0,-9.876543209876544,3.729999999999999,3.79,3.8155,3.7726772886792146,4.22954169634928,3.4014583036507204,8.276041514675198,50.0,2031.7,0.0,0.0,0.0,-0.1039897135240476
1990-05-24,3.65,3.65,3.65,3.65,2209,0,0.0,3.729999999999999,3.75,3.8105,3.760993737376432,4.230248044727586,3.390751955272415,7.38626638799203,46.666666666666664,1915.2,0.0,0.0,-9.876543209876544,0.0
