Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2013-05-24,22.028,22.17,21.93,22.064,165213,0,,,,,22.064,,,,,,1.09439124487005,0.1634283639004964,,
2013-05-28,22.028,22.17,21.992,22.011,183968,0,-0.2402102973169007,,,,22.05895238095238,,,,,,0.8093852309930921,-0.077174505175229,,-0.0024049926509791
2013-05-29,21.958,22.037,21.653,21.824,238252,0,-0.8495752123937939,,,,22.03657596371882,,,,,,1.7734263150602705,-0.6102559431642081,,-0.0085320467389152
2013-05-30,21.902,21.949,21.797,21.831,119946,0,0.032074780058644,,,,22.016997300507505,,,,,,0.6973436711474104,-0.3241713085563031,,0.0003206963720074
2013-05-31,21.831,21.831,21.538,21.538,97816,0,-1.3421281663689166,21.8536,,,21.97137850998298,,,,,,1.3603862939920106,-1.3421281663689215,,-0.0135121611263698
2013-06-03,21.555,21.635,20.976,21.279,134255,0,-1.2025257684093238,21.6966,,,21.90543769950841,,,,,,3.141685736079341,-1.280445372303409,,-0.0120981460186298
2013-06-04,21.359,21.385,21.1,21.1,56606,0,-0.8412049438413338,21.5144,,,21.82872934717428,,,,,,1.3507109004739342,-1.212603586310222,,-0.0084476304060384
2013-06-05,21.1,21.244,20.619,20.788,133496,0,-1.4786729857819925,21.3072,,,21.729612266491017,,,,,,3.031184829526165,-1.478672985781996,,-0.0148971433358254
2013-06-06,20.797,21.047,20.707,20.877,61903,0,0.4281316143929015,21.1164,,,21.648411098253774,,,,,,1.6419568261940398,0.3846708659902788,,0.004272177384627
2013-06-07,20.894,20.894,20.726,20.877,67524,0,0.0,20.9842,21.4189,,21.57494337461056,,,,,,0.8105760880054004,-0.0813630707380083,,0.0
2013-06-10,20.877,20.894,20.654,20.894,115229,0,0.081429324136617,20.9072,21.3019,,21.510091624647647,,,0.6816808277834618,,,1.162002517672114,0.081429324136607,-5.30275562001451,0.0008139618844936
2013-06-11,20.619,20.823,20.386,20.823,109407,0,-0.3398104719057992,20.851799999999997,21.183100000000003,,21.444654327062157,,,0.6775081878581084,,,2.143627979986271,0.9893787283573432,-5.397301349325334,-0.0034038913897597
2013-06-12,21.145,21.145,20.343,20.52,126709,0,-1.4551217403832362,20.7982,21.0527,,21.356592010199098,,,0.7320063793661097,,,3.942388045027772,-2.9557815086308823,-5.975073313782997,-0.0146581247229876
2013-06-13,20.101,20.556,19.78,20.477,80710,0,-0.2095516569200706,20.718200000000003,20.9173,,21.272821342561084,,,0.7121094651455113,6.232763375620323,,3.923154701718907,1.8705537037958373,-6.202189546974479,-0.0020977152361455
2013-06-14,20.368,20.654,20.315,20.548,33828,0,0.3467304780973679,20.652399999999997,20.8183,,21.20379073850765,,,0.72614910555489,9.766454352441343,,1.6687176962835275,0.8837391987431251,-4.5965270684371955,0.0034613075385982
2013-06-17,20.726,20.842,20.582,20.582,34961,0,0.1654662254234162,20.59,20.7486,,21.144572572935488,,,0.7006085432699302,11.68900804289531,,1.2632397240306967,-0.694779504004624,-3.275529865125238,0.0016532948088786
2013-06-18,20.619,20.619,20.359,20.539,41944,0,-0.2089204158973845,20.5332,20.692500000000003,,21.08689899456068,,,0.6775242259206652,12.667054038349647,,1.2770764772336458,-0.3879916581793409,-2.6587677725118497,-0.0020913895903882
2013-06-19,20.582,20.611,20.377,20.386,77063,0,-0.7449242903744158,20.5064,20.6523,,21.020146709364425,,,0.5615276864538564,11.301553294054573,,1.1483535358492505,-0.9522884073462322,-1.9338079661343155,-0.0074771270772907
2013-06-20,20.2,20.368,19.851,19.905,196709,0,-2.3594623761404754,20.392000000000003,20.5551,,20.913942260853528,,,0.8409547077384685,10.267639902676336,,2.6044028008664526,-1.4603960396039513,-4.655841356516732,-0.0238774342939403
