Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2005-02-25,5.151,5.3196,5.1209,5.1692,817564,0,,,,,5.1692,,,,,,3.8801773125817833,0.3533294505921222,,
2005-02-28,5.0246,5.5425,4.9405,5.4102,4168012,0,4.662230132322209,,,,5.192152380952381,,,,,,12.18500151806498,7.674242725789103,,0.0455681230828796
2005-03-01,5.3621,5.3621,4.8981,5.3256,5672981,0,-1.5637129865809007,,,,5.204861678004535,,,,,,9.473060982830066,-0.6807034557356296,,-0.0157606794474221
2005-03-02,5.2716,5.2716,5.0246,5.151,3603134,0,-3.2785038305543024,,,,5.199731994385056,,,,,,4.915814194164707,-2.2877304803095924,,-0.0333345107209086
2005-03-03,5.151,5.1991,5.0608,5.1932,823560,0,0.819258396427891,5.24984,,,5.1991098996817176,,,,,,2.732769522605106,0.8192583964278827,,0.0081592069205132
2005-03-04,5.0907,5.2355,5.0847,5.1812,884093,0,-0.2310714010629322,5.25224,,,5.197404194950125,,,,,,2.9657600251735654,1.7777515862258546,,-0.0023133878299974
2005-03-07,5.1088,5.4102,5.1088,5.2957,768323,0,2.209912761522448,5.22934,,,5.20676570019297,,,,,,5.899624177889136,3.658393360476052,,0.0218584808305886
2005-03-08,5.3378,5.3378,5.1812,5.2535,1209815,0,-0.7968729346450987,5.21492,,,5.211216585888878,,,,,,3.0224658380298015,-1.5793023342950248,,-0.0080006493578594
2005-03-09,5.2171,5.2834,5.1028,5.1028,1212247,0,-2.8685638145997783,5.20528,,,5.200891196756604,,,,,,3.539233362075725,-2.1908723237047414,,-0.0291051124646948
2005-03-10,5.0969,5.3256,5.0969,5.1753,674455,0,1.420788586658306,5.201700000000001,5.22577,,5.198453939922642,,,,,,4.487041142655338,1.538189880123217,,0.0141078998036732
2005-03-11,5.2294,5.2475,5.1812,5.2294,554979,0,1.0453500280177108,5.21134,5.231789999999999,,5.201401183739533,,,2.4109063842580976,,,1.279626341388096,0.0,1.1645902654182416,0.0103992402566559
2005-03-14,5.2171,5.3621,5.2112,5.2834,426300,0,1.0326232454966222,5.20888,5.21911,,5.2092105948119585,,,1.8665086475284385,,,2.895686214307646,1.2708209541699416,-2.343721119367115,0.0102732811297728
2005-03-15,5.2416,5.3802,5.1872,5.2112,435848,0,-1.3665442707347597,5.20042,5.207669999999999,,5.209400061972724,,,1.8517327612818768,,,3.7206971005552223,-0.5799755799755839,-2.148114766411291,-0.0137596743322679
2005-03-16,5.1812,5.3256,5.1692,5.2236,1112904,0,0.2379490328523248,5.22458,5.214930000000001,,5.210752437022941,,,1.5036207600727494,52.41348713398403,,3.0256132476978963,0.8183432409480558,1.4094350611531858,0.0023766638242831
2005-03-17,5.1692,5.2594,5.1692,5.2416,210488,0,0.344589937973816,5.23784,5.21977,,5.213690300163613,,,1.4875623074359574,53.161572052401745,,1.74495086280276,1.4006035750212804,0.9319879842871526,0.0034399758724434
2005-03-18,5.1991,5.3137,5.1753,5.1753,636516,0,-1.2648809523809534,5.22702,5.21918,,5.210034081100412,,,1.5480386424576396,37.89549623827686,,2.674241106795739,-0.4577715373814622,-0.1138732339998394,-0.0127294867508873
2005-03-21,5.2052,5.2416,5.1753,5.2171,496007,0,0.8076826464166409,5.213760000000001,5.211320000000001,,5.210707025757515,,,1.379945272482782,44.15094339622647,,1.2810851544837984,0.2286175363098572,-1.484223048888722,0.0080443834751532
2005-03-22,5.1872,5.2355,5.1812,5.2052,975970,0,-0.2280960686971811,5.21256,5.2064900000000005,,5.210182547113942,,,1.3614969281920606,53.54341004184098,,1.0480197637612998,0.3470080197408967,-0.9193870752831512,-0.0022835660403593
2005-03-23,5.1812,5.2112,5.0907,5.1209,1660468,0,-1.619534311841997,5.192019999999999,5.2082999999999995,,5.201679447388805,,,1.1121002685759378,45.519890940637005,,2.367061504311781,-1.163823052574689,0.3547072195657197,-0.0163279210667623
2005-03-24,5.0969,5.1209,4.9763,5.0546,580085,0,-1.294694292018983,5.1546199999999995,5.19623,5.211,5.187671880970823,5.3712154996115835,5.050784500388417,1.068422610217043,42.64979098931726,1346187.45,2.9057733657536646,-0.8299162235868863,-2.3322319479064046,-0.0130314850868565
2005-03-28,4.9644,5.1812,4.9644,5.1331,677734,0,1.5530407945238078,5.146179999999999,5.1866,5.209194999999999,5.182474558973602,5.372182755109975,5.046207244890024,1.1450981375061065,40.14784294716432,1339195.95,4.367093707195214,3.398195149464173,-1.8415114544689692,0.0154110454060839
2005-03-29,5.1088,5.2112,5.0907,5.1932,672255,0,1.1708324404356096,5.141399999999999,5.177580000000001,5.198345,5.183496029547545,5.331075173065904,5.0656148269340955,1.162065767538305,46.42391175424032,1164408.1,2.367061504311781,1.6520513623551614,-1.7072339781201595,0.0116403123310312
2005-03-30,5.1574,5.2716,4.9943,5.2416,1339614,0,0.9319879842871526,5.148680000000001,5.18062,5.194145,5.189029741019207,5.314675869162436,5.073614130837564,1.1249374831481584,59.36825053995677,947739.75,5.552329655807627,1.6326055764532523,0.5833589192508537,0.0092767177325973
2005-03-31,5.1872,5.5606,5.1872,5.5425,941030,0,5.740613553113572,5.233,5.21251,5.21372,5.222693575207854,5.408835421711032,5.0186045782889686,2.122795489643757,68.94345852249275,814634.55,7.1984885872917985,6.849552745219014,6.104985067769353,0.0558188672717711
2005-04-01,5.5367,5.5606,5.4162,5.4339,1185611,0,-1.9594046008119093,5.30886,5.23174,5.225755,5.2428084728071065,5.4438780794516575,5.007631920548343,2.27488820288151,59.98827781576633,832737.1,2.6660758465344725,-1.8567016453844227,3.668727106227121,-0.0197885543234859
2005-04-04,5.398,5.4339,5.332,5.374,699375,0,-1.102339019856835,5.3570400000000005,5.25161,5.235395,5.255302903968334,5.462099913465663,5.008690086534336,2.2623458831763235,54.39976689976686,823501.2,1.9111027756939336,-0.4446091144868474,3.839390953181443,-0.0110845979915441
2005-04-05,5.398,5.4162,5.3078,5.3621,480173,0,-0.2214365463341971,5.39082,5.266109999999999,5.238715,5.26547405597135,5.471014183450092,5.006415816549908,2.265145764500922,57.78396781182295,809093.7,2.0422774030671764,-0.6650611337532386,2.7793218454696955,-0.0022168207958832
2005-04-06,5.3378,5.4279,5.3378,5.4221,443034,0,1.1189645847708984,5.42692,5.2878,5.247145,5.280390812545508,5.493513995614303,5.000776004385696,2.270490631146355,59.76005506932833,770754.65,1.6879613323841378,1.5793023342950414,4.166986859294575,0.0111275048878076
2005-04-07,5.4279,5.4279,5.3196,5.3802,631311,0,-0.7727633204846818,5.3944600000000005,5.3137300000000005,5.261015,5.289896449445935,5.504383728475951,5.0176462715240495,2.2001879313199586,56.65833973866256,741707.85,2.0358673584480003,-0.8787929033327779,5.063563045558417,-0.0077576460813039
