Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2017-04-05,27.99,28.5,26.0,28.0,3178535,0,,,,,28.0,,,,,,9.615384615384617,0.0357270453733532,,
2017-04-06,28.15,28.62,27.01,27.55,1614392,0,-1.6071428571428514,,,,27.957142857142856,,,,,,5.960755275823767,-2.13143872113676,,-0.0162019745762803
2017-04-07,27.45,27.8817,27.12,27.57,418384,0,0.0725952813067198,,,,27.920272108843537,,,,,,2.808628318584062,0.4371584699453588,,0.0007256894367819
2017-04-10,28.0,28.47,27.26,27.98,816334,0,1.4871236851650371,,,,27.925960479429868,,,,,,4.4387380777696155,-0.0714285714285699,,0.0147617442016297
2017-04-11,27.65,27.9,27.02,27.49,593483,0,-1.7512508934953597,27.718,,,27.88444043376988,,,,,,3.2568467801628387,-0.5786618444846298,,-0.0176676670601808
2017-04-12,27.43,27.61,25.48,25.75,1003122,0,-6.329574390687521,27.268,,,27.681160392458462,,,,,,8.359497645211928,-6.124681006197593,,-0.0653876750674091
2017-04-13,25.78,25.89,23.28,23.82,3701178,0,-7.495145631067956,26.522,,,27.313430831271944,,,,,,11.211340206185564,-7.602792862684255,,-0.077909063182591
2017-04-17,23.95,23.99,22.61,23.42,1934769,0,-1.6792611251049472,25.692,,,26.94262789496033,,,,,,6.103494029190619,-2.2129436325678395,,-0.0169352057575826
2017-04-18,23.41,24.65,23.41,24.0,3042244,0,2.4765157984628416,24.896,,,26.662377619249824,,,,,,5.296881674498071,2.5202904741563428,,0.0244634721783742
2017-04-19,24.5,25.15,24.43,24.94,1081120,0,3.9166666666666794,24.386000000000003,26.052,,26.498341655511744,,,,,,2.947196070405235,1.795918367346944,,0.0384191099039449
2017-04-20,25.06,25.29,24.72,25.0,491404,0,0.2405773857257376,24.236,25.752,,26.355642450224913,,,3.606721874329774,,,2.305825242718448,-0.2394253790901785,-10.71428571428571,0.0024028846163103
2017-04-21,25.12,25.95,25.12,25.69,524642,0,2.760000000000007,24.610000000000003,25.566,,26.29224793115587,,,3.793591100413221,,,3.304140127388528,2.2691082802547777,-6.751361161524494,0.0272259862535915
2017-04-24,26.7,26.95,26.0101,26.39,261384,0,2.7247956403269713,25.204,25.448,,26.30155765199817,,,3.9381401123226576,,,3.6135962568386817,-1.161048689138572,-4.280014508523755,0.0268833393934404
