Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2005-02-25,11.83,11.83,11.26,11.54,1400,0,,,,,11.54,,,,,,5.062166962699825,-2.4513947590870746,,
2005-03-03,11.34,11.74,11.3,11.57,5800,0,0.2599653379549593,,,,11.542857142857144,,,,,,3.893805309734508,2.028218694885365,,0.0025962801256319
2005-03-04,11.26,11.26,11.25,11.25,520,0,-2.765773552290407,,,,11.514965986394555,,,,,,0.0888888888888869,-0.08880994671403,,-0.028047412555156
2005-03-09,11.3,11.3,11.3,11.3,100,0,0.4444444444444473,,,,11.49449303530936,,,,,,0.0,0.0,,0.0044345970678657
2005-03-10,11.5,11.95,11.31,11.7,2300,0,3.539823008849541,11.472,,,11.51406512718466,,,,,,5.658709106984959,1.7391304347826024,,0.0347861160854153
2005-03-11,11.31,11.48,11.31,11.48,500,0,-1.8803418803418737,11.46,,,11.510820829357549,,,,,,1.5030946065428816,1.5030946065428816,,-0.01898245091229
2005-03-14,11.44,11.44,11.44,11.44,100,0,-0.3484320557491371,11.434,,,11.504075988466353,,,,,,0.0,0.0,,-0.0034904049397686
2005-03-24,11.05,11.05,11.05,11.05,203,0,-3.409090909090895,11.394,,,11.460830656231462,,,,,,0.0,0.0,,-0.0346855579878898
2005-03-29,11.45,11.45,11.45,11.45,100,0,3.6199095022624306,11.424,,,11.4597991651618,,,,,,0.0,0.0,,0.0355593020364867
2005-04-06,11.4,11.81,11.4,11.81,664,0,3.1441048034934527,11.446000000000002,11.459,,11.49315162562258,,,,,,3.596491228070177,3.596491228070177,,0.0309569002090223
2005-04-11,11.95,11.95,11.51,11.6,300,0,-1.778154106689256,11.47,11.465,,11.503327661277572,,,2.6205729559308586,,,3.8227628149435233,-2.9288702928870265,0.5199306759098743,-0.017941532096952
2005-04-12,11.79,11.79,10.75,11.74,1798,0,1.206896551724146,11.53,11.482,,11.52586788401304,,,2.6446897289836624,,,9.674418604651157,-0.4240882103477433,1.4693171996542853,0.0119967162876315
2005-04-13,11.75,11.75,11.74,11.74,800,0,0.0,11.668,11.531,,11.54626141886894,,,2.439354274168426,,,0.0851788756388397,-0.0851063829787216,4.355555555555557,0.0
2005-04-22,11.51,11.53,10.8,11.53,1100,0,-1.78875638841568,11.684,11.554,,11.544712712309996,,,2.5404464682676657,49.81949458483755,,6.759259259259247,0.173761946133793,2.035398230088492,-0.0180494801189828
2005-04-28,11.06,11.06,11.06,11.06,275,0,-4.07632263660016,11.534,11.49,,11.4985495968519,,,2.5794661242407964,42.59259259259262,,0.0,0.0,-5.470085470085461,-0.0416173381867787
2005-05-02,11.49,11.49,11.49,11.49,200,0,3.887884267631092,11.512,11.491,,11.497735349532672,,,2.872505615807698,48.901098901098905,,0.0,0.0,0.0871080139372759,0.0381420957664754
2005-05-06,11.0,11.0,11.0,11.0,2000,0,-4.26457789382072,11.364,11.447,,11.450331982910512,,,3.1824509428912693,46.71916010498687,,0.0,0.0,-3.846153846153843,-0.0435818190622938
2005-05-12,10.75,10.75,10.75,10.75,400,0,-2.2727272727272707,11.166,11.417,,11.383633698823797,,,3.0795406511601273,43.14214463840398,,0.0,0.0,-2.714932126696834,-0.0229895182246987
2005-05-19,10.5,10.5,10.25,10.5,700,0,-2.3255813953488413,10.96,11.322,,11.299478108459626,,,2.815849049759697,34.4559585492228,,2.4390243902439024,0.0,-8.296943231441045,-0.0235304974101941
2005-05-20,10.25,10.38,10.25,10.38,528,0,-1.1428571428571344,10.824000000000002,11.178999999999998,11.319,11.211908764796805,12.137931267599807,10.500068732400193,2.4462150452257196,35.37234042553192,989.4,1.2682926829268368,1.2682926829268368,-12.108382726502963,-0.011494379425735
2005-05-23,10.51,10.51,10.51,10.51,500,0,1.2524084778420042,10.628,11.07,11.267500000000002,11.145060311006633,12.154621305417876,10.380378694582127,2.559366930912101,37.92207792207792,944.4,0.0,0.0,-9.396551724137924,0.0124463071511171
2005-05-24,10.43,10.49,10.43,10.45,10501,0,-0.570884871550914,10.518,10.941,11.2115,11.078864090910765,12.157656212761596,10.265343787238406,2.4522167666289203,41.4772727272727,1179.45,0.5752636625119895,0.1917545541706574,-10.988074957410564,-0.0057252064780398
2005-05-25,10.98,10.98,10.25,10.55,21703,0,0.9569377990430672,10.478,10.822,11.1765,11.028496082252596,12.167390614813923,10.185609385186078,2.518981513817376,36.02484472049692,2238.6,7.121951219512199,-3.9162112932604702,-10.136286201022138,0.0095238815112555
2005-05-27,10.25,10.25,10.25,10.25,267,0,-2.8436018957346043,10.428,10.694,11.124,10.954353598228538,12.195337580096169,10.052662419903832,2.575530111403017,25.31645569620254,2246.95,0.0,0.0,-11.101474414570678,-0.0288481543376583
2005-05-31,10.99,11.12,10.99,11.0,25966,0,7.317073170731714,10.552,10.688,11.089000000000002,10.958700874587723,12.126302168836874,10.05169783116313,3.489950711532321,41.891891891891895,3430.25,1.1828935395814286,0.0909918107370317,-0.5424954792043413,0.0706175672139534
2005-06-01,11.49,11.49,11.2,11.2,2690,0,1.8181818181818077,10.69,10.659,11.075,10.981681743674608,12.097535548217476,10.052464451782525,3.289328276888809,42.8191489361702,3539.75,2.589285714285723,-2.5239338555265527,-2.52393385552655,0.0180185055026782
2005-06-02,10.71,11.2,10.71,11.2,1000,0,0.0,10.84,10.678999999999998,11.063,11.00247395856274,12.073056798819795,10.0529432011802,2.965396245403763,42.8191489361702,3584.75,4.575163398692796,4.575163398692796,1.8181818181818077,0.0
2005-06-07,10.95,10.95,10.95,10.95,1100,0,-2.2321428571428603,10.919999999999998,10.699,11.058,10.997476438699625,12.069317015214889,10.046682984785113,2.961632702087433,42.368421052631575,3629.6,0.0,0.0,1.860465116279064,-0.022574322038539
