Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2015-07-01,440.57,440.57,371.63,390.22,146626,0,,,,,390.22,,,,,,18.550709038559855,-11.428376875411391,,
2015-07-02,392.67,400.51,386.69,390.93,209714,0,0.1819486443544571,,,,390.2876190476191,,,,,,3.5739222633116947,-0.4431201772480732,,0.0018178331831715
2015-07-06,386.3,396.02,383.75,387.05,145911,0,-0.9925050520553592,,,,389.97927437641727,,,,,,3.197394136807813,0.194149624644059,,-0.0099746321742019
2015-07-07,387.17,391.21,385.15,385.15,82720,0,-0.490892649528496,,,,389.51934348342513,,,,,,1.5734129559911731,-0.5217346385308879,,-0.0049210148517477
2015-07-08,381.42,391.21,356.97,372.13,119529,0,-3.3805011034661825,385.096,,,387.86321553262275,,,,,,9.591842451746633,-2.4356352577211524,,-0.0343896132079871
2015-07-09,375.55,384.72,373.62,374.31,88854,0,0.5858167844570383,381.914,,,386.5724331009444,,,,,,2.97093303356352,-0.3301823991479188,,0.0058410755000519
2015-07-10,378.48,383.42,374.17,375.36,172393,0,0.2805161497154707,378.8,,,385.5045823294259,,,,,,2.47213833284336,-0.8243500317057716,,0.0028012343740708
2015-07-13,377.55,382.39,373.65,379.37,71165,0,1.0683077578857558,377.264,,,384.9203363932901,,,,,,2.33908738123913,0.4820553569063681,,0.0106264166901367
2015-07-14,381.42,385.74,375.95,381.76,89594,0,0.6299918285578743,376.586,,,384.6193519748815,,,,,,2.604069690118372,0.0891405799381193,,0.0062801567543038
2015-07-15,382.39,388.03,379.67,385.98,88718,0,1.1054065381391531,379.356,382.226,,384.7489375010833,,,,,,2.2019121868991376,0.9388320824289422,,0.0109934157414127
2015-07-16,383.58,388.96,382.3,387.79,123926,0,0.4689362143116327,382.052,381.983,,385.0385625009801,,,1.335802683825578,,,1.7420873659429683,1.0975546170290518,-0.6227256419455762,0.00467840133723
2015-07-17,388.26,392.96,383.86,391.05,231085,0,0.840661182598823,385.19,381.995,,385.6110803580296,,,1.3646761055800063,,,2.3706559683217754,0.7185906351414054,0.0306960325378025,0.0083714730594264
2015-07-20,391.52,396.1,384.37,384.9,46217,0,-1.5726889144610734,386.296,381.78,,385.5433584191696,,,1.42318580396997,,,3.0517470145953163,-1.690845933796487,-0.5554837876243446,-0.01585186875792
2015-07-21,384.37,391.75,379.92,391.2,37219,0,1.636788776305531,388.184,382.3850000000001,,386.0820861887725,,,1.5059938869993428,50.96305031446538,,3.1138134344072395,1.77693368369019,1.5708165649746864,0.0162353778709618
2015-07-22,390.22,393.64,382.79,388.41,313906,0,-0.7131901840490729,388.67,384.013,,386.30379226603225,,,0.9365588890259956,48.31376933109745,,2.834452310666414,-0.4638409102557537,4.374815252734265,-0.0071574554219966
2015-07-23,389.27,393.05,389.24,391.67,74641,0,0.8393192760227652,389.446,385.749,,386.81485966926726,,,0.944549940884059,50.65812877979368,,0.9788305415681848,0.6165386492665846,4.637867008629204,0.0083581657735667
2015-07-24,399.16,415.27,393.65,413.41,163496,0,5.550591058799492,393.918,389.554,,389.3477301769561,,,1.8604335882410632,67.79157667386609,,5.492188492315511,3.5699969936867424,10.13693520886616,0.0540201880897019
2015-07-27,409.75,411.65,399.43,403.58,31288,0,-2.377784765728952,397.654,391.975,,390.7031844458174,,,2.1413284057715507,61.23643458114864,,3.0593595874120547,-1.5057962172056172,6.3816327068561,-0.0240651033641963
2015-07-28,398.64,403.74,397.03,400.62,39570,0,-0.7334357500371591,399.538,393.861,,391.64764307002525,,,2.1850529648371673,69.79847116052814,,1.6900486109362105,0.4966887417218589,4.940276613579209,-0.0073613861399055
2015-07-29,395.11,407.23,395.11,406.89,25767,0,1.565074135090594,403.234,395.952,389.089,393.0992961109752,410.4268437227579,367.7511562772421,2.203853796034733,71.42293529721198,115116.95,3.0675001898205574,2.9814482042975303,5.417379138815481,0.0155295315449005
2015-07-30,405.86,406.85,400.96,403.66,20450,0,-0.7938263412715862,405.63199999999995,397.539,389.761,394.1050774337395,412.0731169818223,367.4488830181777,2.244837623890251,68.09000255689084,108808.15,1.468974461292908,-0.5420588380229607,4.09242115578019,-0.00796993917076
2015-07-31,406.76,406.85,400.96,406.08,28222,0,0.5995144428479371,404.166,399.042,390.5185,395.2455462495738,413.9959797132105,367.04102028678955,2.2411584299924385,67.42790030014355,99733.55,1.468974461292908,-0.1671747467794293,3.843498273878021,0.0059772450540498
2015-08-03,405.72,409.94,403.63,407.43,42577,0,0.3324468085106336,404.936,401.295,391.5375,396.40597041628104,416.1240319358298,366.95096806417024,2.133205460042453,66.97975922741105,94566.85,1.5633129351138424,0.4214729370008823,5.853468433359321,0.0033189542580637
2015-08-04,406.46,407.83,398.53,405.49,44990,0,-0.476155413199808,405.91,402.724,392.5545,397.27111609092094,417.7047838531643,367.4042161468357,2.122678608756283,63.30650661574138,92680.35,2.3335758914009013,-0.2386458692122153,3.652862985685079,-0.0047729264451579
2015-08-05,425.27,430.49,402.46,407.83,39367,0,0.5770795827270581,406.098,404.666,394.3395,398.2767240822618,418.4314549577075,370.2475450422926,2.087824437059855,63.56988082340194,88672.25,6.964667296128815,-4.100924118795118,4.999871270049683,0.0057542085688906
2015-08-06,405.79,411.38,400.91,406.39,52687,0,-0.3530882965941728,406.644,406.138,395.9435,399.0494170268082,418.65256730569826,373.2344326943017,2.100827566332673,60.64981949458483,86863.9,2.6115587039485093,0.1478597304024164,3.7582658870988217,-0.0035371312454997
2015-08-07,403.55,409.55,403.55,406.28,72394,0,-0.0270675951672072,406.684,405.425,397.4895,399.7380439766361,418.4402879263965,376.5387120736035,1.0615404954180103,66.20187935738105,81863.95,1.486804609094288,0.6764960971378915,-1.7246800996589484,-0.0002707125910192
2015-08-10,407.87,426.45,406.34,420.83,31902,0,3.5812739982278297,409.364,407.15,399.5625,401.7468016931469,421.1590873278748,377.9659126721252,1.3238544398315408,69.95823790920116,79900.8,4.949057439582619,3.1774830215509793,4.274245502750373,0.035186374586656
2015-08-11,417.81,420.54,417.81,418.12,10762,0,-0.6439654967564046,411.89,408.9,401.3805,403.3061539128472,422.787872537221,379.9731274627791,1.3154145179156551,70.03371544167229,75959.2,0.653407051051918,0.0741964050645035,4.368229244670752,-0.0064604789934499
