Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2011-11-30,2.49,7.9,2.45,6.1,47575,0,,,,,6.1,,,,,,222.44897959183675,144.97991967871482,,
2011-12-01,7.9,18.0,7.5,12.55,236814,0,105.7377049180328,,,,6.714285714285714,,,,,,140.0,58.86075949367089,,0.7214318943985274
2011-12-02,14.49,17.41,13.0,13.81,150007,0,10.039840637450204,,,,7.3900680272108845,,,,,,33.92307692307692,-4.6928916494133865,,0.0956723018434079
2011-12-05,12.56,13.54,9.78,10.8,62605,0,-21.795800144822586,,,,7.7148234531908,,,,,,38.445807770961146,-14.012738853503182,,-0.2458468332910266
2011-12-06,9.75,12.0,9.75,10.01,25479,0,-7.314814814814818,10.654,,,7.9334116957440575,,,,,,23.076923076923077,2.6666666666666643,,-0.0759615408030448
2011-12-07,10.8,11.91,10.0,11.5,20783,0,14.88511488511488,11.734,,,8.27308677233986,,,,,,19.1,6.481481481481474,,0.1387624420420751
2011-12-08,11.07,13.5,10.76,11.71,26515,0,1.8260869565217552,11.566,,,8.600411841640826,,,,,,25.464684014869892,5.781391147244811,,0.0180961422404217
2011-12-09,13.43,13.43,11.37,12.54,10630,0,7.087959009393674,11.312,,,8.975610713865509,,,,,,18.11785400175902,-6.626954579300079,,0.0684803575951486
2011-12-12,13.65,13.8,12.26,12.47,4815,0,-0.5582137161084466,11.646,,,9.308409693497364,,,,,,12.56117455138663,-8.644688644688642,,-0.0055977755128294
2011-12-13,12.47,12.47,11.0,11.5,4448,0,-7.778668805132327,11.944,11.299,,9.51713257983095,,,,,,13.363636363636369,-7.778668805132321,,-0.0809787243227408
2011-12-14,11.12,11.7,11.0,11.05,5378,0,-3.913043478260858,11.854,11.794,,9.663119953180384,,,35.2710995125189,,,6.363636363636357,-0.6294964028776845,81.14754098360658,-0.0399166074054424
2011-12-15,10.36,11.8,10.36,11.0,4269,0,-0.4524886877828149,11.712,11.639,,9.790441862401298,,,10.40555223100272,,,13.899613899613913,6.177606177606183,-12.350597609561753,-0.0045351551653913
2011-12-16,11.0,11.95,10.02,11.05,1000,0,0.454545454545463,11.414,11.363,,9.91039978026784,,,9.71489918470336,,,19.261477045908183,0.454545454545461,-19.985517740767555,0.0045351551653913
2011-12-19,10.43,11.01,10.39,10.82,3498,0,-2.0814479638009087,11.084,11.365,,9.997028372623284,,,6.741723204411663,64.88020176544768,,5.9672762271414745,3.739213806327906,0.1851851851851771,-0.0210341545454263
2011-12-20,10.44,10.6,10.3,10.3,1434,0,-4.805914972273562,10.844,11.394000000000002,,10.025882813325827,,,6.471621647062192,62.820512820512825,,2.9126213592232904,-1.340996168582364,2.897102897102899,-0.0492523781827453
2011-12-21,10.09,10.16,10.09,10.09,1225,0,-2.038834951456314,10.652,11.253,,10.031989212056702,,,4.036934958129136,37.8698224852071,,0.6937561942517373,0.0,-12.26086956521739,-0.0205990608700725
2011-12-22,9.93,10.45,8.61,9.0,21812,0,-10.802775024777,10.252,10.982,,9.93370452519416,,,4.866234123074301,25.87763289869608,,21.370499419279906,-9.365558912386703,-23.14261315115287,-0.1143202570292981
2011-12-23,8.83,10.09,8.83,9.16,8109,0,1.7777777777777892,9.874,10.644000000000002,,9.860018379937571,,,3.898585830238734,38.48314606741574,,14.26953567383918,3.737259343148359,-26.953748006379573,0.0176216013498196
2011-12-27,7.85,8.83,7.85,8.45,900,0,-7.751091703056778,9.4,10.242,,9.725730915181614,,,4.054369068352512,38.92045454545455,,12.484076433121023,7.643312101910824,-32.237369687249405,-0.0806797373169565
2011-12-28,10.15,10.15,8.0,8.15,13617,0,-3.5502958579881505,8.97,9.907,10.603,9.575661304211938,14.18891454972016,7.01708545027984,3.79870724942296,21.367521367521377,32545.65,26.875000000000004,-19.704433497536943,-29.130434782608695,-0.0361485141163109
2011-12-29,8.21,10.2,8.15,8.65,3100,0,6.134969325153383,8.681999999999999,9.667,10.7305,9.487503084763182,13.78410166981464,7.676898330185364,4.816024964535472,25.081433224755685,30321.9,25.153374233128822,5.359317904993903,-21.71945701357466,0.0595413936910167
2011-12-30,8.23,9.989,7.85,8.29,6478,0,-4.161849710982668,8.540000000000001,9.396,10.5175,9.373455171928592,13.63043988648064,7.404560113519359,4.79974988094189,12.522045855379204,18805.1,27.248407643312117,0.7290400972053307,-24.636363636363644,-0.0425093517965844
