Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2005-02-25,196.0,198.66,182.0,193.2,69806,0,,,,,193.2,,,,,,9.153846153846152,-1.4285714285714344,,
2005-02-28,203.49,217.0,194.67,207.9,134978,0,7.608695652173925,,,,194.6,,,,,,11.470693994965847,2.167182662538698,,0.0733312730855497
2005-03-01,211.68,211.68,196.14,203.0,54575,0,-2.3569023569023573,,,,195.4,,,,,,7.922912205567463,-4.100529100529104,,-0.0238512158221799
2005-03-02,206.92,206.92,171.5,182.91,178482,0,-9.896551724137936,,,,194.2104761904762,,,,,,20.65306122448979,-11.603518267929632,,-0.1042117504539529
2005-03-03,183.05,186.2,175.07,179.69,36353,0,-1.7604286261002633,193.34,,,192.82757369614512,,,,,,6.35745701719312,-1.8355640535372924,,-0.017761084649472
2005-03-04,179.27,192.29,175.0,189.7,53681,0,5.570705103233342,192.64,,,192.5297095346075,,,,,,9.879999999999995,5.8180398281921,,0.0542107330026061
2005-03-07,188.37,202.65,188.37,195.86,40175,0,3.247232472324746,190.232,,,192.84688005512103,,,,,,7.58082497212932,3.9762170196952855,,0.0319562413516801
2005-03-08,193.9,199.57,182.35,189.56,15378,0,-3.216583273766982,187.544,,,192.53384385939523,,,,,,9.44337811900192,-2.238267148014442,,-0.0326945211932609
2005-03-09,191.45,191.45,175.21,181.65,25672,0,-4.172821270310189,187.292,,,191.4972873013576,,,,,,9.268877347183368,-5.118829981718456,,-0.0426238384321765
2005-03-10,180.74,180.74,168.7,174.3,41574,0,-4.046242774566466,186.214,189.777,,189.85945041551403,,,,,,7.136929460580925,-3.563129357087528,,-0.0413038061412356
2005-03-11,171.22,175.56,168.07,172.76,18776,0,-0.8835341365461935,182.826,187.733,,188.2309313283222,,,5.176476476287611,,,4.456476468138281,0.8994276369582946,-10.579710144927535,-0.0088746044334749
2005-03-14,171.5,171.5,151.2,153.37,62036,0,-11.223662884927055,174.328,182.28000000000003,,184.91084263038675,,,5.125789616888751,,,13.425925925925936,-10.57142857142857,-26.228956228956225,-0.1190500454298117
2005-03-15,162.4,171.36,161.0,165.9,49703,0,8.169785486079405,169.596,178.57,,183.1002861893975,,,6.210006408964438,,,6.43478260869566,2.155172413793103,-18.27586206896551,0.0785318945337102
2005-03-16,166.95,170.03,161.56,162.12,20557,0,-2.278481012658229,165.69,176.491,,181.1021636951692,,,5.540478033495903,36.81710213776723,,5.24263431542461,-2.89308176100628,-11.366245694603904,-0.023048395436291
2005-03-17,161.35,162.4,154.0,156.8,23850,0,-3.2815198618307395,162.19,174.202,,178.7876719146769,,,5.582582694240053,35.22727272727275,,5.454545454545459,-2.81995661605205,-12.738605375925191,-0.0333656938438002
2005-03-18,157.15,168.0,157.15,161.56,9074,0,3.035714285714275,159.95,171.388,,177.14694125613624,,,5.290294144236496,29.542645241038315,,6.904231625835186,2.8062360801781714,-14.833948339483394,0.0299054827789045
2005-03-21,160.58,164.22,152.95,154.77,10172,0,-4.2027729636048505,160.23000000000002,167.279,,175.01580399364707,,,5.073074333010106,29.057750759878417,,7.368421052631587,-3.618134263295554,-20.97927090779128,-0.0429364467705438
2005-03-22,154.7,163.59,151.48,153.16,17922,0,-1.0402532790592556,157.682,163.639,,172.93429885139497,,,5.071776551685464,34.61259956553222,,7.99445471349354,-0.9954751131221669,-19.202363367799112,-0.0104570173155745
2005-03-23,152.32,154.07,142.45,147.21,23208,0,-3.884826325411328,154.7,160.195,,170.4843656274526,,,5.05882057726927,33.66197183098592,,8.15724815724816,-3.354779411764696,-18.959537572254337,-0.0396229878391719
2005-03-24,144.41,156.87,144.2,155.26,18966,0,5.4683785068949,154.392,158.291,174.034,169.0344260438857,210.89256175621676,137.17543824378322,5.49917872118233,32.327586206896555,45246.9,8.786407766990303,7.513330101793501,-10.923694779116476,0.0532409922076124
2005-03-28,156.59,157.99,147.84,156.59,8898,0,0.8566275924256184,153.398,156.674,172.20350000000002,167.84924261113468,208.68874562643177,135.71825437356827,5.531139693114905,28.798185941043073,42201.5,6.865530303030306,0.0,-9.359805510534835,0.0085297935798173
2005-03-29,150.92,153.44,144.06,149.17,16089,0,-4.738489047831928,152.278,156.254,169.267,166.07026712435996,203.00566693151632,135.52833306848365,4.453325107564567,28.45407020164302,36257.05,6.511175898930997,-1.1595547309833023,-2.7384755819260698,-0.0485443293915125
2005-03-30,150.5,153.09,145.6,149.03,8520,0,-0.0938526513373894,151.452,154.567,166.5685,164.4473845410876,197.46014988522924,135.67685011477076,3.3630389856347813,31.026058631921813,33954.3,5.144230769230776,-0.9767441860465108,-10.16877637130802,-0.0009389672051375
2005-03-31,149.8,158.34,146.44,149.03,33473,0,0.0,151.81599999999997,153.25799999999998,164.8745,162.97906220384115,195.7087198658706,134.04028013412943,3.345133974046649,33.92698130008904,26703.85,8.126195028680693,-0.5140186915887918,-8.074265975820383,0.0
