Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2005-02-25,12.054,12.826,12.028,12.669,2951603,0,,,,,12.669,,,,,,6.634519454605919,5.102040816326532,,
2005-02-28,12.956,13.092,12.211,12.333,5295266,0,-2.652143026284637,,,,12.637,,,,,,7.2148063221685375,-4.808582895955537,,-0.0268794680360652
2005-03-01,12.333,12.333,11.845,12.063,2944224,0,-2.1892483580637334,,,,12.582333333333334,,,,,,4.1198818066694765,-2.189248358063728,,-0.0221356800006044
2005-03-02,11.966,12.324,11.925,12.314,2096428,0,2.0807427671391876,,,,12.556777777777778,,,,,,3.3459119496855276,2.9082400133712247,,0.0205939099057717
2005-03-03,12.409,12.817,12.383,12.73,2462207,0,3.3782686373233783,12.4218,,,12.573275132275134,,,,,,3.5048049745619076,2.5868321379643784,,0.0332245860802968
2005-03-04,12.764,13.173,12.697,13.068,3424397,0,2.6551453260015734,12.5016,,,12.620391786344168,,,,,,3.7489170670237137,2.381698527107492,,0.0262050811695086
2005-03-07,13.0,13.0,12.746,12.93,1661924,0,-1.0560146923783265,12.621,,,12.64987828288282,,,,,,1.992782049270356,-0.5384615384615407,,-0.0106163009550575
2005-03-08,12.93,12.981,12.756,12.801,1719578,0,-0.997679814385144,12.7686,,,12.664270827370167,,,,,,1.7638758231420482,-0.9976798143851474,,-0.0100268999097934
2005-03-09,12.851,13.019,12.454,12.53,2611657,0,-2.117022107647848,12.8118,,,12.65148312952539,,,,,,4.536695037738875,-2.497860088709061,,-0.0213975239659957
2005-03-10,12.374,12.374,11.873,12.081,3305390,0,-3.5833998403830836,12.682,12.5519,,12.597151402903924,,,,,,4.219658047671198,-2.3678681105543964,,-0.0364917983705501
2005-03-11,11.898,12.435,11.898,12.341,2487118,0,2.152139723532809,12.5366,12.5191,,12.572756031198788,,,2.54167287520737,,,4.513363590519422,3.723314842830725,-2.588996763754059,0.0212930819336195
2005-03-14,12.333,12.479,12.089,12.454,1720496,0,0.9156470302244646,12.4414,12.531200000000002,,12.56144593298938,,,2.4114212210581547,,,3.226073289767547,0.9811075975026388,0.9811075975026284,0.0091148039792138
2005-03-15,12.567,12.697,12.454,12.479,1600111,0,0.2007387184840059,12.377,12.5728,,12.553593939371344,,,2.271045211692541,,,1.9511803436646744,-0.7002466778069624,3.4485617176490013,0.0020053750754568
