Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2011-03-25,18.92,19.02,17.76,18.5,169374,0,,,,,18.5,,,,,,7.094594594594583,-2.219873150105717,,
2011-03-28,18.5,18.7,18.14,18.53,88796,0,0.1621621621621605,,,,18.502857142857145,,,,,,3.0871003307607428,0.1621621621621683,,0.0016203082129892
2011-03-29,18.33,18.75,17.95,18.35,152639,0,-0.971397733405288,,,,18.48829931972789,,,,,,4.456824512534823,0.1091107474086368,,-0.0097614657966891
2011-03-30,18.55,18.6,18.17,18.58,59256,0,1.253405994550394,,,,18.49703271784904,,,,,,2.366538249862409,0.1617250673854317,,0.012456158885113
2011-03-31,19.0,19.08,17.5,18.23,203003,0,-1.8837459634014952,18.438,,,18.471601030434847,,,,,,9.02857142857142,-4.052631578947366,,-0.0190171446951206
2011-04-01,18.25,18.46,17.48,17.78,212599,0,-2.4684585847504104,18.294,,,18.40573426563153,,,,,,5.606407322654464,-2.5753424657534185,,-0.0249943586048131
2011-04-04,17.6,18.57,17.47,18.57,123358,0,4.443194600674905,18.302,,,18.42137862128567,,,,,,6.296508299942767,5.51136363636363,,0.0434731452788558
2011-04-05,18.59,19.07,17.67,18.87,88196,0,1.6155088852988664,18.406,,,18.46410446687751,,,,,,7.92303338992642,1.506186121570743,,0.0160259840158443
2011-04-06,18.95,19.28,18.73,19.08,90658,0,1.11287758346581,18.506,,,18.522761184317748,,,,,,2.936465563267489,0.6860158311345594,,0.0110673066396815
2011-04-07,18.79,19.13,18.5,18.77,175684,0,-1.6247379454926605,18.614,18.526,,18.546307738192247,,,,,,3.4054054054054,-0.1064395955295347,,-0.0163808154217229
2011-04-08,18.75,19.59,18.68,18.7,83745,0,-0.3729355354288755,18.798,18.546,,18.56094509645965,,,2.065367275005406,,,4.8715203426124205,-0.2666666666666705,1.08108108108107,-0.0037363267378765
2011-04-11,18.95,19.5,18.4,18.56,114843,0,-0.7486631016042855,18.796,18.549,,18.56085508727302,,,2.0836270550016462,,,5.978260869565226,-2.058047493403697,0.1618996222342072,-0.0075147965024864
2011-04-12,17.89,18.78,17.52,18.03,127560,0,-2.8556034482758452,18.627999999999997,18.517000000000003,,18.510297459913684,,,2.2623278691604907,,,7.191780821917818,0.7825600894354419,-1.743869209809268,-0.0289716901428284
2011-04-13,18.0,18.87,17.25,18.2,436588,0,0.9428729894620068,18.452,18.479,,18.480745320874284,,,2.2429275394474075,46.01063829787231,,9.391304347826091,1.1111111111111072,-2.0452099031216364,0.0093845568675237
