Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2016-05-31,23.592,23.592,23.464,23.473,1975,0,,,,,23.473,,,,,,0.545516535969997,-0.5044082739911826,,
2016-06-01,23.444,23.606,23.416,23.606,3163,0,0.5666084437438768,,,,23.485666666666667,,,,,,0.8114110010249457,0.6910083603480746,,0.0056500925601271
2016-06-02,23.531,23.531,23.531,23.531,125,0,-0.3177158349572218,,,,23.48998412698413,,,,,,0.0,0.0,,-0.0031822162331339
2016-06-03,23.824,23.824,23.824,23.824,105,0,1.2451659512983104,,,,23.52179516250945,,,,,,0.0,0.0,,0.0123747751679099
2016-06-06,23.824,23.824,23.824,23.824,0,0,0.0,23.6516,,,23.550576575603788,,,,,,0.0,0.0,,0.0
2016-06-07,24.312,24.579,24.312,24.579,3429,0,3.1690732034922675,23.8728,,,23.64852166364152,,,,,,1.0982230997038478,1.0982230997038478,,0.031198943886134
2016-06-08,24.76,24.76,24.76,24.76,219,0,0.7364009927173676,24.103600000000004,,,23.75437674329471,,,,,,0.0,0.0,,0.007337027988608
2016-06-09,24.445,24.445,24.445,24.445,127,0,-1.2722132471728598,24.2864,,,23.820150386790452,,,,,,0.0,0.0,,-0.0128037517857864
2016-06-10,24.11,24.11,23.93,23.968,2177,0,-1.9513192881979944,24.3152,,,23.834231302334217,,,,,,0.7521938988717081,-0.5889672335130629,,-0.0197060886957998
2016-06-13,23.824,23.836,23.678,23.702,2979,0,-1.1098130841121434,24.2908,23.971200000000003,,23.821637844969057,,,,,,0.6672860883520471,-0.5120886501007382,,-0.011160174568552
2016-06-14,23.474,23.474,23.474,23.474,314,0,-0.9619441397350492,24.0698,23.971300000000003,,23.788529478781523,,,1.4959146803475465,,,0.0,0.0,0.0042602138627501,-0.0096660070883247
2016-06-15,23.834,23.834,23.779,23.779,887,0,1.2993098747550391,23.8736,23.9886,,23.78762190937376,,,1.5433746093364895,,,0.231296522141384,-0.2307627758664081,0.7328645259679689,0.0129094125558279
2016-06-16,23.267,23.646,23.267,23.619,5434,0,-0.6728626098658541,23.7084,23.997400000000003,,23.77156267990959,,,1.5576578608205265,,,1.628916491167754,1.5128723084196514,0.373974756703932,-0.0067513653633203
2016-06-17,23.75,23.759,23.75,23.75,2012,0,0.5546382149963947,23.6648,23.99,,23.769509091346773,,,1.513374576484487,54.17294365772823,,0.0378947368421067,0.0,-0.3106111484217688,0.0055310576102103
2016-06-20,24.28,24.28,24.28,24.28,748,0,2.231578947368429,23.7804,24.0356,,23.81812727312327,,,1.6729160551791815,60.48324240062354,,0.0,0.0,1.914036265950303,0.0220704357106473
2016-06-21,24.405,24.405,24.405,24.405,312,0,0.5148270181219106,23.9666,24.0182,,23.8740199137782,,,1.3241005556656875,60.4009372559229,,0.0,0.0,-0.7079213963139264,0.0051350631478132
2016-06-22,24.405,24.405,24.405,24.405,0,0,0.0,24.0918,23.9827,,23.924589445799324,,,1.2948476163682108,61.60382368560808,,0.0,0.0,-1.433764135702753,0.0
2016-06-23,24.646,24.769,24.646,24.769,676,0,1.4914976439254213,24.321800000000003,24.0151,,24.00500949858034,,,1.3202668860029632,62.31430805316649,,0.499066785685294,0.499066785685294,1.3254244221722056,0.014804841930173
2016-06-24,23.917,23.974,23.687,23.735,14836,0,-4.174573055028463,24.318800000000003,23.9918,,23.979294308239353,,,1.8084297340724864,49.08642989119274,,1.2116350740912696,-0.7609650039720791,-0.9721295060080126,-0.0426421192660025
2016-06-27,23.227,23.39,23.227,23.313,13082,0,-1.777965030545614,24.125400000000003,23.9529,23.96205,23.915837707454653,24.875107437519965,23.04899256248003,1.8621384620998964,36.051123843102665,2630.0,0.7017694924010861,0.3702587505919771,-1.6412117120918168,-0.0179396071080665
2016-06-28,23.829,23.829,23.829,23.829,721,0,2.2133573542658658,24.0102,23.9884,23.97985,23.907567449601828,24.866255698965148,23.09344430103485,1.975492216526875,40.44736302072645,2567.3,0.0,0.0,1.512311493567342,0.0218921814238899
2016-06-29,24.463,24.463,24.453,24.453,799,0,2.6186579378068675,24.0198,24.0558,24.0222,23.959513406782605,24.914315545973963,23.13008445402604,2.0996023541718607,50.07719027402546,2449.1,0.0408947777368893,-0.0408780607448046,2.834433744059872,0.0258495814613253
2016-06-30,24.668,24.668,24.668,24.668,400,0,0.8792377213429736,23.999599999999997,24.1607,24.07905,24.02698832042236,24.98418447096347,23.173915529036535,2.0769471563108364,57.11382113821138,2462.85,0.0,0.0,4.441339599474992,0.0087539493488162
2016-07-01,24.808,24.875,24.805,24.875,4969,0,0.8391438300632492,24.2276,24.2732,24.1316,24.10775133752499,25.094575738886608,23.16862426111339,2.0804074991891475,62.06541863814028,2706.05,0.2822011691191303,0.270074169622703,4.73684210526315,0.0083564259154101
