Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2017-04-06,7.0,8.09,7.0,7.76,3693588,0,,,,,7.76,,,,,,15.57142857142857,10.857142857142854,,
2017-04-07,7.6,7.6576,7.36,7.4,360625,0,-4.639175257731953,,,,7.725714285714286,,,,,,4.043478260869566,-2.631578947368412,,-0.0475023339850032
2017-04-10,7.43,7.76,7.32,7.68,148053,0,3.7837837837837673,,,,7.721360544217688,,,,,,6.010928961748626,3.3647375504710633,,0.0371395469494565
2017-04-11,7.76,7.91,7.6301,7.73,228225,0,0.6510416666666741,,,,7.722183349530288,,,,,,3.6683660764603414,-0.3865979381443217,,0.0064893154397498
2017-04-12,7.75,7.81,7.6668,7.7,62977,0,-0.3880983182406261,7.654000000000001,,,7.720070649575023,,,,,,1.867793603589494,-0.6451612903225784,,-0.0038885337396924
2017-04-13,7.75,7.75,7.4,7.59,71822,0,-1.4285714285714346,7.62,,,7.707682968663116,,,,,,4.7297297297297245,-2.06451612903226,,-0.0143887374520996
2017-04-17,7.85,8.13,7.578,8.08,99411,0,6.4558629776021,7.756,,,7.743141733552343,,,,,,7.284243863816317,2.9299363057324896,,0.0625602811254653
2017-04-18,8.2,8.5,8.04,8.05,133782,0,-0.3712871287128605,7.830000000000001,,,7.772366330356882,,,,,,5.721393034825882,-1.8292682926829096,,-0.0037197811025319
2017-04-19,8.8,8.8,8.089,8.16,128436,0,1.3664596273291751,7.916,,,7.809283822703846,,,,,,8.789714426999632,-7.272727272727278,,0.0135720775455434
2017-04-20,8.2,8.433,8.174,8.29,119815,0,1.5931372549019551,8.034,7.843999999999999,,7.85506631577967,,,,,,3.1685833129434835,1.0975609756097544,,0.0158058001711879
2017-04-21,8.25,8.4,8.11,8.11,105543,0,-2.171290711700846,8.138,7.879,,7.879345714276844,,,3.1097699850156513,,,3.575832305795326,-1.6969696969697037,4.510309278350522,-0.021952101019882
2017-04-24,8.3,8.5,8.1465,8.24,100361,0,1.602959309494456,8.17,7.963000000000001,,7.913693741488573,,,2.541433008619276,,,4.339286810286631,-0.7228915662650661,11.351351351351347,0.0159024757940588
2017-04-25,8.43,8.86,8.143,8.67,144468,0,5.218446601941751,8.294,8.062000000000001,,7.985722908965852,,,2.741776514535724,,,8.805108682303803,2.8469750889679744,12.890625,0.0508684468710701
