Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2012-01-31,2.5,2.54,2.5,2.54,1700,0,,,,,2.54,,,,,,1.6000000000000014,1.6000000000000014,,
2012-02-01,2.6,2.73,2.59,2.73,51792,0,7.480314960629908,,,,2.558095238095238,,,,,,5.405405405405411,4.999999999999996,,0.072137528166423
2012-02-02,2.8,2.81,2.71,2.71,17483,0,-0.73260073260073,,,,2.572562358276644,,,,,,3.690036900369007,-3.214285714285709,,-0.0073529743052588
2012-02-03,2.7,2.81,2.66,2.77,16550,0,2.2140221402213944,,,,2.591365943202678,,,,,,5.639097744360899,2.592592592592587,,0.0218986853076375
2012-02-06,2.88,2.88,2.56,2.65,31230,0,-4.3321299638989235,2.68,,,2.596950139088137,,,,,,12.499999999999991,-7.986111111111111,,-0.0442876802011163
2012-02-07,2.6,2.66,2.55,2.6,20869,0,-1.8867924528301772,2.6919999999999997,,,2.597240602032124,,,,,,4.3137254901960915,0.0,,-0.0190481949706943
2012-02-08,2.58,2.65,2.52,2.61,28750,0,0.3846153846153832,2.668,,,2.5984557827909693,,,,,,5.158730158730155,1.162790697674411,,0.0038387763071656
2012-02-09,2.63,2.75,2.63,2.67,65744,0,2.298850574712641,2.6599999999999997,,,2.605269517763258,,,,,,4.562737642585556,1.5209125475285186,,0.022728251077556
2012-02-10,2.7,2.7,2.55,2.55,25120,0,-4.49438202247191,2.616,,,2.600005754166757,,,,,,5.882352941176485,-5.555555555555569,,-0.0459851132418233
2012-02-13,2.51,2.7,2.51,2.7,26465,0,5.882352941176494,2.626,2.653,,2.609529015674685,,,,,,7.569721115537866,7.569721115537866,,0.0571584138399488
2012-02-14,2.66,2.66,2.54,2.57,26500,0,-4.814814814814827,2.62,2.656,,2.605764347515191,,,4.304234370888892,,,4.724409448818902,-3.3834586466165524,1.1811023622047223,-0.049345874103155
2012-02-15,2.65,2.66,2.6,2.62,47950,0,1.945525291828809,2.622,2.645,,2.6071201239423156,,,3.5546176590546503,,,2.3076923076923097,-1.132075471698106,-4.029304029304026,0.0192684188658772
2012-02-16,2.62,2.62,2.57,2.58,7208,0,-1.526717557251911,2.604,2.632,,2.6045372549954284,,,3.5728507769334663,,,1.945525291828804,-1.5267175572519098,-4.797047970479706,-0.0153849188394794
2012-02-17,2.55,2.58,2.51,2.55,20600,0,-1.1627906976744318,2.604,2.6100000000000003,,2.5993432307101494,,,3.452427542796432,50.48543689320388,,2.7888446215139555,0.0,-7.942238267148016,-0.0116960397631914
2012-02-21,2.56,2.58,2.5,2.52,30365,0,-1.17647058823529,2.568,2.5970000000000004,,2.591786732547278,,,3.227622084713975,49.05660377358491,,3.200000000000003,-1.562500000000001,-4.9056603773584895,-0.0118344576470027
2012-02-22,2.52,2.63,2.52,2.53,33000,0,0.3968253968253954,2.56,2.59,,2.58590228182849,,,3.1956962325134364,38.63636363636364,,4.36507936507936,0.3968253968253883,-2.692307692307705,0.0039604012160969
2012-02-23,2.56,2.63,2.49,2.62,84513,0,3.5573122529644285,2.5599999999999996,2.591,,2.5891496835591092,,,3.4132212749988433,45.26315789473685,,5.622489959839344,2.343750000000002,0.3831417624521105,0.0349550150335766
