Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2015-01-29,19.26,22.63,19.0,22.0,4717406,0,,,,,22.0,,,,,,19.10526315789473,14.226375908618891,,
2015-01-30,21.4,22.2,21.1,21.59,415965,0,-1.8636363636363673,,,,21.96095238095238,,,,,,5.213270142180084,0.8878504672897256,,-0.0188122088315999
2015-02-02,21.0,22.61,20.8,21.44,184343,0,-0.694766095414534,,,,21.911337868480725,,,,,,8.701923076923071,2.0952380952381016,,-0.0069719083241146
2015-02-03,21.69,21.94,20.4,21.0,110875,0,-2.0522388059701524,,,,21.82454378576827,,,,,,7.54901960784315,-3.181189488243436,,-0.0207358984791782
2015-02-04,20.51,21.49,20.41,21.02,25885,0,0.0952380952381037,21.41,,,21.747920568076054,,,,,,5.291523762861334,2.4865919063871185,,0.0009519277253821
2015-02-05,21.18,22.068,20.59,21.68,29367,0,3.1398667935299773,21.346,,,21.741451942545005,,,,,,7.1782418649830095,2.3607176581680833,,0.0309158111226404
2015-02-06,21.85,21.992,20.47,21.54,18809,0,-0.6457564575645836,21.336,,,21.722266043255004,,,,,,7.435271128480714,-1.4187643020595069,,-0.006478504843203
2015-02-09,21.37,22.22,20.53,21.35,41083,0,-0.882079851439177,21.318,,,21.686812134373575,,,,,,8.23185582075011,-0.0935891436593335,,-0.0088599320536088
2015-02-10,21.75,22.436,20.6,21.78,113733,0,2.0140515222482502,21.474,,,21.69568716919514,,,,,,8.912621359223293,0.1379310344827638,,0.0199403778301809
2015-02-11,21.87,21.87,20.83,21.47,73706,0,-1.423324150596883,21.564,21.487,,21.674193153081315,,,,,,4.9927988478156635,-1.8289894833104805,,-0.0143355056141248
2015-02-12,21.5,22.4,20.76,21.43,112720,0,-0.1863064741499775,21.514,21.43,,21.650936662311665,,,1.6574047267116048,,,7.899807321772625,-0.3255813953488385,-2.590909090909088,-0.001864802405204
2015-02-13,22.0,24.91,21.55,21.99,88589,0,2.6131591227251505,21.604000000000003,21.47,,21.683228408758172,,,1.7736235161100933,,,15.59164733178654,-0.0454545454545525,1.8527095877721056,0.0257959950811841
2015-02-17,21.98,23.52,21.98,22.85,44237,0,3.910868576625748,21.904,21.611,,21.794349512685965,,,2.0864862624976936,,,7.006369426751588,3.958143767060969,6.5764925373134275,0.0383633127735439
2015-02-18,22.82,23.95,22.15,23.63,57094,0,3.413566739606111,22.273999999999997,21.874,,21.96917336862063,,,2.012109797579597,66.33266533066131,,8.12641083521445,3.549517966695875,12.523809523809517,0.0335659738586026
2015-02-19,23.5,24.18,23.1,24.1,128995,0,1.9889970376639976,22.8,22.182,,22.172109238275812,,,1.984999057717576,69.23076923076924,,4.675324675324668,2.553191489361708,14.652711703139886,0.0196947492977929
2015-02-20,23.87,24.2,23.09,23.09,63484,0,-4.190871369294613,23.132,22.323,,22.259527406059068,,,2.5437334277240704,62.37623762376237,,4.807275877003029,-3.2677000418935944,6.503690036900367,-0.0428122171302054
2015-02-23,23.15,23.15,21.745,22.24,89744,0,-3.681247293200529,23.182,22.392999999999997,,22.257667653101063,,,2.8763923313201403,55.917159763313585,,6.4612554610255115,-3.930885529157668,3.249767873723308,-0.0375071539840224
2015-02-24,22.26,22.75,22.15,22.4,48278,0,0.7194244604316502,23.092,22.498,,22.271223114710484,,,2.844098453386201,60.802469135802454,,2.7088036117381553,0.6289308176100494,4.918032786885229,0.0071684894786124
2015-02-25,22.45,22.5,21.81,21.81,48895,0,-2.6339285714285676,22.728,22.501,,22.227297103785677,,,2.950228095879868,55.602836879432616,,3.1636863823934034,-2.8507795100222744,0.1377410468319517,-0.0266923786474564
2015-02-26,21.98,22.4,21.77,22.4,29462,0,2.705181109582755,22.388,22.594,22.0405,22.24374499866323,23.70696774251472,20.374032257485283,3.008957170402577,55.15759312320916,322133.5,2.893890675241153,1.9108280254776984,4.331625523986959,0.0266923786474564
2015-02-27,22.59,23.39,21.52,21.75,34994,0,-2.9017857142857095,22.119999999999997,22.626,22.028,22.196721665457208,23.69948972319211,20.35651027680789,3.1913576914430974,51.4018691588785,88012.9,8.689591078066918,-3.718459495351925,1.4932337844143715,-0.029447201326301
2015-03-02,22.05,22.05,20.88,20.91,45800,0,-3.86206896551724,21.854,22.518,21.994,22.074176744937475,23.729443519831836,20.258556480168163,3.301072866105007,47.29729729729729,69504.65,5.603448275862077,-5.1700680272108865,-4.9113233287858,-0.0393862440941508
