Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2005-02-25,18.525,18.611,18.059,18.28,180014,0,,,,,18.28,,,,,,3.056647654908907,-1.3225371120107825,,
2005-02-28,18.026,18.57,18.026,18.256,148509,0,-0.1312910284463897,,,,18.27771428571429,,,,,,3.0178630866526155,1.2759347609009233,,-0.0013137729062841
2005-03-01,18.529,18.621,18.214,18.597,116740,0,1.867879053461885,,,,18.308122448979592,,,,,,2.2345448556055785,0.3669922823681871,,0.0185064842681723
2005-03-02,18.51,18.515,18.157,18.157,169366,0,-2.3659730063988915,,,,18.29372983479106,,,,,,1.9716913587046347,-1.9070772555375557,,-0.0239441160993622
2005-03-03,18.482,18.51,18.092,18.178,45327,0,0.115657872996655,18.2936,,,18.282707945763335,,,,,,2.310413442405499,-1.644843631641589,,0.0011559104080488
2005-03-04,18.383,19.221,18.031,18.859,91746,0,3.746286720211245,18.4094,,,18.337592903309687,,,,,,6.599744883811222,2.5893488549203214,,0.0367781818336494
2005-03-07,18.747,19.476,18.666,19.167,73684,0,1.633172490588053,18.5916,,,18.41658405537543,,,,,,4.339440694310504,2.2403584573531856,,0.0161997967580878
2005-03-08,19.032,19.202,18.506,18.533,93089,0,-3.3077685605467755,18.5788,,,18.42767128819682,,,,,,3.760942397060421,-2.6218999579655256,,-0.0336371234731427
2005-03-09,18.525,18.533,18.27,18.309,58740,0,-1.2086548319214407,18.6092,,,18.416369260749505,,,,,,1.4395183360700694,-1.165991902833995,,-0.0121601845847056
2005-03-10,18.289,18.449,18.142,18.289,64823,0,-0.1092358949150718,18.631400000000003,18.4625,,18.40423885496384,,,,,,1.6922059309888775,0.0,,-0.0010929560080289
2005-03-11,18.361,18.506,18.124,18.497,38917,0,1.1372956421892957,18.559,18.4842,,18.413073249729187,,,2.0906450334182227,,,2.1077024939307076,0.7407003975818269,1.1870897155360938,0.0113087705499732
2005-03-14,18.174,18.525,18.157,18.402,67669,0,-0.5135967994809865,18.406,18.4988,,18.412018654516885,,,2.0995876222578045,,,2.026766536322072,1.2545394519643531,0.7997370727432118,-0.0051492024122423
2005-03-15,18.533,18.629,18.101,18.101,68157,0,-1.6356917726334186,18.3196,18.4492,,18.38239783027718,,,2.063725938272437,,,2.9169659134854555,-2.330977175848498,-2.6670968435769327,-0.0164921689957537
2005-03-16,18.036,18.342,18.002,18.054,64972,0,-0.2596541627534421,18.2686,18.4389,,18.35112184644126,,,1.9268096958937095,46.620813397129155,,1.8886790356627037,0.0998003992015808,-0.5672743294597216,-0.0025999184884527
2005-03-17,18.313,18.477,18.059,18.228,74942,0,0.9637753406447568,18.2564,18.443900000000003,,18.339395956303996,,,1.952921942769596,49.260943718021615,,2.314635361869424,-0.4641511494566554,0.2750577621300598,0.0095916065256731
2005-03-18,18.458,18.458,17.968,18.157,181697,0,-0.3895106429668726,18.1884,18.373700000000003,,18.322024912846473,,,1.4568063666824569,48.61150070126227,,2.7270703472840516,-1.6307292231010857,-3.722360676600045,-0.0039027121131062
2005-03-21,18.327,18.327,18.124,18.27,120170,0,0.6223495070771579,18.162,18.284,,18.317070159242046,,,1.3321866906023287,45.10038957147137,,1.1200617965129274,-0.3110165329841335,-4.679918610111134,0.0062042091013854
2005-03-22,18.27,18.675,18.157,18.327,80423,0,0.3119868637110112,18.2072,18.263399999999997,,18.31801585836185,,,0.8957494458255256,52.87745429925527,,2.8528942005838007,0.3119868637110135,-1.11153078292775,0.0031150119458243
2005-03-23,18.157,18.412,18.157,18.201,74508,0,-0.6875102308070091,18.2366,18.2526,,18.306871490898818,,,0.8378963833362616,50.37593984962405,,1.404417029244914,0.242330781516773,-0.5898738325413766,-0.0068988447074691
2005-03-24,18.365,18.365,18.157,18.162,52124,0,-0.21427394099226,18.2234,18.2399,18.3512,18.293074206051312,18.89362092802352,17.808779071976478,0.8392953916551588,35.581299131154324,93280.85,1.1455636944429055,-1.1053634631091718,-0.6944064738367506,-0.0021450383606339
2005-03-28,18.28,18.361,18.162,18.285,39441,0,0.6772381896267055,18.249,18.2187,18.351450000000003,18.292305234046424,18.893737348571825,17.80916265142818,0.7762175865188091,30.241935483871018,86252.2,1.095694306794415,0.0273522975929923,-1.1461318051575908,0.006749552333708
2005-03-29,18.128,18.365,18.064,18.128,95768,0,-0.8586272901285219,18.220599999999997,18.1913,18.34505,18.27665711651819,18.89504692822109,17.79505307177891,0.8032264184798884,38.461538461538495,83615.15,1.6662976085030912,0.0,-1.488968590370621,-0.008623347315694
2005-03-30,18.294,18.294,18.157,18.201,119159,0,0.4026919682259544,18.1954,18.2013,18.325250000000004,18.26945167684979,18.86548187029665,17.785018129703356,0.6215552160942873,46.63341645885287,83736.1,0.7545299333590376,-0.5083633978353557,0.5524556654328494,0.00401883334262
2005-03-31,18.137,18.214,17.392,17.563,124304,0,-3.505301906488667,18.0678,18.1522,18.29555,18.20217056476886,18.93155148129586,17.65954851870414,1.2915229616022164,33.663366336633686,81483.0,4.726310947562093,-3.1648012350443935,-2.719618921014733,-0.035682121188672
2005-04-01,17.457,17.771,17.457,17.691,66681,0,0.7288048738826047,17.973599999999998,18.0985,18.2712,18.153487653838493,18.96115334701169,17.58124665298831,1.2685619513860618,31.18580765639599,82550.7,1.7987053903878103,1.34043650111702,-2.9460171165240467,0.0072616192468783
2005-04-04,17.691,17.709,17.572,17.629,81249,0,-0.3504606862246184,17.8424,18.0457,18.2097,18.10353644871102,18.89831970254767,17.52108029745233,1.2682858234164678,31.67377904220021,82025.85,0.7796494422945621,-0.3504606862246205,-2.907969378201236,-0.0035107623828702
2005-04-05,17.847,17.847,17.581,17.704,88595,0,0.4254353621873097,17.7576,17.9891,18.13655,18.065485358357588,18.695633262794413,17.577466737205587,1.2540418333852736,39.458311205523195,82771.4,1.5129969853819567,-0.8012551129041333,-3.097974822112748,0.0042453294451422
2005-04-06,17.572,18.289,17.572,17.897,71760,0,1.0901491188431978,17.6968,17.9461,18.104750000000003,18.049439133752102,18.640761341199735,17.568738658800267,1.3191713799194984,46.13109906357813,81704.95,4.080355110402927,1.849533348508988,-2.346265073389009,0.0108424982865227
2005-04-07,17.842,18.021,17.696,17.847,60947,0,-0.2793764318042013,17.7536,17.9107,18.08165,18.030159216251903,18.62041243177744,17.54288756822256,1.309695400548896,39.99999999999999,81815.3,1.8365732368896883,0.0280237641520152,-1.9449480797758325,-0.0027976741613928
2005-04-08,17.911,17.911,17.691,17.691,55724,0,-0.8740964868045209,17.7536,17.8636,18.05175,17.997858338513627,18.60814663058498,17.495353369415025,1.3276432278455572,38.29145728643215,81360.35,1.2435701769261345,-1.2282954608899694,-2.593326726131484,-0.0087793911874016
2005-04-11,17.997,17.997,17.481,17.586,72598,0,-0.5935221298965621,17.744999999999997,17.793699999999998,18.0062,17.958633734845662,18.558262391592223,17.454137608407777,1.2888158157250864,32.744702320887995,83044.4,2.95177621417538,-2.283713952325395,-3.822805578342914,-0.0059529047296664
2005-04-12,17.527,17.888,17.317,17.596,107812,0,0.0568634140793999,17.7234,17.7405,17.965899999999998,17.924097188669887,18.513967571707987,17.41783242829201,1.2836574509577665,31.11111111111109,85051.55,3.2973378760755416,0.3936783248701949,-2.934686672550746,0.0005684725296631
2005-04-13,17.495,17.629,17.449,17.481,45809,0,-0.6535576267333365,17.6402,17.6685,17.934900000000003,17.88189745641561,18.51969898480724,17.350101015192763,1.2636378041614789,31.288981288981304,83934.15,1.0315777408447455,-0.080022863675332,-3.9558266029338984,-0.0065570266574263
2005-04-14,17.341,17.563,16.55,16.55,118703,0,-5.325782277901725,17.3808,17.5672,17.859699999999997,17.755050079614126,18.70762181864032,17.011778181359674,1.7850117431686514,21.377840909090935,86620.7,6.120845921450139,-4.5614439767026145,-5.7678073222114605,-0.0547284750059749
2005-04-15,16.554,16.759,16.159,16.387,122078,0,-0.984894259818736,17.119999999999997,17.436799999999998,17.76765,17.62475959584135,18.82184967648199,16.71345032351801,1.7269780103236023,16.771708683473364,88977.5,3.71310105823381,-1.0088196206354842,-7.370979594143911,-0.0098977642589849
2005-04-18,16.465,17.252,16.465,17.118,150238,0,4.460853115274288,17.026400000000002,17.3857,17.7157,17.576496777189792,18.79129787046431,16.640102129535688,2.392353789575782,35.276967930029116,87404.55,4.779836015791066,3.9659884603704754,-2.898632934369516,0.0436422038953307
2005-04-19,17.247,17.307,17.019,17.307,97218,0,1.1041009463722329,16.9686,17.345999999999997,17.66755,17.55083041745743,18.72473045564107,16.610369544358928,2.4236262635183783,37.39424703891705,86256.95,1.6922263352723443,0.3478865889719877,-2.242431089019437,0.010980502483444
2005-04-20,17.271,17.271,16.848,16.852,104898,0,-2.628994048650823,16.8428,17.2415,17.5938,17.484275139604343,18.663006415008216,16.524593584991788,2.4881620084355296,39.42908117752007,87480.7,2.5106837606837717,-2.4260320768919024,-5.838967424708041,-0.0266416998260918
2005-04-21,17.215,17.576,16.852,17.576,58794,0,4.296225967244238,17.048,17.214399999999998,17.562549999999998,17.493010840594405,18.592859605997393,16.532240394002603,2.929495112132621,48.54761303359436,86695.0,4.296225967244245,2.097008422887021,-1.51846248669244,0.0420649909655389
2005-04-22,17.137,17.252,16.876,17.019,129945,0,-3.1690942193900895,17.1744,17.147199999999998,17.5054,17.447866951013985,18.522422361706223,16.488377638293777,3.081582211131067,43.152222721149485,90586.05,2.2280161175633895,-0.6885685942697211,-3.7985416313379705,-0.0322039680697693
2005-04-25,17.239,17.285,17.015,17.285,72198,0,1.562959045772372,17.2078,17.1171,17.4554,17.432355812822177,18.40728331881148,16.503516681188522,3.1371179687655153,45.489773950484384,92223.9,1.5868351454598857,0.2668368234816368,-1.7115887637893734,0.015508706361048
2005-04-26,17.373,17.532,16.4,16.47,112585,0,-4.715070870697147,17.040399999999998,17.0045,17.3725,17.340702878267685,18.365641003398583,16.37935899660141,3.4528930160358904,36.453389026011024,93064.75,6.902439024390253,-5.197720600932494,-6.399181632189144,-0.048298529184039
2005-04-27,16.513,16.55,16.08,16.526,65918,0,0.3400121432908465,16.9752,16.909,17.28875,17.263112127956475,18.270148760094877,16.307351239905124,3.465622443714286,37.473923762564006,90402.7,2.922885572139319,0.0787258523587362,-5.463074194840123,0.0033943540894438
2005-04-28,16.4,16.619,16.26,16.26,109633,0,-1.6095848965266724,16.712,16.88,17.223599999999998,17.16757763957967,18.297025878106837,16.15017412189316,3.067775196352891,36.708155303734,89669.15,2.207872078720776,-0.8536585365853477,-1.7522658610271802,-0.0162267941593279
2005-04-29,16.442,16.596,16.084,16.554,77329,0,1.8081180811807984,16.619,16.8967,17.16675,17.109141673905416,18.256261503284584,16.077238496715417,3.108605610849999,40.73941134242642,90201.55,3.183287739368319,0.6811823379150853,1.0191005064990488,0.0179196603435393
