Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2005-02-25,7.2934,7.584,7.2934,7.5608,508443,0,,,,,7.5608,,,,,,3.984424274001145,3.66632846134862,,
2005-02-28,7.5449,7.6943,7.5449,7.6314,344305,0,0.9337636228970548,,,,7.56752380952381,,,,,,1.9801455287677765,1.1464698007925886,,0.0092943100046475
2005-03-01,7.7022,8.0556,7.6234,7.9614,1012309,0,4.324239326991108,,,,7.6050358276644,,,,,,5.669386363040112,3.3652722598738007,,0.0423335490849518
2005-03-02,7.9614,8.0009,7.8908,7.9693,839774,0,0.0992287788579737,,,,7.639727653601124,,,,,,1.3952957874993674,0.0992287788579816,,0.0009917957964903
2005-03-03,8.0479,8.0556,7.8827,8.0009,775900,0,0.3965216518389436,7.82476,,,7.674125019924826,,,,,,2.193410887132585,-0.5840032803588587,,0.0039573757673864
2005-03-04,8.0087,8.1344,7.9772,8.1344,575885,0,1.6685622867427474,7.93948,,,7.717960732312938,,,,,,1.9706162563305367,1.569543121854985,,0.0165479472207577
2005-03-07,8.1574,8.2757,8.0719,8.1739,429303,0,0.4855920535011826,8.047979999999999,,,7.761383519711706,,,,,,2.524808285533779,0.2022703312329767,,0.0048441685819023
2005-03-08,8.1739,8.1739,8.0719,8.0719,321148,0,-1.2478743317143604,8.070079999999999,,,7.790956517834401,,,,,,1.2636430084614565,-1.247874331714363,,-0.0125572566837445
2005-03-09,8.0719,8.0719,7.9379,7.9614,722459,0,-1.3689465924998978,8.068499999999998,,,7.8071892304216,,,,,,1.68810390657478,-1.3689465924998967,,-0.0137840306827921
2005-03-10,7.9772,7.9929,7.922,7.9772,478673,0,0.1984575577159697,8.06376,7.94426,,7.82338073228621,,,,,,0.8949760161575355,0.0,,0.0019826089086206
2005-03-11,8.0009,8.0243,7.9456,7.9693,963191,0,-0.0990322418893852,8.030739999999998,7.985110000000001,,7.837277805401809,,,1.610126689398348,,,0.9904853000402792,-0.3949555674986573,5.402867421436874,-0.0009908131121302
2005-03-14,7.8437,7.8985,7.7022,7.7258,1802203,0,-3.0554753867968354,7.94112,7.994549999999999,,7.826660871554017,,,1.9580600487807291,,,2.548622471501648,-1.5031171513443982,1.2369945226301748,-0.0310312822923931
2005-03-15,7.7178,8.362,7.7022,8.3304,2090274,0,7.825726785575604,7.99282,8.03145,,7.874636026644111,,,2.8837012650745457,,,8.566383630650979,7.93749514110237,4.63486321501243,0.075346096941143
2005-03-16,8.3304,8.3304,8.1344,8.1739,482232,0,-1.878661288773642,8.03532,8.05191,,7.90313735743991,,,2.9797341069818652,66.53541183451102,,2.4095200629425615,-1.8786612887736416,2.5673522141216987,-0.0189653230787036
2005-03-17,8.1344,8.3078,8.1344,8.2679,932401,0,1.150001835109293,8.093459999999999,8.07861,,7.937876656731347,,,2.99215777408938,68.15031572462652,,2.1316876475216477,1.641178206136897,3.3371245734854726,0.0114343957681176
2005-03-18,8.3463,8.3936,8.2204,8.2601,570791,0,-0.0943407636763815,8.15162,8.09118,,7.968564594185504,,,2.9587535999999384,66.67550793061378,,2.1069534329229667,-1.032792974132248,1.5452891424075466,-0.0009438529258297
2005-03-21,8.2601,8.2601,8.0243,8.0951,691666,0,-1.997554509025301,8.225480000000001,8.083299999999998,,7.980615585215456,,,3.0345619474560204,53.886401953374815,,2.938574081228261,-1.997554509025304,-0.9640440915597126,-0.0201777536393273
2005-03-22,7.8593,7.9772,7.6234,7.6627,2834110,0,-5.341502884460969,8.09194,8.04238,,7.950337910433031,,,3.459463501212059,42.85181385806211,,4.640973843691787,-2.501495044087897,-5.069438422180639,-0.05489453829418
2005-03-23,8.198,8.7944,8.1892,8.6222,5552941,0,12.521696007934535,8.1816,8.10846,,8.014324776106076,,,5.336297272667986,60.1106590724166,,7.390221267034631,5.1744327884849834,8.300047730298687,0.1179758704664188
