Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2010-11-03,7.3754,7.5622,6.9092,7.5234,901243,0,,,,,7.5234,,,,,,9.451166560527986,2.006670824633236,,
2010-11-04,7.5234,7.6271,7.1799,7.3811,618364,0,-1.8914320652896224,,,,7.509847619047619,,,,,,6.22849900416441,-1.8914320652896253,,-0.0190954844465837
2010-11-05,7.2523,7.3702,7.1799,7.303,327063,0,-1.0581078701006663,,,,7.490147845804989,,,,,,2.65045474170949,0.6990885650069629,,-0.0106374563578536
2010-11-08,7.2083,7.2973,7.006,7.106,678176,0,-2.6975215664795327,,,,7.453562336680704,,,,,,4.157864687410786,-1.4191973142072405,,-0.0273457250391374
2010-11-09,7.0864,7.0914,6.821,6.8833,1269518,0,-3.1339712918660223,7.23936,,,7.399251637949209,,,,,,3.9642281190441344,-2.866053285165952,,-0.0318413094866408
2010-11-10,6.7769,6.9671,6.7769,6.8,430453,0,-1.210175351938758,7.094679999999999,,,7.342180053382617,,,,,,2.806592984993137,0.3408638167893794,,-0.0121755759301335
2010-11-11,6.7608,7.126,6.7608,7.0267,543764,0,3.3338235294117613,7.0238,,,7.312134334012844,,,,,,5.401727606200459,3.9329665128387217,,0.0327945666447559
2010-11-12,6.8932,7.2573,6.8932,7.1305,222000,0,1.477222593820704,6.9893,,,7.294835826011621,,,,,,5.282017060291296,3.4425230662101693,,0.0146641793678675
2010-11-15,7.032,7.2035,6.7218,6.9186,702737,0,-2.971741112123971,6.95182,,,7.259003842581943,,,,,,7.166235234609777,-1.6126279863481283,,-0.030167921171696
2010-11-16,6.766,7.0664,6.766,7.0028,295410,0,1.2170092215187944,6.97572,7.10754,,7.234603476621758,,,,,,4.4398462902749,3.4998522021874026,,0.0120966320536516
2010-11-17,6.9235,7.1101,6.9136,7.0812,254143,0,1.119552179128358,7.03196,7.06332,,7.2199936217054,,,2.229612081305873,,,2.8422240222170845,2.277749693074315,-5.877661695510006,0.0111333157923461
2010-11-18,6.9879,7.1206,6.963,7.1206,512023,0,0.5564028695701273,7.05074,7.0372699999999995,,7.210527562495361,,,2.204047008413312,,,2.263392215998844,1.8989968373903436,-3.5292842530246227,0.0055486066673308
2010-11-19,7.1534,7.2523,7.0715,7.1534,183434,0,0.4606353397185847,7.05532,7.02231,,7.205086842257708,,,2.2011416005834277,,,2.556741851092408,0.0,-2.0484732301793707,0.00459577661919
2010-11-22,7.1497,7.2776,7.0458,7.2573,298712,0,1.4524561746861453,7.12306,7.037439999999999,,7.21005952394745,,,2.061565194854523,41.707697101900905,,3.289903204746087,1.504958249996499,2.129186602870803,0.0144200906824882
2010-11-23,7.2238,7.3509,7.2035,7.2776,283315,0,0.2797183525553581,7.178019999999999,7.0768699999999995,,7.2164919502381695,,,1.6921541789942085,42.435992122107336,,2.0462275282848643,0.7447603754256742,5.728357038048593,0.0027932786877196
2010-11-24,7.303,7.3856,7.2147,7.3811,198898,0,1.422172144663092,7.238,7.1349800000000005,,7.232168907358344,,,1.5855904347659002,50.0,,2.3687748624336495,1.069423524578941,8.545588235294122,0.0141215414701113
2010-11-26,7.2725,7.3661,7.1838,7.2833,54452,0,-1.3250057579493602,7.27054,7.160639999999999,,7.237038535228978,,,1.4481923176599183,49.38656037865105,,2.53765416631867,0.1485046407700199,3.6517853330866545,-0.0133386227918486
2010-11-29,7.2285,7.2776,7.1641,7.2776,183449,0,-0.0782612277401728,7.29538,7.175349999999999,,7.240901531873837,,,1.39860209129125,56.06617647058823,,1.5842883265169283,0.6792557238707789,2.0629689362597237,-0.0007829186782625
2010-11-30,7.2573,7.3313,7.227,7.3083,178381,0,0.4218423656150438,7.305579999999999,7.214319999999999,,7.247320433600138,,,0.8401186684503676,67.383835078534,,1.443199114431983,0.702740688685877,5.632642442112568,0.0042095510505998
2010-12-01,7.303,7.3509,7.2083,7.2432,323390,0,-0.8907680308690158,7.298699999999999,7.23836,7.17295,7.246928011352506,7.5419255233644975,6.803974476635503,0.9159095944831904,68.40225876100314,422946.25,1.978275044046444,-0.8188415719567311,3.4329125492660095,-0.0089475908767578
2010-12-02,7.2285,7.3162,7.1799,7.2035,142325,0,-0.5481002871658869,7.26318,7.25059,7.156954999999999,7.242792010271315,7.487721334919061,6.826188665080937,0.910383273666746,58.69052300432559,385000.35,1.898355130294298,-0.3458532198934821,1.7271083997062675,-0.0054960786801664
2010-12-03,7.1692,7.1692,7.006,7.0612,434927,0,-1.9754286110918229,7.21876,7.24465,7.14096,7.225497533102619,7.456685226306539,6.82523477369346,1.1203962724442889,46.71781756180737,375828.5,2.329431915500996,-1.506444233666234,-0.8341993652220214,-0.0199520102863996
2010-12-06,7.0612,7.1799,7.006,7.0812,201644,0,0.2832379765478787,7.179480000000001,7.237430000000001,7.1298699999999995,7.2117549109023695,7.437097336365965,6.822642663634034,1.112294020453071,59.411900902986815,369557.55,2.4821581501570043,0.2832379765478895,-1.0093102580591151,0.0028283761359952
2010-12-07,7.1305,7.2285,6.9385,7.0458,333679,0,-0.4999152685985386,7.1269800000000005,7.21628,7.126859999999999,7.19594968129262,7.436244042728024,6.817475957271974,0.9729545483162654,52.63803680981596,352332.7,4.179577718527059,-1.187854989131194,-2.9143069736678906,-0.0050116902520328
2010-12-08,7.0812,7.3562,7.0812,7.2432,402410,0,2.8016690794515853,7.1269800000000005,7.21284,7.144855,7.200449711645704,7.435914744093165,6.853795255906834,1.3793267452592737,58.67237687366166,308977.3,3.883522566796594,2.2877478393492616,-0.4726833021875265,0.0276314030826036
2010-12-09,7.2327,7.3213,7.1305,7.2776,485240,0,0.4749282085266149,7.141799999999999,7.202489999999999,7.168735,7.207797358155637,7.415691678706803,6.921778321293197,1.2979695574711745,58.44994617868676,311716.65,2.6758291844891704,0.6207916822210139,-1.40223001991574,0.0047380398261579
2010-12-10,7.2035,7.4589,7.1754,7.4441,307186,0,2.287842145762342,7.218379999999999,7.21857,7.1896049999999985,7.230302371664624,7.455818965982647,6.92339103401735,1.4259908346749737,63.67742542580217,299887.75,3.950999247428716,3.3400430346359364,2.207790424670142,0.0226206348018879
2010-12-13,7.4441,7.573,7.3352,7.4589,314443,0,0.1988151690600625,7.29392,7.236700000000001,7.206025,7.252073574363231,7.496311964190518,6.915738035809481,1.4220716931560935,60.35332785538209,304509.9,3.241902061293489,0.1988151690600629,2.491205892052339,0.0019861779326819
2010-12-14,7.4992,7.5383,7.4441,7.479,284722,0,0.2694767324940672,7.38056,7.25377,7.234045,7.273685614900066,7.515569342969149,6.952520657030851,1.42090614317786,60.345181836860505,283609.15,1.265431684152548,-0.2693620652869639,2.3357005049053914,0.0026911429492455
2010-12-15,7.4096,7.494,7.3138,7.4096,167472,0,-0.9279315416499512,7.413839999999999,7.27041,7.254384999999999,7.286629842052441,7.524097043522444,6.984672956477555,1.424237460822192,51.51708719259023,277212.25,2.4638354890754486,0.0,2.297327148221795,-0.00932263646518
2010-12-16,7.4645,7.5432,7.3754,7.479,144063,0,0.9366227596631304,7.45412,7.297959999999999,7.274275,7.304950809476018,7.54884007137845,6.9997099286215505,1.410686428499763,60.74212317488201,271708.25,2.275130840361197,0.1942527965704328,3.8245297424862823,0.0093226364651799
2010-12-17,7.494,7.4992,7.3754,7.3911,87490,0,-1.1752908142799834,7.44352,7.33095,7.2878,7.313155494287825,7.557090279692459,7.018509720307541,1.2784233909374425,55.71442956399155,250481.6,1.6785530276324017,-1.3730984787830265,4.672010423157524,-0.0118225195294289
