Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2010-01-26,10.255,10.255,10.255,10.255,0,0,,,,,10.255,,,,,,0.0,0.0,,
2010-01-27,10.255,10.258,10.255,10.255,875171,0,0.0,,,,10.255,,,,,,0.0292540224280676,0.0,,0.0
2010-01-28,10.258,10.258,10.255,10.255,117497,0,0.0,,,,10.255,,,,,,0.0292540224280676,-0.0292454669526061,,0.0
2010-01-29,10.258,10.258,10.255,10.255,346601,0,0.0,,,,10.255,,,,,,0.0292540224280676,-0.0292454669526061,,0.0
2010-02-01,10.258,10.258,10.255,10.255,344747,0,0.0,10.255,,,10.255,,,,,,0.0292540224280676,-0.0292454669526061,,0.0
2010-02-02,10.255,10.258,10.255,10.255,66894,0,0.0,10.255,,,10.255,,,,,,0.0292540224280676,0.0,,0.0
2010-02-03,10.258,10.258,10.255,10.258,106797,0,0.0292540224280601,10.2556,,,10.255285714285716,,,,,,0.0292540224280676,0.0,,0.0002924974427325
2010-02-04,10.258,10.258,10.255,10.255,191398,0,-0.0292454669526098,10.2556,,,10.25525850340136,,,,,,0.0292540224280676,-0.0292454669526061,,-0.0002924974427326
2010-02-05,10.255,10.258,10.255,10.255,77758,0,0.0,10.2556,,,10.255233884029805,,,,,,0.0292540224280676,0.0,,0.0
2010-02-08,10.255,10.258,10.255,10.255,96583,0,0.0,10.2556,10.255300000000002,,10.255211609360298,,,,,,0.0292540224280676,0.0,,0.0
2010-02-09,10.258,10.305,10.255,10.255,123392,0,0.0,10.2556,10.255300000000002,,10.25519145608789,,,0.0137884619969742,,,0.4875670404680539,-0.0292454669526061,0.0,0.0
2010-02-10,10.258,10.258,10.255,10.255,44240,0,0.0,10.255,10.2553,,10.255173222174758,,,0.0137884619969742,,,0.0292540224280676,-0.0292454669526061,0.0,0.0
2010-02-11,10.258,10.275,10.255,10.264,87001,0,0.0877620672842471,10.2568,10.256200000000002,,10.256013867681924,,,0.0309890794340699,,,0.1950268161872215,0.0584909339052469,0.0877620672842471,0.0008772357889913
2010-02-12,10.258,10.264,10.255,10.255,126990,0,-0.0876851130163558,10.2568,10.256200000000002,,10.255917308855071,,,0.0435914797141238,50.0,,0.0877620672842375,-0.0292454669526061,0.0,-0.0008772357889912
2010-02-16,10.305,10.305,10.255,10.264,48423,0,0.0877620672842471,10.2586,10.2571,,10.256687088964114,,,0.0516746396420659,63.636363636364614,,0.4875670404680539,-0.3978651140223228,0.0877620672842471,0.0008772357889913
2010-02-17,10.264,10.27,10.255,10.258,48627,0,-0.058456742010915,10.2592,10.2574,,10.256812128110388,,,0.0559115806792108,53.84615384615244,,0.1462701121404075,-0.0584567420109141,0.0292540224280601,-0.0005847383462586
2010-02-18,10.255,10.264,10.255,10.258,53677,0,0.0,10.259799999999998,10.2574,,10.25692525876654,,,0.0551417628629849,53.84615384615244,,0.0877620672842375,0.0292540224280676,0.0,0.0
2010-02-19,10.258,10.258,10.255,10.258,29244,0,0.0,10.2586,10.2577,,10.25702761507449,,,0.0541847649807042,53.84615384615244,,0.0292540224280676,0.0,0.0292540224280601,0.0
2010-02-22,10.258,10.258,10.255,10.258,147116,0,0.0,10.259199999999998,10.258,,10.257120223162634,,,0.0541847649807042,53.84615384615244,,0.0292540224280676,0.0,0.0292540224280601,0.0
2010-02-23,10.255,10.258,10.255,10.258,100596,0,0.0,10.258,10.2583,10.2568,10.25720401143286,10.262441948151777,10.251158051848224,0.0541847649807042,53.84615384615244,151637.6,0.0292540224280676,0.0292540224280676,0.0292540224280601,0.0
2010-02-24,10.27,10.27,10.255,10.255,203253,0,-0.0292454669526098,10.2574,10.2583,10.2568,10.25699410558211,10.262441948151777,10.251158051848224,0.0551417628629849,46.15384615384756,161800.25,0.1462701121404075,-0.1460564751703874,0.0,-0.0002924974427326
2010-02-25,10.258,10.258,10.255,10.255,64793,0,0.0,10.256799999999998,10.2583,10.256800000000002,10.256804190764766,10.262441948151778,10.251158051848224,0.0551417628629849,50.0,121281.35,0.0292540224280676,-0.0292454669526061,0.0,0.0
2010-02-26,10.255,10.258,10.255,10.255,149731,0,0.0,10.2562,10.2574,10.2568,10.256632363072884,10.262441948151777,10.251158051848224,0.0458203363347363,50.0,122893.05,0.0292540224280676,0.0,-0.0876851130163558,0.0
2010-03-01,10.258,10.264,10.255,10.255,407776,0,0.0,10.2556,10.2574,10.2568,10.256476899923085,10.262441948151777,10.251158051848224,0.0364762755766748,50.0,125951.8,0.0877620672842375,-0.0292454669526061,0.0,0.0
2010-03-02,10.255,10.258,10.255,10.255,205116,0,0.0,10.255,10.2565,10.2568,10.256336242787553,10.262441948151777,10.251158051848224,0.0197296175502119,50.0,118970.25,0.0292540224280676,0.0,-0.0876851130163558,0.0
2010-03-03,10.258,10.258,10.255,10.255,87019,0,0.0,10.255,10.2562,10.2568,10.25620898156969,10.262441948151777,10.251158051848224,0.009248228680543,50.0,119976.5,0.0292540224280676,-0.0292454669526061,-0.0292454669526098,0.0
2010-03-04,10.255,10.258,10.255,10.255,295676,0,0.0,10.255,10.2559,10.25665,10.256093840467814,10.262317079448328,10.250982920551673,0.009248228680543,33.33333333333333,129420.45,0.0292540224280676,0.0,-0.0292454669526098,0.0
2010-03-05,10.255,10.264,10.255,10.255,179669,0,0.0,10.255,10.2556,10.25665,10.255989665185163,10.262317079448328,10.250982920551673,0.009248228680543,50.0,128834.0,0.0877620672842375,0.0,-0.0292454669526098,0.0
2010-03-08,10.275,10.278,10.255,10.255,149563,0,0.0,10.255,10.255300000000002,10.25665,10.255895411358006,10.262317079448328,10.250982920551673,0.009248228680543,0.0,132424.25,0.2242808386153065,-0.1946472019464678,-0.0292454669526098,0.0
