Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2010-11-15,15.8,16.12,15.4,15.84,238035,0,,,,,15.84,,,,,,4.6753246753246795,0.2531645569620199,,
2010-11-16,15.68,16.44,15.55,15.9,316510,0,0.3787878787878895,,,,15.845714285714283,,,,,,5.723472668810293,1.4030612244898,,0.0037807228399061
2010-11-17,16.25,16.25,15.9,16.0,274505,0,0.6289308176100628,,,,15.860408163265303,,,,,,2.201257861635218,-1.5384615384615383,,0.0062696130135953
2010-11-18,16.32,16.58,16.01,16.2,282771,0,1.2499999999999956,,,,15.892750242954325,,,,,,3.560274828232334,-0.7352941176470649,,0.0124225199985571
2010-11-19,16.28,16.28,15.15,15.18,127563,0,-6.296296296296289,15.824000000000002,,,15.824869267434863,,,,,,7.458745874587463,-6.756756756756765,,-0.0650324702708544
2010-11-22,15.06,15.37,14.8,15.13,151022,0,-0.3293807641633672,15.682,,,15.758691241964875,,,,,,3.851351351351341,0.4648074369189925,,-0.0032992441672192
2010-11-23,15.0,15.25,14.85,15.12,78703,0,-0.0660938532716537,15.526,,,15.697863504634888,,,,,,2.693602693602696,0.7999999999999948,,-0.0006611570488776
2010-11-24,15.42,16.06,15.2,15.65,50904,0,3.5052910052910224,15.456,,,15.69330507562204,,,,,,5.657894736842102,1.491569390402078,,0.0344525462347754
2010-11-26,15.35,15.5,15.27,15.48,18623,0,-1.0862619808306715,15.312,,,15.67299030651518,,,,,,1.5062213490504284,0.8469055374592884,,-0.0109220488245811
2010-11-29,15.42,15.79,15.42,15.57,74551,0,0.5813953488372103,15.39,15.607,,15.663181705894688,,,,,,2.3994811932555073,0.9727626459143992,,0.0057971176843259
2010-11-30,15.52,16.0,15.5,15.9,110260,0,2.119460500963388,15.544,15.613,,15.685735829142812,,,2.58430880964947,,,3.225806451612903,2.4484536082474277,0.3787878787878895,0.0209731233802788
2010-12-01,15.92,16.08,15.79,15.95,154165,0,0.3144654088050203,15.71,15.618,,15.710903845414926,,,2.5835308655874702,,,1.836605446485112,0.1884422110552723,0.3144654088050203,0.0031397200046676
2010-12-02,16.03,16.03,15.54,15.85,93952,0,-0.6269592476489061,15.75,15.603,,15.724151098232552,,,2.58344286292768,,,3.1531531531531662,-1.1228945726762414,-0.9375000000000022,-0.0062893289075639
2010-12-03,15.7,16.47,15.7,16.2,138165,0,2.208201892744488,15.894,15.603,,15.769470041258025,,,2.654367607182256,55.88235294117647,,4.904458598726112,3.1847133757961785,0.0,0.0218417419150488
2010-12-06,16.09,16.96,16.09,16.77,212223,0,3.518518518518521,16.134,15.762,,15.864758608757258,,,1.6957110096783743,62.8099173553719,,5.407085146053456,4.226227470478556,10.474308300395265,0.0345803335967791
2010-12-07,16.93,18.36,16.85,17.83,255355,0,6.320810971973745,16.520000000000003,16.032,,16.05192445554228,,,2.3049656860901204,70.84233261339092,,8.961424332344201,5.316007088009442,17.845340383344332,0.0612908560399313
2010-12-08,18.18,18.48,17.95,18.28,195320,0,2.5238362310712414,16.986,16.348,,16.264122126443016,,,2.2314427328438216,72.89156626506025,,2.952646239554324,0.5500550055005579,20.899470899470906,0.024925134150955
2010-12-09,18.84,19.83,18.45,19.21,342496,0,5.087527352297583,17.657999999999998,16.704,,16.544681923924635,,,2.404329361644301,76.35726795096323,,7.479674796747962,1.9639065817409824,22.747603833865824,0.0496234107544612
2010-12-10,19.46,19.78,18.57,19.48,86999,0,1.4055179593961409,18.314,17.104,,16.824236026408002,,,2.1539570473770975,93.34677419354838,,6.515885837372109,0.1027749229188056,25.839793281653755,0.0139573214339236
2010-12-13,19.4,19.65,19.04,19.61,84734,0,0.6673511293634471,18.882,17.508000000000003,16.557499999999997,17.08954688103581,19.506282978218568,13.608717021781429,2.1462938724192355,94.44444444444444,164342.8,3.203781512605039,1.0824742268041283,25.947334617854835,0.0066513419938658
2010-12-14,19.56,19.56,18.48,18.77,142143,0,-4.283528811830695,19.07,17.794999999999998,16.704,17.249590035222877,19.79060535727827,13.617394642721726,3.0066504762661244,81.09028960817717,159548.2,5.844155844155835,-4.0388548057259674,18.05031446540879,-0.0437797896098374
2010-12-15,17.85,18.89,17.49,18.39,96662,0,-2.024507192328173,19.092,18.039,16.8285,17.358200508058793,19.97877333818244,13.678226661817554,3.2115795923602803,73.95104895104896,148555.8,8.004574042309905,3.0252100840336085,15.297805642633232,-0.0204528119821876
2010-12-16,18.42,18.73,17.95,18.26,51070,0,-0.7069059271343048,18.902,18.28,16.941499999999998,17.444086173957956,20.128561177223997,13.754438822776,3.217500423096334,74.47183098591552,137384.05,4.345403899721455,-0.8686210640608042,15.205047318612008,-0.0070941634494072
