Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2017-09-25,49.93,49.93,49.9261,49.9261,300,0,,,,,49.9261,,,,,,0.0078115454641992,-0.0078109353094363,,
2017-09-26,49.9261,49.9261,49.9261,49.9261,0,0,0.0,,,,49.9261,,,,,,0.0,0.0,,0.0
2017-09-27,49.9261,49.9261,49.9261,49.9261,0,0,0.0,,,,49.9261,,,,,,0.0,0.0,,0.0
2017-09-28,49.9261,49.9261,49.9261,49.9261,0,0,0.0,,,,49.9261,,,,,,0.0,0.0,,0.0
2017-09-29,49.9261,49.9261,49.9261,49.9261,0,0,0.0,49.9261,,,49.9261,,,,,,0.0,0.0,,0.0
2017-10-02,49.9261,49.9261,49.9261,49.9261,0,0,0.0,49.9261,,,49.9261,,,,,,0.0,0.0,,0.0
2017-10-03,49.9261,49.9261,49.9261,49.9261,0,0,0.0,49.9261,,,49.9261,,,,,,0.0,0.0,,0.0
2017-10-04,49.9261,49.9261,49.9261,49.9261,0,0,0.0,49.9261,,,49.9261,,,,,,0.0,0.0,,0.0
2017-10-05,49.9261,49.9261,49.9261,49.9261,0,0,0.0,49.9261,,,49.9261,,,,,,0.0,0.0,,0.0
2017-10-06,49.8899,49.89,49.865,49.865,1864,0,-0.1223808789390656,49.91388,49.91999,,49.92028095238095,,,,,,0.0501353654868115,-0.049909901603321,,-0.0012245582548978
2017-10-09,49.865,49.865,49.865,49.865,0,0,0.0,49.90166000000001,49.91387999999999,,49.91501609977324,,,0.0387002319500778,,,0.0,0.0,-0.1223808789390656,0.0
2017-10-10,49.865,49.865,49.865,49.865,0,0,0.0,49.88944,49.90777,,49.9102526616996,,,0.0387002319500778,,,0.0,0.0,-0.1223808789390656,0.0
2017-10-11,49.865,49.865,49.865,49.865,0,0,0.0,49.87722,49.90166,,49.905942884394875,,,0.0387002319500778,,,0.0,0.0,-0.1223808789390656,0.0
2017-10-12,49.865,49.865,49.865,49.865,0,0,0.0,49.865,49.89555,,49.902043562071555,,,0.0387002319500778,0.0,,0.0,0.0,-0.1223808789390656,0.0
2017-10-13,49.865,49.865,49.865,49.865,5000,0,0.0,49.865,49.88944,,49.898515603779025,,,0.0387002319500778,0.0,,0.0,0.0,-0.1223808789390656,0.0
2017-10-16,49.865,49.865,49.865,49.865,0,0,0.0,49.865,49.88333,,49.89532364151436,,,0.0387002319500778,0.0,,0.0,0.0,-0.1223808789390656,0.0
2017-10-17,49.865,49.865,49.865,49.865,0,0,0.0,49.865,49.87722000000001,,49.89243567565585,,,0.0387002319500778,0.0,,0.0,0.0,-0.1223808789390656,0.0
2017-10-18,49.96,49.96,49.96,49.96,7160,0,0.1905143888498939,49.884,49.88061,,49.89887037321243,,,0.075135872754682,60.85842408712485,,0.0,0.0,0.0679003567272573,0.0019033314035456
2017-10-19,49.96,49.96,49.96,49.96,0,0,0.0,49.903000000000006,49.884,,49.90469224243029,,,0.075135872754682,60.85842408712485,,0.0,0.0,0.0679003567272573,0.0
2017-10-20,49.96,49.96,49.96,49.96,10000,0,0.0,49.922,49.8935,49.906745,49.90995964791312,49.980474219373825,49.83301578062618,0.0602459395800651,60.85842408712485,1216.2,0.0,0.0,0.1905143888498939,0.0
2017-10-23,49.96,49.96,49.96,49.96,0,0,0.0,49.940999999999995,49.903000000000006,49.90844,49.91472539573092,49.98552506306262,49.83135493693738,0.0602459395800651,60.85842408712485,1201.2,0.0,0.0,0.1905143888498939,0.0
2017-10-24,49.9,49.9,49.9,49.9,500,0,-0.1200960768614978,49.948,49.90650000000001,49.907135,49.91332297708988,49.98384402712266,49.830425972877336,0.0747015738121001,43.96112910689498,1226.2,0.0,0.0,0.0701895116815398,-0.001201682499904
2017-10-25,49.9,49.9,49.9,49.9,501,0,0.0,49.936,49.91,49.90583,49.912054122128936,49.982067139726546,49.82959286027346,0.0747015738121001,43.96112910689498,1251.25,0.0,0.0,0.0701895116815398,0.0
2017-10-26,49.9,49.9,49.9,49.9,0,0,0.0,49.924,49.9135,49.904525,49.910906110497606,49.98019260761452,49.82885739238548,0.0747015738121001,61.29032258064398,1251.25,0.0,0.0,0.0701895116815398,0.0
2017-10-27,49.9,49.9,49.9,49.9,0,0,0.0,49.912,49.917,49.90322,49.90986743330736,49.978218206294336,49.82822179370566,0.0747015738121001,61.29032258064398,1251.25,0.0,0.0,0.0701895116815398,0.0
2017-10-30,49.9,49.9,49.9,49.9,10008,0,0.0,49.9,49.9205,49.901914999999995,49.90892767775428,49.976141233835975,49.827688766164016,0.0747015738121001,61.29032258064398,1751.65,0.0,0.0,0.0701895116815398,0.0
2017-10-31,49.9,49.9,49.9,49.9,0,0,0.0,49.9,49.92399999999999,49.90061,49.90807742273006,49.97395845171114,49.82726154828886,0.0747015738121001,61.29032258064398,1751.65,0.0,0.0,0.0701895116815398,0.0
2017-11-01,49.7095,49.7095,49.7095,49.7095,10001,0,-0.3817635270541131,49.8619,49.89895,49.889779999999995,49.88916528723196,50.00130766189793,49.77825233810206,0.1224654836007481,27.49638205499234,2251.7,0.0,0.0,-0.5014011208967273,-0.0038249410398397
2017-11-02,49.7095,49.7095,49.7095,49.7095,0,0,0.0,49.82379999999999,49.873900000000006,49.87895,49.87205430749558,50.01499832732681,49.7429016726732,0.1224654836007481,27.49638205499234,2251.7,0.0,0.0,-0.5014011208967273,0.0
2017-11-03,49.7095,49.7095,49.7095,49.7095,10002,0,0.0,49.7857,49.84885,49.871175,49.85657294487695,50.02692658189617,49.71542341810383,0.1224654836007481,27.49638205499234,2658.6,0.0,0.0,-0.5014011208967273,0.0
2017-11-06,49.7095,49.7095,49.7095,49.7095,0,0,0.0,49.7476,49.8238,49.8634,49.842565997745815,50.03515245344145,49.69164754655855,0.1224654836007481,27.49638205499234,2658.6,0.0,0.0,-0.5014011208967273,0.0
