Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2011-11-07,8.8296,8.8418,8.7773,8.7802,949310,0,,,,,8.7802,,,,,,0.7348501247536132,-0.5594817432273099,,
2011-11-08,8.7802,8.7888,8.7372,8.7494,1211745,0,-0.350789275870722,,,,8.777266666666668,,,,,,0.5905782172778526,-0.350789275870721,,-0.0035140598410433
2011-11-09,8.7358,8.7358,7.8407,7.9088,2506820,0,-9.60751594395044,,,,8.694555555555556,,,,,,11.416072544543209,-9.46679182215709,,-0.1010090630192659
2011-11-10,8.0176,8.0563,7.6574,7.9288,1613971,0,0.252882864657078,,,,8.621626455026457,,,,,,5.209339984851258,-1.1075633606066653,,0.0025256365398037
2011-11-11,8.0047,8.4666,7.9711,8.4666,1198549,0,6.782867520936331,8.36676,,,8.606862030738222,,,,,,6.216206044335159,5.770359913550789,,0.0656273111992712
2011-11-14,8.4687,8.5854,8.3226,8.4687,613534,0,0.0248033449082418,8.30446,,,8.593703742096487,,,,,,3.157667075192853,0.0,,0.0002480026938719
2011-11-15,8.3649,8.4687,8.1537,8.4279,796822,0,-0.4817740621346988,8.24016,,,8.577912909515868,,,,,,3.8632767945840474,0.7531470788652443,,-0.0048293833431552
2011-11-16,8.4415,8.5382,8.3534,8.4279,675169,0,0.0,8.343979999999998,,,8.563625965752452,,,,,,2.2122728469844515,-0.1611088076763641,,0.0
2011-11-17,8.5024,8.5024,8.2181,8.2518,445807,0,-2.0894884846758943,8.40858,,,8.533928254728409,,,,,,3.459437096165781,-2.947403086187434,,-0.0211162722937695
2011-11-18,8.2496,8.3133,8.0076,8.0599,405790,0,-2.325553212632381,8.32724,8.347,,8.488782706659036,,,,,,3.817623257904988,-2.299505430566312,,-0.0235302088729005
2011-11-21,8.0434,8.0434,7.7462,7.8565,575689,0,-2.5236045112222327,8.204799999999999,8.254629999999999,,8.428565306024842,,,4.003160577546292,,,3.836719940099663,-2.323644230051974,-10.520261497460204,-0.0255599348456299
2011-11-22,7.7799,7.9976,7.7763,7.9038,380227,0,0.6020492585757209,8.099979999999999,8.170069999999999,,8.378587657832,,,4.032404602227505,,,2.845826421305766,1.5925654571395622,-9.664662719729344,0.0060024418336501
2011-11-23,7.7799,7.8694,7.5722,7.5844,341598,0,-4.041094157240832,7.931280000000001,8.13763,,8.302950738038476,,,2.938186044513121,,,3.924883125115556,-2.512885769739971,-4.101760064738025,-0.0412501503037879
2011-11-25,7.5479,7.845,7.5479,7.729,179928,0,1.9065450134486683,7.82672,8.117650000000001,,8.248288762987192,,,3.023066188031608,29.426961014560845,,3.936194173213735,2.3993428635779463,-2.519927353445661,0.0188859819468224
2011-11-28,8.0434,8.0735,7.7691,7.8236,328248,0,1.2239617026782224,7.77946,8.05335,,8.207842214131269,,,1.89343784618828,31.946855891900057,,3.918085749958159,-2.732675236840145,-7.594547988566836,0.0121653185564916
2011-11-29,7.8049,7.9446,7.7878,7.8601,253291,0,0.4665371440257804,7.78018,7.992490000000001,,8.174723908023529,,,1.9190312331228032,33.252984821663986,,2.0134055830915085,0.7072480108649712,-7.186463093509044,0.0046545223252679
2011-11-30,8.1329,8.1329,7.6231,7.9116,652036,0,0.6552079490082852,7.781739999999999,7.940859999999999,,8.149664488211764,,,1.9681772374067423,50.075026795284025,,6.687568049743535,-2.7210466131392175,-6.126081230199687,0.0065307079186238
2011-12-01,7.8787,8.0641,7.6539,7.7011,255435,0,-2.6606501845391484,7.805079999999999,7.86818,,8.106944060763025,,,2.0541318243133997,44.46389496717726,,5.3593592808894766,-2.2541789889194916,-8.623737823182509,-0.0269668611257317
2011-12-02,7.7727,8.0004,7.7691,7.9345,221494,0,3.030735868901835,7.84618,7.836449999999999,,8.090520816880833,,,2.337382103254962,34.81536441983907,,2.9771788238019967,2.081644730917178,-3.8452216486099977,0.0298571642213744
2011-12-05,8.0599,8.1837,8.0305,8.0699,499386,0,1.7064717373495464,7.895440000000001,7.83745,8.092225000000001,8.088556929558848,8.7906752600683,7.393774739931703,2.3095091669031182,39.42399490824231,705242.45,1.9077267916069984,0.1240710182508441,0.1240710182508486,0.0169207506105914
2011-12-06,8.0047,8.1107,7.8386,8.1071,507183,0,0.4609722549226092,7.944840000000001,7.86251,8.05857,8.09032293626753,8.677816421828473,7.439323578171527,2.1275722406497315,41.47624614730582,683136.1,3.4712831372949253,1.2792484415406096,3.189715522179104,0.0045991303172622
2011-12-07,8.0498,8.279,8.0283,8.2188,341703,0,1.377804640376934,8.00628,7.89401,8.03204,8.102558847099193,8.566300899797683,7.497779100202317,2.152386402747997,44.75545522949587,639634.0,3.122703436593054,2.099431041765019,3.9854247324071945,0.0136839920611089
2011-12-08,8.2117,8.2403,7.9818,8.2288,229599,0,0.1216722635907885,8.11182,7.958449999999999,8.04804,8.114581814042127,8.585915209162478,7.510164790837523,1.4985504227008084,49.37069059866477,525772.95,3.238617855621536,0.2082394632049298,8.496387321343812,0.0012159830287918
2011-12-09,8.2288,8.2482,8.0498,8.2446,171273,0,0.1920085553179129,8.173840000000002,8.01001,8.06383,8.126964498419067,8.605494577118776,7.522165422881224,1.4591213999754722,55.59256343486947,453638.05,2.4646575070188232,0.1920085553179137,6.670979428127821,0.0019182445451319
2011-12-12,8.13,8.1551,7.8522,8.0219,342996,0,-2.701161972685151,8.164240000000001,8.02984,8.041595000000001,8.11695835571249,8.549075668960327,7.534114331039675,1.782014180256634,54.95031725128699,410860.4,3.857517638368856,-1.329643296432968,2.534638785213983,-0.0273831390327552
2011-12-13,8.1136,8.4215,8.0563,8.4164,739779,0,4.917787556563891,8.226099999999999,8.085469999999999,8.038979999999999,8.145476607549394,8.537656634387664,7.540303365612333,2.314374892869262,62.70195262166715,417172.65,4.5330983205689925,3.732005521593368,7.0775180977341146,0.0480068818321285
2011-12-14,8.3821,8.4215,8.1107,8.3183,368969,0,-1.165581483769773,8.245999999999999,8.126140000000001,8.0335,8.161935978258976,8.51633867197843,7.550661328021571,2.389573780444452,70.42582799888679,395780.0,3.8319750453105215,-0.7611457749251231,5.140553111886348,-0.0117242763505694
2011-12-15,8.4215,8.4215,8.0599,8.2417,476220,0,-0.9208612336655486,8.24858,8.180200000000001,8.02419,8.16953255175812,8.481515170046318,7.566864829953683,2.186310117622067,64.83077813132775,385832.55,4.48640801995061,-2.135011577509947,7.0197763955798465,-0.0092512737105803
2011-12-16,8.3821,8.4343,8.3491,8.3857,262264,0,1.747212346967264,8.2768,8.22532,8.030885000000001,8.190119927781156,8.505821380337853,7.55594861966215,2.0689300305719023,65.80797570167053,376655.4,1.0204692721371211,0.0429486644158443,5.68655869935093,0.0173212408779033
2011-12-19,8.4386,8.4616,8.13,8.3985,505201,0,0.1526408051802485,8.35212,8.25818,8.047815,8.209965648944856,8.550439293190513,7.545190706809487,2.032423658573283,65.34602667882797,381625.95,4.078720787207871,-0.4751973076102543,4.071921585149751,0.001525244275147
2011-12-20,8.4673,8.5733,8.425,8.4852,326565,0,1.032327201285943,8.36588,8.29599,8.079249999999998,8.236178444283441,8.609381886271807,7.54911811372819,2.0417676175889863,66.02771878842074,369169.75,1.7602373887240237,0.2114015093359266,4.663813200774625,0.0102703509411377
2011-12-21,8.4458,8.5088,8.3656,8.4673,190156,0,-0.2109555461273893,8.39568,8.32084,8.107425000000001,8.25819002101835,8.657805273801193,7.55704472619881,2.0254936534998773,73.99173346693385,359666.2,1.711772018743428,0.2545643988728081,3.023555750231166,-0.0021117837076871
2011-12-22,8.4723,8.6685,8.3821,8.6248,330569,0,1.8600970793523297,8.4723,8.36044,8.159445000000002,8.293105257111842,8.698227789843536,7.6206622101564685,2.08076140199402,72.69379972384772,359114.75,3.4168048579711585,1.799983475561534,4.812366323157691,0.0184300885343996
2011-12-23,8.6291,8.9055,8.579,8.8883,355755,0,3.055143307670894,8.57282,8.42481,8.21741,8.349790470720238,8.808147387196358,7.626672612803639,2.2269936765848097,74.81503941782896,367906.1,3.8058048723627382,3.00378950296091,7.807534628726676,0.0300940309002628
2011-12-27,8.8461,8.9413,8.7473,8.8232,426031,0,-0.7324235230583898,8.65776,8.504940000000001,8.26739,8.394877092556406,8.886310254705093,7.64846974529491,1.955902261068934,71.35189933806429,372795.25,2.217827215255003,-0.2588711409547701,9.988905371545398,-0.0073511891332338
2011-12-28,8.806,8.869,8.6735,8.7007,284184,0,-1.3883851663795466,8.70086,8.533370000000001,8.30942,8.42400308374151,8.926047129846848,7.69279287015315,1.5083024358934185,64.27682645019848,374339.9,2.253992044733949,-1.1957756075403103,3.37792880566512,-0.0139811338158608
2011-12-29,8.7093,8.7387,8.6248,8.7387,274475,0,0.4367464686749311,8.75514,8.57541,8.350775,8.453974218623271,8.966003443237492,7.735546556762509,1.4122976912213647,64.85982397855102,355461.85,1.3206103329932195,0.337570183596833,5.053917266749197,0.0043579549916386
2011-12-30,8.7387,8.8181,8.5274,8.7265,399954,0,-0.1396088663073502,8.775479999999998,8.62389,8.402045,8.479929054944865,8.957292330285775,7.846797669714225,1.344765648160149,64.07336020092283,362687.8,3.4090109529281993,-0.1396088663073453,5.882281568123071,-0.0013970641028237
2012-01-03,8.9098,8.9492,8.8411,8.9356,361862,0,2.396149659084412,8.78494,8.678880000000001,8.4521,8.523326287807258,9.010367176180017,7.893832823819985,1.4207898538529344,76.89726229025611,369706.2,1.2226985329879598,0.2895687894228856,6.557592091298292,0.0236789249248774
2012-01-04,8.9005,9.0244,8.8461,8.9893,425616,0,0.6009669188414835,8.81816,8.737960000000001,8.49807,8.567704736587519,9.07492861115456,7.921211388845442,1.4105225227263738,71.0981807468513,366017.7,2.01557748612383,0.9976967586090768,7.0345895100315525,0.0059916831506561
2012-01-05,8.9492,9.0108,8.8783,9.0108,430346,0,0.2391732392956091,8.88018,8.790519999999999,8.543254999999998,8.609904285483946,9.132605873865751,7.953904126134247,1.411496725433502,77.02755444539841,362175.85,1.492402824865124,0.688329683100169,6.194314806957979,0.0023888767534137
2012-01-06,9.0616,9.0774,8.9005,9.0208,371571,0,0.1109779375860098,8.9366,8.845870000000001,8.583355000000001,8.649037210675951,9.188674685785958,7.978035314214043,1.3942146168820333,82.07492795389045,363669.25,1.9875287905174048,-0.4502516111945002,6.536912593152477,0.0011091640259548
2012-01-09,9.0007,9.0924,8.9306,9.0888,389715,0,0.7538134090103066,9.009060000000002,8.89227,8.626355,8.690919381087765,9.24760027396276,8.00510972603724,1.3293704773456858,80.87834870443564,371675.05,1.8117483707701552,0.9788127590076408,5.379834894722202,0.0075098643359015
2012-01-10,9.1583,9.1583,8.8282,8.9055,260327,0,-2.016767890150528,9.003040000000002,8.893989999999999,8.6594,8.711355630507978,9.2652639138497,8.053536086150299,1.2236241258157126,69.36592818945755,376127.75,3.739154074443259,-2.760337617243381,0.1935128202243508,-0.020373822876855
2012-01-11,8.8826,8.9313,8.6943,8.7372,172858,0,-1.8898433552299143,8.95262,8.88539,8.695165,8.713816999031026,9.221853068174998,8.168476931825001,1.3514083239373729,59.06083704875587,367620.85,2.725923881163522,-1.636908112489591,-0.97470305558075,-0.0190792911901741
2012-01-12,8.7372,8.7372,8.6356,8.6864,207597,0,-0.5814219658471731,8.887739999999999,8.883959999999998,8.708665,8.711205856266167,9.21885039984063,8.19847960015937,1.2878402508471394,57.69582016157362,341011.75,1.17652508221779,-0.581421965847169,-0.1643545921592326,-0.0058311880374789
2012-01-13,8.6943,8.6943,8.5274,8.6907,142091,0,0.0495026708417611,8.82172,8.87916,8.727285,8.709252917574151,9.203537309401796,8.251032690598205,1.2787382604471635,52.59387546248915,329667.85,1.9572202547083524,-0.0414064387012236,-0.5492807854715287,0.0004949042231172
2012-01-17,8.768,8.7924,8.6248,8.7072,231094,0,0.1898581242017361,8.7454,8.87723,8.75056,8.709057401614707,9.168865692299956,8.332254307700046,1.2803506229540211,41.15117756278712,317411.55,1.9432334662832784,-0.6934306569343112,-0.2211654156878406,0.0018967812146231
2012-01-18,8.6413,8.6986,8.4902,8.6714,333108,0,-0.4111539875045977,8.69858,8.850810000000001,8.764845,8.705470982413306,9.14879006446409,8.38089993553591,0.9609157555506698,42.36418511066402,320953.75,2.454594709194142,0.3483272192841459,-2.9567124759389496,-0.004120015494995
2012-01-19,8.6413,8.7494,8.632,8.7043,332136,0,0.3794081693843987,8.692,8.822309999999998,8.780135,8.705359460278705,9.125021545952384,8.435248454047615,0.9402822113705718,50.199026979212775,312300.5,1.3600556070435583,0.7290569705947093,-3.1704359627557244,0.0037869023195858
2012-01-20,8.6986,8.6986,8.5274,8.657,193883,0,-0.543409579173515,8.68612,8.786930000000002,8.788725000000001,8.70075379739502,9.110462643201185,8.46698735679882,0.921161987742972,45.529167122687994,305666.4,2.007645941318581,-0.4782378773595836,-3.92639943179296,-0.0054489141977444
2012-01-23,8.6907,8.864,8.6835,8.8411,167775,0,2.126602749220297,8.7162,8.76896,8.807414999999999,8.714120102405019,9.091794126297454,8.523035873702543,1.217314435220161,55.27818717759768,304547.35,2.0786549202510543,1.730585568481264,-1.9920627882227593,0.0210430610637393
