Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2015-07-23,18.22,19.98,17.1,19.54,3201400,0,,,,,19.54,,,,,,16.84210526315789,7.24478594950604,,
2015-07-24,19.35,21.86,19.05,20.51,217300,0,4.964176049129998,,,,19.632380952380952,,,,,,14.750656167978995,5.9948320413436695,,0.0484489254696526
2015-07-27,20.44,20.98,19.17,19.95,134300,0,-2.7303754266211677,,,,19.662630385487528,,,,,,9.441836202399577,-2.3972602739726123,,-0.0276834287484168
2015-07-28,19.95,21.0,18.75,19.34,334100,0,-3.0576441102756813,,,,19.631903682107765,,,,,,12.0,-3.0576441102756866,,-0.0310536533107241
2015-07-29,19.63,20.51,19.63,20.12,163900,0,4.033092037228547,19.892000000000003,,,19.67838904571655,,,,,,4.482934284258801,2.496179317371381,,0.0395388552063902
2015-07-30,20.12,20.17,19.21,19.56,49700,0,-2.7833001988071704,19.896,,,19.66711389850545,,,,,,4.997397188964086,-2.783300198807168,,-0.0282276806248673
2015-07-31,19.51,20.8,19.4,20.01,33700,0,2.3006134969325354,19.796,,,19.699769717695407,,,,,,7.216494845360836,2.5627883136852896,,0.0227454839889709
2015-08-03,20.02,21.68,19.66,21.17,35621,0,5.797101449275366,20.04,,,19.839791649343464,,,,,,10.27466937945066,5.744255744255755,,0.0563529365511317
2015-08-04,21.24,21.98,19.51,20.03,151300,0,-5.3849787435049645,20.178,,,19.857906730358373,,,,,,12.660174269605324,-5.696798493408651,,-0.0553539354690469
2015-08-05,20.2,23.99,20.13,22.24,160300,0,11.033449825262087,20.602,20.247,,20.08477275603853,,,,,,19.175360158966715,10.099009900990096,,0.1046613197046545
2015-08-06,22.46,23.44,22.14,22.19,56038,0,-0.224820143884874,21.128000000000004,20.512,,20.285270588796763,,,5.117418817143406,,,5.871725383920509,-1.2021371326803187,13.561924257932455,-0.0022507324378788
2015-08-07,22.19,22.98,21.61,22.57,64800,0,1.7124831004957208,21.64,20.718,,20.502863866054213,,,4.9664928229070275,,,6.339657565941699,1.7124831004957142,10.04388103364211,0.0169798538849417
2015-08-10,23.16,23.65,21.7,22.11,34700,0,-2.0381036774479444,21.828,20.934,,20.655924450239525,,,4.912168518201602,,,8.98617511520737,-4.533678756476687,10.82706766917294,-0.0205915959600894
2015-08-11,22.01,22.22,19.52,20.01,148097,0,-9.497964721845308,21.824,21.001,,20.594407835931,,,5.855171558381496,52.055993000874906,,13.831967213114751,-9.086778736937754,3.464322647362983,-0.0997978462737127
2015-08-12,20.02,22.8,19.25,21.79,116600,0,8.895552223888048,21.734,21.168,,20.708273756318523,,,6.361660309987391,58.51627554882665,,18.441558441558445,8.841158841158839,8.300198807157045,0.0852190003608864
2015-08-13,21.51,22.25,20.25,20.66,161300,0,-5.185865075722806,21.427999999999997,21.278,,20.70367625571676,,,6.561838748428283,50.560957367240086,,9.876543209876544,-3.9516503951650463,5.623721881390598,-0.0532516852650359
2015-08-14,20.0,21.45,19.6,20.63,68500,0,-0.1452081316553832,21.04,21.34,,20.69665946945802,,,6.542791431099524,52.64797507788162,,9.43877551020407,3.149999999999995,3.098450774612682,-0.0014531366083321
2015-08-17,20.6,22.95,20.39,22.21,264800,0,7.658749394086284,21.06,21.444000000000003,,20.840787139033445,,,6.734069213123259,60.391020999275895,,12.555174104953402,7.815533980582521,4.9126121870571415,0.0737963108231756
