Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2005-02-25,31.38,31.767,31.337,31.725,102309,0,,,,,31.725,,,,,,1.3721798512939969,1.0994263862332774,,
2005-02-28,31.999,31.999,31.637,31.826,73295,0,0.3183609141055976,,,,31.73461904761905,,,,,,1.1442298574453909,-0.5406418950592152,,0.0031785521875408
2005-03-01,31.912,32.286,31.912,32.18,61912,0,1.1122981210331062,,,,31.77703628117914,,,,,,1.171972925545257,0.8398094760591649,,0.0110615757762449
2005-03-02,31.157,31.545,31.034,31.545,182682,0,-1.973275326289614,,,,31.754937587733508,,,,,,1.6465811690404164,1.24530603074751,,-0.0199300437414642
2005-03-03,30.673,30.874,30.574,30.868,192956,0,-2.1461404343002144,31.6288,,,31.6704673412827,,,,,,0.9812258781971516,0.6357382714439419,,-0.0216950492274162
2005-03-04,31.25,31.797,31.25,31.767,101197,0,2.9124011921731308,31.6372,,,31.679660927827204,,,,,,1.750400000000002,1.6543999999999983,,0.0287079665210705
2005-03-07,31.625,31.74,31.523,31.682,67882,0,-0.2675732678565801,31.6084,,,31.679883696605565,,,,,,0.6883862576531382,0.1802371541501932,,-0.0026793188497681
2005-03-08,31.415,31.452,31.22,31.314,67187,0,-1.1615428318919263,31.4352,,,31.645037630262177,,,,,,0.7431133888533085,-0.3215024669743724,,-0.0116834143773277
2005-03-09,30.673,30.688,30.313,30.558,98700,0,-2.414255604521942,31.2378,,,31.541510236903875,,,,,,1.237092996404183,-0.3749225703387293,,-0.0244387647588086
2005-03-10,30.99,31.034,30.731,30.862,81903,0,0.994829504548722,31.2366,31.4327,,31.476794976246364,,,,,,0.9859750740294728,-0.4130364633752827,,0.0098991365184904
2005-03-11,30.954,31.005,30.738,30.838,71213,0,-0.0777655369062158,31.0508,31.344,,31.415957359460997,,,1.6942739329116363,,,0.8686316611360514,-0.3747496284809706,-2.7959022852639848,-0.0007779578998519
2005-03-14,30.55,30.703,30.415,30.681,58580,0,-0.5091121343796634,30.850599999999996,31.2295,,31.34596142046471,,,1.682497203690747,,,0.9469012000657578,0.4288052373158763,-3.597687425375473,-0.0051041252571755
2005-03-15,30.898,31.091,30.746,30.746,48310,0,0.2118575013852153,30.737,31.0861,,31.28882223756331,,,1.618230621420889,,,1.1220971833734548,-0.4919412259693217,-4.456183965195781,0.0021163339984221
2005-03-16,30.638,30.868,30.501,30.507,59414,0,-0.7773368893514543,30.726799999999997,30.9823,,31.214362976842995,,,1.5346075430346382,36.94253859348196,,1.20323923805776,-0.4275736014100144,-3.2905373276271965,-0.0078037390132975
2005-03-17,31.013,31.25,31.013,31.193,82181,0,2.2486642409938806,30.793,31.0148,,31.212328407619857,,,1.5831559540410902,45.02803738317756,,0.7641956598845592,0.5804017670009342,1.0528702863807249,0.0222375451917278
2005-03-18,30.854,30.933,30.638,30.811,66911,0,-1.2246337319270384,30.787600000000005,30.9192,,31.174106654513203,,,1.2833773086102318,40.98739122713548,,0.9628565833278874,-0.139366046541775,-3.009412283186952,-0.0123219415924958
2005-03-21,30.399,30.434,30.17,30.254,77736,0,-1.8077959170426097,30.7022,30.7764,,31.086477449321468,,,1.368933475980745,33.4933150497086,,0.8750414318859772,-0.4769893746504804,-4.507291206363229,-0.0182433619363344
2005-03-22,30.746,30.832,30.263,30.279,56777,0,0.0826337013287492,30.6088,30.67290000000001,,31.009574835100373,,,1.35370563976046,37.88284839203672,,1.8801837226976803,-1.5188967670591258,-3.305230887143129,0.0008259957848245
2005-03-23,29.731,29.917,29.608,29.608,135903,0,-2.2160573334654377,30.429,30.577900000000007,,30.876091517471767,,,1.3208061331119407,37.926408585665,,1.0436368549040835,-0.4137095960445363,-3.1088422017147677,-0.0224098078409772
2005-03-24,30.248,30.523,30.163,30.342,120078,0,2.479059713590926,30.2588,30.5259,30.9793,30.825225658664937,32.29544446495497,29.663155535045036,1.5473717649734835,35.89946566396196,90356.3,1.1935152338958306,0.310764348056062,-1.6849199663016012,0.0244882962420461
2005-03-28,30.176,30.335,30.176,30.242,44697,0,-0.329576165051737,30.145,30.4663,30.90515,30.769680357839704,32.211466682004875,29.59883331799513,1.5479508406907885,35.7932123125493,87475.7,0.5269088016967208,0.2187168610816625,-1.9326804591737523,-0.0033012046354234
2005-03-29,29.968,30.29,29.922,29.958,96756,0,-0.9390913299385018,30.0858,30.394,30.811749999999996,30.692377466616875,32.10792719305251,29.515572806947485,1.5638679085624878,36.39646869983944,88648.75,1.229864313882757,-0.0333689268553175,-2.356507284638709,-0.0094352859439502
2005-03-30,30.32,30.494,30.313,30.494,69825,0,1.7891715067761549,30.1288,30.3688,30.727449999999997,30.673484374558125,31.857618590125064,29.59728140987493,1.6877145384400098,49.32829554995802,89044.4,0.5971035529310889,0.5738786279683361,-0.8196188122032044,0.017733542203188
2005-03-31,30.479,30.479,30.163,30.285,54556,0,-0.685380730635532,30.2642,30.3466,30.66445000000001,30.636485862695448,31.741979235163303,29.58692076483671,1.6836749816059255,43.820946669522385,82638.1,1.0476411497530052,-0.6365038223038783,-0.7277018389222234,-0.0068774025168047
2005-04-01,30.379,30.53,29.989,30.119,74684,0,-0.548126135050353,30.219600000000003,30.239200000000004,30.627,30.58720149481969,31.726580015517897,29.5274199844821,1.47713327626862,42.527541051756366,76724.5,1.8039947980926352,-0.8558543730866768,-3.443080178245128,-0.0054963385835759
2005-04-04,29.975,30.184,29.737,30.032,125212,0,-0.2888542116272097,30.1776,30.1613,30.540249999999997,30.53432516197972,31.529351213489463,29.551148786510527,1.4441351530606823,43.15545243619487,77925.25,1.503177859232615,0.1901584653878185,-2.5283178085748648,-0.0028927220051814
2005-04-05,30.393,30.868,30.393,30.638,65940,0,2.017847629195524,30.3136,30.199699999999996,30.488050000000005,30.54419895607689,31.32136815494951,29.6547318450505,1.4905276939002363,48.97765997728136,77828.15,1.5628598690487872,0.8061066692988549,1.2692536524095963,0.0199775887463513
2005-04-06,30.638,30.918,30.595,30.754,51502,0,0.3786147920882499,30.3656,30.2472,30.460050000000003,30.56418000787909,31.209975884057204,29.7101241159428,1.49228432129366,52.393874781934485,77043.9,1.0557280601405472,0.3786147920882552,1.5687440140031097,0.0037789985029966
2005-04-07,30.775,30.832,30.673,30.731,37897,0,-0.0747870195746847,30.4548,30.359499999999997,30.4687,30.580067626176323,31.227323434774792,29.71007656522521,1.245815857188545,44.862099644128115,74003.75,0.518371205946606,-0.1429731925263913,3.7928938124831113,-0.0007481499901703
