Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2016-11-07,0.161,0.208,0.1025,0.143,57512,0,,,,,0.143,,,,,,102.92682926829268,-11.180124223602494,,
2016-11-08,0.1,0.1,0.1,0.1,100,0,-30.069930069930063,,,,0.1389047619047619,,,,,,0.0,0.0,,-0.3576744442718158
2016-11-09,0.16,0.16,0.16,0.16,15200,0,59.999999999999986,,,,0.1409138321995464,,,,,,0.0,0.0,,0.4700036292457354
2016-11-14,0.16,0.16,0.1599,0.16,5521,0,0.0,,,,0.1427315624662563,,,,,,0.0625390869293413,0.0,,0.0
2016-11-21,0.1287,0.1287,0.1159,0.1159,14111,0,-27.5625,0.13578,,,0.1401761755647081,,,,,,11.044003451251085,-9.94560994560995,,-0.3224460648881209
2016-11-25,0.1273,0.1273,0.1273,0.1273,100,0,9.83606557377048,0.13264,,,0.138949873129974,,,,,,0.0,0.0,,0.0938187552176547
2016-12-02,0.1035,0.11,0.1035,0.11,250,0,-13.58994501178319,0.13464,,,0.1361927423556908,,,,,,6.2801932367149815,6.2801932367149815,,-0.1460661397709446
2016-12-06,0.1,0.11,0.1,0.1016,7300,0,-7.636363636363641,0.12296,,,0.1328981954646726,,,,,,9.999999999999996,1.5999999999999903,,-0.0794368306480347
2016-12-13,0.11,0.143,0.1097,0.1429,1600,0,40.64960629921259,0.11954,,,0.1338507482775609,,,,,,30.355515041020947,29.909090909090907,,0.3411015497914401
2016-12-14,0.16,0.16,0.16,0.16,200,0,11.96641007697692,0.12836,0.13207,,0.1363411532035075,,,,,,0.0,0.0,,0.1130287302980053
2016-12-15,0.16,0.16,0.16,0.16,100,0,0.0,0.1349,0.13377,,0.1385943767079353,,,28.302313306787692,,,0.0,0.0,11.888111888111895,0.0
2016-12-20,0.2,0.4599,0.2,0.35,310455,0,118.75,0.1829,0.15877,,0.1587282455928939,,,43.3260268652703,,,129.94999999999996,74.99999999999997,249.99999999999991,0.7827593392496325
2016-12-21,0.36,0.4,0.35,0.36,71499,0,2.857142857142869,0.23458,0.17877,,0.1778969841078563,,,41.06220609726358,,,14.2857142857143,0.0,125.0,0.0281708769666964
