Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2017-06-29,25.05,25.05,24.9114,24.9114,1484,0,,,,,24.9114,,,,,,0.5563717815939702,-0.5532934131736538,,
2017-06-30,24.9326,24.9502,24.92,24.9502,1229,0,0.1557519850349464,,,,24.915095238095237,,,,,,0.1211878009630702,0.0705903114797416,,0.0015563081742838
2017-07-03,25.0,25.0,25.0,25.0,120,0,0.1995975984160569,,,,24.92318140589569,,,,,,0.0,0.0,,0.0019939866707372
2017-07-05,24.89,24.9536,24.88,24.9352,1000,0,-0.2592000000000038,,,,24.924326033905626,,,,,,0.2958199356913286,0.1815990357573229,,-0.0025953650480608
2017-07-06,24.85,24.8505,24.8,24.8,8126,0,-0.5422053963874296,24.91936,,,24.912485459247947,,,,,,0.2036290322580626,-0.2012072434607674,,-0.0054368066492034
2017-07-07,24.84,24.89,24.8148,24.88,1381,0,0.3225806451612856,24.91308,,,24.909391605986237,,,,,,0.3030449570417606,0.1610305958132011,,0.0032206147000421
2017-07-10,24.9,24.93,24.9,24.928,606599,0,0.1929260450160841,24.90864,,,24.911163833987548,,,,,,0.1204819277108479,0.1124497991967961,,0.0019274018173591
2017-07-11,24.9,24.9,24.9,24.9,1320,0,-0.1123234916559745,24.88864,,,24.91010061170302,,,,,,0.0,0.0,,-0.0011238662176758
2017-07-12,25.11,25.14,25.11,25.14,400,0,0.9638554216867544,24.9296,,,24.931995791540828,,,,,,0.1194743130227046,0.1194743130227046,,0.0095923996914395
2017-07-13,25.12,25.17,25.11,25.17,3225,0,0.1193317422434336,25.0036,24.96148,,24.95466285901313,,,,,,0.2389486260454092,0.1990445859872639,,0.0011926059851231
2017-07-17,25.26,25.28,25.26,25.27,7663,0,0.3972983710766709,25.0816,24.99734,,24.984694967678543,,,0.4046390374423124,,,0.0791765637371321,0.039588281868559,1.439501593647874,0.0039651122528782
2017-07-18,25.24,25.2846,25.2399,25.2846,1015,0,0.0577760189948595,25.15292,25.03078,,25.01325735170916,,,0.4055016806478294,,,0.1771005431875816,0.1767036450079344,1.3402698174764138,0.0005775933507889
2017-07-19,25.39,25.39,25.39,25.39,249940,0,0.4168545280526459,25.25092,25.06978,,25.049137603927335,,,0.4151149604729632,,,0.0,0.0,1.5600000000000058,0.0041598809656952
2017-07-20,25.4,25.41,25.4,25.41,1656,0,0.0787711697518789,25.30492,25.11726,,25.08350545117235,,,0.390618402914351,76.1156505342551,,0.0393700787401636,0.0393700787401636,1.904135519265937,0.0007874016154857
2017-07-21,25.35,25.37,25.35,25.37,5536,0,-0.1574183392365147,25.34492,25.17426,,25.110790646298792,,,0.3237640523623335,73.05449426905287,,0.0788954635108464,0.0788954635108464,2.2983870967741904,-0.0015754237208821
2017-07-24,25.37,25.39,25.35,25.37,203371,0,0.0,25.36492,25.22326,,25.135477251413192,,,0.3293121930243553,71.96066122619798,,0.1577909270216929,0.0,1.9694533762057984,0.0
2017-07-25,25.3901,25.3901,25.3901,25.3901,100,0,0.0792274339771248,25.38602,25.26947,,25.159727036992887,,,0.3313752045609772,71.06144044919553,,0.0,0.0,1.8537387676508257,0.0007919606561279
2017-07-26,25.43,25.45,25.43,25.45,204,0,0.2359187242271465,25.39802,25.32447,,25.187372081088803,,,0.314609369750652,77.94181502388199,,0.0786472670074698,0.0786472670074698,2.208835341365467,0.002356408729213
2017-07-27,25.46,25.46,25.32,25.4,4400,0,-0.1964636542239661,25.39602,25.35047,,25.207622359080347,,,0.2039478997392536,85.88516746411462,,0.552922590837285,-0.2356637863315093,1.03420843277644,-0.0019665689720408
2017-08-01,25.48,25.49,25.48,25.49,800201,0,0.3543307086614211,25.42002,25.38247,25.171975,25.23451546773936,25.640742745769355,24.703207254230644,0.2190052634252318,86.05200945626459,94948.5,0.0392464678178885,0.0392464678178885,1.2713547874453557,0.0035370443635332
2017-08-02,25.54,25.54,25.43,25.48,391,0,-0.0392310710082277,25.44202,25.40347,25.200405,25.25789494700228,25.67159497610194,24.72921502389806,0.2018971248366587,84.15841584158414,94893.85,0.4325599685410909,-0.2349256068911461,0.8310249307479367,-0.0003923876840613
2017-08-04,25.45,25.47,25.44,25.47,2165,0,-0.0392464678178994,25.458,25.42201,25.226395,25.278095428240157,25.696817942848128,24.755972057151872,0.2055410487672637,86.07594936708867,94940.65,0.1179245283018772,0.0785854616895857,0.7332526518117666,-0.0003925417125969
2017-08-07,25.4525,25.4525,25.4525,25.4525,200103,0,-0.0687082842559805,25.4585,25.42826,25.24902,25.29470538745538,25.717116987700983,24.780923012299013,0.1695610884193422,77.53303964757731,104939.8,0.0,0.0,0.2461599054745855,-0.0006873189921518
2017-08-08,25.49,25.52,25.49,25.52,1400,0,0.2651998821333823,25.4825,25.439259999999997,25.27826,25.316162017221533,25.73678001460075,24.81973998539925,0.1856498736098186,78.92561983471089,104959.8,0.11769321302472,0.11769321302472,0.4329004329004293,0.0026484884773753
2017-08-09,25.38,25.38,25.38,25.38,1000,0,-0.5485893416927956,25.460500000000003,25.44026,25.307260000000003,25.322241825105195,25.7081645740244,24.906355425975608,0.2592690977158164,58.527131782945744,104603.5,0.0,0.0,0.0394166338194557,-0.0055009961903475
2017-08-10,25.21,25.21,25.21,25.21,515,0,-0.6698187549251333,25.4065,25.42426,25.32376,25.31155212747613,25.67466999535793,24.97285000464207,0.3357348122757901,45.33983008495746,104560.2,0.0,0.0,-0.6306661411115466,-0.0067207210864131
2017-08-11,25.1699,25.1699,25.1699,25.1699,697,0,-0.1590638635462271,25.34648,25.40224,25.335855,25.29806144866888,25.643315158993676,25.02839484100632,0.3329843091976174,35.02924772139821,74265.1,0.0,0.0,-0.8672671631856588,-0.0015919050442071
2017-08-14,25.32,25.3236,25.32,25.3236,1000,0,0.6106500224474454,25.3207,25.3896,25.357035,25.300493691652797,25.58655833466968,25.127511665330317,0.3895837222942055,45.02762430939218,74249.1,0.0142180094786679,0.0142180094786679,-0.4966601178781893,0.006087931108509
2017-08-17,25.3,25.3,25.3,25.3,200150,0,-0.0931937007376482,25.2767,25.3796,25.365035,25.30044667340015,25.57283215083401,25.157237849165988,0.3866005413864731,45.8939465039887,84236.6,0.0,0.0,-0.393700787401563,-0.0009323715306558
2017-08-18,25.13,25.22,25.13,25.16,1097,0,-0.5533596837944632,25.2327,25.3466,25.364535,25.28707079974299,25.574346477032915,25.154723522967085,0.3905877744764671,39.41958887545336,84130.2,0.3581376840429759,0.11937922801433,-1.2946253432718602,-0.0055489639012347
2017-08-22,25.27,25.27,25.27,25.27,1011,0,0.4372019077901301,25.2447,25.3256,25.364535,25.285445009291276,25.574346477032915,25.154723522967085,0.4299053441162713,44.451630786288405,83797.6,0.0,0.0,-0.8241758241758323,0.0043624895678629
2017-08-23,25.28,25.3,25.28,25.3,203000,0,0.1187178472497052,25.27072,25.3086,25.365305,25.286831198882584,25.573991301721776,25.156618698278223,0.4345237626465239,42.87343215507417,93896.85,0.0791139240506312,0.0791139240506312,-0.6674519042010107,0.0011864743333717
2017-08-24,25.32,25.32,25.32,25.32,500,0,0.079051383399209,25.27,25.295350000000003,25.361805,25.289990132322338,25.571094559927708,25.152515440072293,0.4369306920607155,46.08763693270743,81424.85,0.0,0.0,-0.5205775464099838,0.0007902015425008
2017-08-25,25.36,25.371,25.36,25.371,1300,0,0.2014218009478652,25.2842,25.28045,25.359855,25.29770535781545,25.567977337251808,25.15173266274819,0.4322374128889044,43.949562741509034,81407.05,0.0433753943217635,0.0433753943217635,-0.5838557993730453,0.0020121921922194
2017-08-28,25.41,25.41,25.36,25.36,3908,0,-0.0433565882306585,25.3242,25.27845,25.359355,25.303638180880643,25.56742275692952,25.15128724307048,0.3965361443401692,43.904916700528176,81325.65,0.1971608832807599,-0.1967729240456541,-0.078802206461781,-0.0004336598991697
2017-08-29,25.28,25.28,25.28,25.28,200235,0,-0.3154574132492094,25.3262,25.28545,25.354854999999997,25.30138692555868,25.565826092806564,25.14388390719343,0.3429532365236256,40.99013657056152,81168.85,0.0,0.0,0.2776675922253169,-0.0031595602903684
2017-08-30,25.36,25.4,25.31,25.39,3697,0,0.4351265822784889,25.3442,25.30746,25.354850000000003,25.30982626598166,25.5658175804478,25.14388241955221,0.3580339629209477,47.27526375446856,81348.7,0.3555906756222831,0.1182965299684587,0.8744571889439445,0.0043418264379304
2017-08-31,25.4517,25.4517,25.4517,25.4517,100,0,0.2430090586845068,25.37054,25.32027,25.354935,25.32333805017388,25.566065304239864,25.14380469576013,0.3146088418610998,47.007273683288005,81343.5,0.0,0.0,0.5058522484954642,0.0024271426915175
2017-09-01,25.58,25.58,25.58,25.58,499,0,0.5040920645772218,25.41234,25.34827,25.363935,25.347782045395416,25.597326212345276,25.130543787654727,0.3398912046256143,58.85425889853021,81148.45,0.0,0.0,1.1067193675889264,0.0050282577425919
2017-09-05,25.45,25.45,25.4,25.419,1200,0,-0.6293979671618377,25.42414,25.37417,25.360385,25.35456470773871,25.587785479331064,25.132984520668938,0.3568251086847683,59.32702606212072,41198.4,0.1968503937007902,-0.1218074656188558,1.0294117647058787,-0.0063138702662598
2017-09-06,25.51,25.51,25.44,25.51,1670,0,0.3579999213187079,25.470139999999997,25.39817,25.361885,25.369368068906457,25.592973520519273,25.13079647948073,0.3493852770735225,64.5180568598995,41262.35,0.2751572327044036,0.0,0.949742777997642,0.0035736062692833
2017-09-07,25.5198,25.5198,25.5198,25.5198,200,0,0.0384163073304577,25.4961,25.42015,25.364375000000003,25.383694919486793,25.6013663778134,25.127383622186606,0.3497053316084452,59.548374537668046,41164.1,0.0,0.0,0.8687747035573068,0.0003840893015641
2017-09-08,25.48,25.54,25.48,25.52,608,0,0.0007837052014458,25.50976,25.44015,25.36775,25.396676355726147,25.611841721328375,25.123658278671627,0.3507794535716722,60.95617529880482,31189.35,0.2354788069073733,0.1569858712715822,0.789889415481837,7.837021304927144e-06
2017-09-11,25.6442,25.6442,25.6442,25.6442,100,0,0.4866771159874661,25.522600000000004,25.46747,25.37396,25.42025003613318,25.639718857058913,25.108201142941088,0.3727289794274277,74.49908925318789,31124.35,0.0,0.0,1.0768199913286924,0.0048549667133139
2017-09-12,25.6973,25.7,25.6973,25.6998,100700,0,0.2168131585309707,25.57876,25.50145,25.38995,25.446873842215737,25.693092672680695,25.086807327319303,0.3700772190486421,73.01349325337355,36109.35,0.010506940417868,0.009728648535065,1.3399053627760171,0.002165784579823
2017-09-13,25.69,25.69,25.69,25.69,100,0,-0.0381325924715292,25.61476,25.54245,25.41395,25.470028714385663,25.732707961304076,25.095192038695924,0.3419955411475784,71.34413309982517,36088.6,0.0,0.0,1.6218354430379778,-0.0003813986479338
2017-09-15,25.76,25.76,25.71,25.72,631,0,0.1167769560139975,25.6548,25.57545,25.441455,25.49383550349179,25.766418877992606,25.116491122007396,0.3282389390504883,71.65439584235625,36085.3,0.1944768572539895,-0.1552795031056005,1.299724300905858,0.0011670882476262
2017-09-18,25.77,25.77,25.75,25.75,902,0,0.1166407465007735,25.700799999999997,25.60528,25.462775,25.518232122206857,25.810345999183873,25.115204000816128,0.3258157062232008,70.9949036117885,36080.4,0.0776699029126197,-0.0776096235933239,1.1720238726686372,0.0011657277403264
2017-09-19,25.81,25.81,25.76,25.7699,155021,0,0.0772815533980564,25.72594,25.624270000000003,25.48627,25.54220049152049,25.850634294859432,25.121905705140563,0.296081929321062,72.48491497531569,33823.95,0.1940993788819765,-0.1553661371561368,0.7423768569194689,0.0007725170658197
2017-09-20,25.72,25.72,25.7,25.7,2100,0,-0.2712466870263386,25.72598,25.65237,25.51327,25.557229016137587,25.855173267945144,25.171366732054853,0.210898476432875,73.29709341025082,33874.1,0.0778210116731501,-0.0777604976671834,1.1054722845115883,-0.0027161522743908
2017-09-21,25.75,25.76,25.75,25.76,7543,0,0.2334630350194544,25.739980000000003,25.677370000000003,25.53777,25.576540538410196,25.876484337645024,25.19905566235498,0.1979174325945508,71.72891707775449,34200.7,0.0388349514563167,0.0388349514563167,0.9800078400627132,0.0023319093349787
2017-09-25,25.7,25.7,25.638,25.644,202190,0,-0.4503105590062284,25.72478,25.68979,25.55497,25.5829652490378,25.877391300719857,25.232548699280144,0.2636293010688136,60.61609804571048,34160.2,0.2418285357672112,-0.2178988326848285,0.4866809301013353,-0.0045132751111421
2017-09-26,25.7,25.7,25.64,25.68,677,0,0.1403837154890119,25.71078,25.70579,25.57297,25.592206653891346,25.879986269755737,25.265953730244263,0.2644944929358502,56.14703712810432,34169.05,0.23400936037441,-0.0778210116731501,0.6269592476489061,0.0014028526967496
