Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
1990-03-26,2.4046,2.5114,2.4046,2.4435,162898,0,,,,,2.4435,,,,,,4.441487149629886,1.6177326790318531,,
1990-03-27,2.5114,2.5114,2.4046,2.4046,206754,0,-1.5919787190505352,,,,2.439795238095238,,,,,,4.441487149629886,-4.252608107031943,,-0.0160478681694007
1990-03-28,2.4823,2.4823,2.4046,2.4435,445530,0,1.617732679031847,,,,2.440148072562358,,,,,,3.231306662230729,-1.5630665108971586,,0.0160478681694006
1990-03-29,2.4435,2.4435,2.3659,2.4046,258966,0,-1.5919787190505352,,,,2.4367625418421337,,,,,,3.279935753835745,-1.5919787190505397,,-0.0160478681694007
1990-03-30,2.4046,2.4435,2.3659,2.4046,295164,0,0.0,2.42016,,,2.4336994426190732,,,,,,3.279935753835745,0.0,,0.0
1990-04-02,2.4435,2.4435,2.3367,2.3659,2171265,0,-1.6094152873658785,2.4046399999999997,,,2.427242352845828,,,,,,4.570548209012701,-3.17577245754041,,-0.0162250703225657
1990-04-03,2.4046,2.4435,2.3659,2.4435,142710,0,3.2799357538357388,2.41242,,,2.4287907001938445,,,,,,3.279935753835745,1.6177326790318531,,0.0322729384919664
1990-04-04,2.4435,2.4435,2.3659,2.3659,162202,0,-3.1757724575404045,2.3969,,,2.4228011096991926,,,,,,3.279935753835745,-3.17577245754041,,-0.0322729384919664
1990-04-05,2.4435,2.4435,2.3659,2.3659,247130,0,0.0,2.3891599999999995,,,2.4173819563945074,,,,,,3.279935753835745,-3.17577245754041,,0.0
1990-04-06,2.4435,2.4435,2.3367,2.3659,797777,0,0.0,2.38142,2.40079,,2.4124789129283637,,,,,,4.570548209012701,-3.17577245754041,,0.0
1990-04-09,2.4046,2.4435,2.3367,2.3659,1120092,0,0.0,2.38142,2.39303,,2.4080428259828053,,,1.8310950391176504,,,4.570548209012701,-1.6094152873658802,-3.1757724575404045,0.0
1990-04-10,2.4435,2.4823,2.4046,2.4629,272191,0,4.099919692294685,2.3853,2.39886,,2.413267318746348,,,2.2287979469835015,,,3.231306662230729,0.7939431143851069,2.4245196706312866,0.0401810181848367
1990-04-11,2.4435,2.5114,2.4435,2.5114,240865,0,1.9692232733769188,2.4144,2.40565,,2.422613288389553,,,2.25516884311685,,,2.778800900347874,2.778800900347874,2.7788009003478775,0.0195008491517838
1990-04-12,2.5114,2.7247,2.5114,2.6955,1026114,0,7.330572588994189,2.48032,2.4347399999999997,,2.448602499019119,,,3.049779167564391,69.68134957825683,,8.493270685673322,7.330572588994183,12.097646178158538,0.0707433493368599
1990-04-16,2.7247,3.0155,2.7247,2.841,1507146,0,5.397885364496391,2.5753399999999997,2.47838,,2.485973689588727,,,3.2845232420468635,75.29591447117224,,10.672734612984916,4.268359819429673,18.148548615154315,0.0525723869624645
1990-04-17,2.8701,2.9089,2.8022,2.8701,522107,0,1.0242872228088509,2.6761799999999996,2.5288,,2.522557147723134,,,3.0867020093109865,79.99742234824078,,3.807722503747057,0.0,21.311128957267854,0.0101907694980431
1990-04-18,2.841,2.9089,2.5502,2.589,2019506,0,-9.794083829831711,2.7014,2.54335,,2.5288850384161687,,,4.783366802478044,57.14566349081623,,14.065563485216856,-8.870116156283006,5.954573357888293,-0.1030751716006936
1990-04-19,2.589,2.6955,2.4823,2.6955,1218247,0,4.113557358053299,2.7382199999999997,2.57631,,2.5447531299955815,,,4.683996728866492,63.39688680114214,,8.588808766063734,4.113557358053304,13.931273511137409,0.0403120151401857
1990-04-20,2.6955,2.7634,2.6955,2.7247,766452,0,1.0832869597477313,2.74406,2.61219,,2.5618909271388595,,,4.6601234752317255,64.35554758274286,,2.5190131700983063,1.0832869597477237,15.165476140158084,0.010774614401961
1990-04-23,2.7247,2.7247,2.618,2.6568,2739316,0,-2.4920174698131903,2.70722,2.6412799999999996,2.521035,2.570929886458968,2.855744321021909,2.1863256789780907,4.814652534757679,62.71304955860504,816121.6,4.075630252100841,-2.492017469813185,12.295532355551808,-0.0252359392311476
1990-04-24,2.6955,2.6955,2.589,2.618,1561445,0,-1.460403492923823,2.6568,2.66649,2.52976,2.575412754415257,2.865056283119399,2.194463716880601,4.879280088109978,57.89378449289786,886048.95,4.113557358053304,-2.8751623075496244,10.655564478633917,-0.0147117235926916
1990-04-25,2.6568,2.6568,2.5502,2.589,556218,0,-1.1077158135981646,2.6567999999999996,2.6791,2.5389799999999996,2.5767067778042803,2.8698977897589475,2.2080622102410516,4.804077484506629,60.5564493233652,903522.15,4.180064308681683,-2.5519421860885303,5.119980510779976,-0.0111389667183075
1990-04-26,2.618,2.6568,2.589,2.589,2162912,0,0.0,2.6355,2.68686,2.5462549999999995,2.5778775608705393,2.87472300036405,2.217786999635949,4.782320765873685,60.5564493233652,989391.25,2.618771726535345,-1.1077158135981635,3.089910010352792,0.0
1990-04-27,2.618,2.618,2.4435,2.4823,1043516,0,-4.12128234839707,2.58702,2.66554,2.55014,2.568774936025726,2.8733494214364166,2.226930578563583,4.286262510954104,55.00257864878804,1028618.75,7.141395539185599,-5.183346065699005,-7.909478760897793,-0.0420861510252926
1990-04-30,2.4435,2.589,2.4435,2.5695,824231,0,3.5128711275832947,2.56956,2.63839,2.558385,2.568843989737562,2.8742926765532344,2.2424773234467654,4.019712122242733,58.14009275547738,1055072.1,5.954573357888283,5.15653775322285,-9.556494192185848,0.0345257777060392
1990-05-01,2.589,2.618,2.4823,2.5502,593809,0,-0.7511188947266101,2.556,2.6064,2.5676,2.5670683716673177,2.870344318039601,2.264855681960399,3.9628987044223143,53.72154488873731,976199.3,5.466704266204727,-1.498648126689848,-11.145953102679352,-0.0075395399828428
1990-05-02,2.4823,2.589,2.4823,2.589,1227993,0,1.5214492980942795,2.556,2.6064,2.574875,2.569157098175192,2.872003615603624,2.277746384396376,2.578977619430749,53.33562585969738,1030463.45,4.298432904967169,4.298432904967169,0.0,0.0150999133020961
1990-05-03,2.589,2.7247,2.589,2.7247,1094335,0,5.241405948242561,2.58314,2.60932,2.592815,2.5839707078727927,2.879977461078448,2.3056525389215516,2.7931771404188415,51.30965195550772,1077070.1,5.241405948242562,5.241405948242562,1.0832869597477313,0.0510866295421467
1990-05-04,2.8022,2.8701,2.7828,2.841,1055351,0,4.268359819429679,2.65488,2.6209499999999997,2.6165700000000003,2.608449688075384,2.9032993614836853,2.3298406385163153,3.0792996548093483,50.0,1117481.15,3.137128072445017,1.3846263649989354,4.268359819429679,0.0417977725605036
1990-05-07,2.8701,2.9477,2.841,2.8701,2016025,0,1.0242872228088509,2.715,2.6422800000000004,2.64178,2.633368765401538,2.9243420870757983,2.3592179129242012,2.9001576385503873,50.0,1178393.55,3.755719816965857,0.0,8.028455284552848,0.0101907694980431
1990-05-08,2.8701,3.0155,2.8701,2.9477,2762984,0,2.703738545695278,2.7945,2.6752499999999997,2.67087,2.6633050734585346,2.9536379137607924,2.3881020862392073,2.835735022578464,70.33216188640743,1260538.15,5.06602557402181,2.7037385456952836,12.593582887700538,0.0266783328709641
1990-05-09,2.9477,2.9767,2.8701,2.8701,1284381,0,-2.632560979746934,2.85072,2.70336,2.69123,2.6829998283672456,2.969551859118462,2.412908140881538,3.010943808795285,60.232067510548504,1311147.65,3.714156301174184,-2.6325609797469327,10.85747392815759,-0.0266783328709642
1990-05-10,2.9089,2.9089,2.841,2.8701,364082,0,0.0,2.8798000000000004,2.73147,2.709165,2.70081889233227,2.984911598203952,2.433418401796048,3.010943808795285,58.82281553398057,1317308.5,2.390003519887358,-1.3338375330881147,10.85747392815759,0.0
1990-05-11,2.9089,3.0155,2.841,3.0155,1770286,0,5.066025574021804,2.9147,2.78479,2.725165,2.7307885216339582,3.032858040990015,2.4174719590099847,2.6256597857181463,69.89462007764833,1354517.1,6.142203449489604,3.6646154903915504,21.480078959029925,0.04941878153881
1990-05-14,3.0155,3.0155,2.9477,2.9477,538813,0,-2.2483833526778185,2.93022,2.82261,2.7305,2.7514467576688193,3.050118562137991,2.410881437862009,2.8758593756491395,67.7162815690489,1306100.45,2.300098381789179,-2.2483833526778194,14.718816890445607,-0.0227404486678459
1990-05-15,2.9767,2.9767,2.8022,2.8022,611212,0,-4.936051837025479,2.9011199999999997,2.84781,2.727105,2.7562803997955982,3.041885902751169,2.4123240972488307,3.4699293431345364,60.18147086914995,1310555.7,6.227250017843127,-5.8621963919776965,9.88157791545763,-0.0506203822860643
1990-05-16,2.8701,2.8701,2.7247,2.8022,677345,0,0.0,2.8875400000000004,2.8691299999999997,2.737765,2.7606536950531604,3.0472490818965774,2.4282809181034226,3.4779114613959017,60.18147086914995,1243447.65,5.336367306492457,-2.3657712274833576,8.234839706450359,0.0
1990-05-17,2.8022,2.8701,2.8022,2.8701,383575,0,2.4230961387481154,2.88754,2.88367,2.746495,2.771077152667145,3.060772399927615,2.4322176000723847,3.184184579146016,69.23229517952785,1201714.05,2.4230961387481207,2.4230961387481207,5.336367306492451,0.0239420494151001
1990-05-18,2.8701,2.8701,2.8022,2.8701,373132,0,0.0,2.85846,2.88658,2.753765,2.780507900032179,3.0726132448801575,2.4349167551198425,2.9068797099569412,66.31921824104231,1182048.05,2.4230961387481207,0.0,1.0242872228088509,0.0
1990-05-21,2.8701,2.9089,2.8022,2.8701,960675,0,0.0,2.8429399999999996,2.88658,2.76443,2.7890404809814955,3.0838906448045615,2.4449693551954383,2.8902575338325778,67.73871575912165,1093116.0,3.807722503747057,0.0,0.0,0.0
