Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2010-08-26,20.738,20.738,20.738,20.738,450,0,,,,,20.738,,,,,,0.0,0.0,,
2010-08-27,20.721,20.721,20.721,20.721,855,0,-0.0819751181406092,,,,20.73638095238095,,,,,,0.0,0.0,,-0.0008200873611408
2010-09-03,20.703,20.926,20.703,20.926,561,0,0.9893344915785862,,,,20.75443990929705,,,,,,1.0771385789499055,1.0771385789499055,,0.0098447261839099
2010-09-07,20.703,20.882,20.703,20.882,477,0,-0.2102647424256809,,,,20.766588489364,,,,,,0.8646089938656333,0.8646089938656333,,-0.0021048610909368
2010-09-08,21.059,21.095,21.059,21.095,1207,0,1.0200172397279772,20.8724,,,20.79786577609124,,,,,,0.1709482881428264,0.1709482881428264,,0.0101485017083832
2010-09-10,20.836,21.273,20.481,20.481,1668,0,-2.9106423323062236,20.821,,,20.767688083130167,,,,,,3.8669986817049846,-1.7037819159147478,,-0.0295384184720489
2010-09-13,20.258,20.703,19.822,20.302,1011,0,-0.8739807626580887,20.7372,,,20.72333683711777,,,,,,4.44455655332459,0.2171981439431359,,-0.0087782237420137
2010-09-14,20.525,21.825,20.525,20.534,2133,0,1.1427445571864814,20.6588,,,20.70530475739227,,,,,,6.333739342265534,0.0438489646772245,,0.0113626455145336
2010-09-15,20.756,21.042,20.756,20.845,336,0,1.5145612155449406,20.6514,,,20.718609066212053,,,,,,1.3779148198111455,0.4287916746964667,,0.0150320624559871
2010-09-16,20.978,21.406,20.978,21.148,786,0,1.4535859918445748,20.662,20.7672,,20.759503440858524,,,,,,2.0402326246543865,0.8103727714748696,,0.0144312270404436
2010-09-17,21.398,22.261,20.481,20.481,7635,0,-3.15396254965008,20.662,20.7415,,20.732979303633904,,,1.7269962300202344,,,8.690981885650102,-4.285447238059622,-1.2392709036551208,-0.0320477112689507
2010-09-21,20.703,21.37,20.703,21.37,2358,0,4.340608368732002,20.8756,20.8064,,20.793647941383057,,,2.228681941278825,,,3.22175530116409,3.22175530116409,3.1320882196805178,0.0424904422268033
2010-09-23,21.986,21.986,20.275,20.882,7411,0,-2.283575105287783,20.9452,20.802,,20.802062423156094,,,2.3578691850655713,,,8.438964241676953,-5.021377240061853,-0.2102647424256809,-0.0231005254631376
2010-09-27,20.659,20.659,20.57,20.57,227,0,-1.4941097596015809,20.8902,20.7708,,20.779961239998375,,,2.405301744461931,48.12248547161377,,0.4326689353427255,-0.4308049760394919,-1.4941097596015809,-0.0150538402030528
