Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2005-02-28,181.89,182.79,181.89,182.79,30,0,,,,,182.79,,,,,,0.4948045522018834,0.4948045522018834,,
2005-03-01,180.39,183.29,179.99,183.29,161,0,0.2735379397122317,,,,182.83761904761903,,,,,,1.8334351908439264,1.6076279172903187,,0.0027316450552437
2005-03-02,181.89,181.89,181.89,181.89,58,0,-0.7638169021768837,,,,182.74736961451245,,,,,,0.0,0.0,,-0.0076674892320075
2005-03-03,183.39,183.39,181.89,183.19,125,0,0.7147176865138327,,,,182.7895248893208,,,,,,0.8246742536698005,-0.1090572005016569,,0.0071217568456188
2005-03-04,183.29,183.29,183.19,183.19,100,0,0.0,182.87,,,182.82766537605215,,,,,,0.0545881325399827,-0.0545583501554882,,0.0
2005-03-07,183.39,183.69,183.39,183.69,170,0,0.2729406626999386,183.05,,,182.9097924830948,,,,,,0.1635858007525009,0.1635858007525009,,0.0027256885606051
2005-03-08,183.59,183.59,183.59,183.59,10,0,-0.0544395448853984,183.11,,,182.97457415137148,,,,,,0.0,0.0,,-0.0005445436858584
2005-03-09,183.69,183.69,183.19,183.19,83,0,-0.2178767906748757,183.37,,,182.99509089885993,,,,,,0.272940662699929,-0.2721977244270238,,-0.0021811448747464
2005-03-10,183.29,183.89,183.29,183.69,90,0,0.2729406626999386,183.47,,,183.0612727180161,,,,,,0.3273501009329447,0.2182334006219683,,0.0027256885606051
2005-03-11,183.79,183.79,181.89,183.19,380,0,-0.2721977244270257,183.47,183.17,,183.07353245915743,,,,,,1.0445873879817504,-0.3264595462212276,,-0.002725688560605
2005-03-14,183.29,183.29,182.39,183.19,330,0,0.0,183.37,183.21,,183.0846246059043,,,0.3996499264351568,,,0.4934481057075529,-0.0545583501554882,0.2188303517697942,0.0
2005-03-15,181.89,183.39,181.89,182.49,445,0,-0.3821169277798963,183.15,183.13,,183.0279936910563,,,0.4076072107125592,,,0.8246742536698005,0.3298697014679327,-0.4364668012439177,-0.003828488596644
2005-03-16,182.39,182.69,182.39,182.39,50,0,-0.0547975231519615,182.99,183.18,,182.9672323871462,,,0.3206872206593892,,,0.1644827019025228,0.0,0.2748914178899442,-0.0005481254248174
2005-03-17,181.89,183.39,181.89,183.39,706,0,0.5482756730083915,182.93,183.2,,183.00749596932275,,,0.2832098415817246,54.28571428571423,,0.8246742536698005,0.8246742536698005,0.1091762650799577,0.0054677811328374
2005-03-18,182.49,182.49,182.39,182.39,20,0,-0.5452860025083162,182.77,183.12,,182.94868682938724,,,0.333627757414925,47.49999999999997,,0.0548275673008513,-0.0547975231519659,-0.4367050603198974,-0.0054677811328374
2005-03-22,182.39,182.39,182.39,182.39,70,0,0.0,182.61,182.99,,182.8954785599218,,,0.3155609734720733,43.99999999999998,,0.0,0.0,-0.7077140835102691,0.0
2005-03-23,182.39,182.39,182.09,182.09,180,0,-0.1644827019025019,182.52999999999997,182.84,,182.8187663161197,,,0.316852830891526,51.56250000000012,,0.1647536932286138,-0.1644827019025072,-0.8170379650307757,-0.0016461812321542
2005-03-28,182.39,182.39,181.89,181.89,225,0,-0.1098357954857576,182.43,182.71,,182.7303123812512,,,0.3135123864062683,37.73584905660369,,0.2748914178899335,-0.2741378365041943,-0.709645723019825,-0.0010989615920029
2005-03-29,181.89,182.39,181.89,181.89,340,0,0.0,182.12999999999997,182.53,,182.65028263065585,,,0.2913651316882696,37.73584905660369,,0.2748914178899335,0.0,-0.9799118079372948,0.0
2005-03-30,180.69,182.39,180.49,182.39,80,0,0.2748914178899442,182.12999999999997,182.45,182.81,182.62549380868865,184.0507128680934,181.5692871319066,0.3060253298445214,37.73584905660369,182.65,1.0526898997174232,0.9408378991643084,-0.4367050603198974,0.0027451428241573
2005-03-31,182.39,182.39,181.09,181.09,30,0,-0.7127583749108934,181.87,182.24,182.725,182.4792563030992,184.1850288389365,181.2649711610635,0.3709313413518001,30.769230769230777,182.65,0.7178750897343769,-0.7127583749108959,-1.1463507833397002,-0.0071531063226551
2005-04-04,180.49,181.59,180.39,180.39,50,0,-0.3865481252416036,181.53,182.03,182.58,182.2802795123279,184.34742453125557,180.8125754687444,0.3712888894560371,29.411764705882305,177.1,0.6652253450856573,-0.0554047315640881,-1.1507479861910364,-0.0038729715336641
