Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2017-10-17,0.2426,0.3,0.2,0.23,43520,0,,,,,0.23,,,,,,49.999999999999986,-5.193734542456719,,
2017-10-18,0.225,0.24,0.2,0.22,106330,0,-4.34782608695653,,,,0.229047619047619,,,,,,19.99999999999999,-2.222222222222224,,-0.0444517625708339
2017-10-19,0.2,0.245,0.192,0.226,98117,0,2.7272727272727337,,,,0.2287573696145124,,,,,,27.604166666666664,12.999999999999998,,0.0269074529199244
2017-10-20,0.22,0.24,0.18,0.235,68380,0,3.9823008849557473,,,,0.2293519058417017,,,,,,33.33333333333333,6.818181818181812,,0.039050514871873
2017-10-23,0.2,0.25,0.2,0.21,105969,0,-10.638297872340418,0.2242,,,0.2275088671901111,,,,,,24.999999999999993,4.99999999999999,,-0.1124779834266902
2017-10-24,0.2002,0.2297,0.195,0.195,107187,0,-7.14285714285714,0.2172,,,0.2244127846005767,,,,,,17.794871794871785,-2.597402597402589,,-0.0741079721537218
2017-10-25,0.1931,0.2149,0.1601,0.166,225764,0,-14.871794871794874,0.2064,,,0.2188496622576646,,,,,,34.22860712054967,-14.034179181771094,,-0.1610117702072036
2017-10-26,0.161,0.18,0.15,0.18,146921,0,8.43373493975903,0.1972,,,0.2151496944236013,,,,,,20.0,11.801242236024835,,0.080969062533667
2017-10-27,0.1511,0.24,0.1511,0.2265,92088,0,25.833333333333353,0.1955,,,0.2162306759070678,,,,,,58.8352084712111,49.90072799470549,,0.2297880940328784
2017-10-30,0.21,0.26,0.2,0.26,154164,0,14.790286975717448,0.2055,0.2148499999999999,,0.2203991829635376,,,,,,30.0,23.80952380952382,,0.1379366860924391
2017-10-31,0.2411,0.27,0.222,0.222,275940,0,-14.61538461538462,0.2109,0.21405,,0.2205516417289149,,,13.319545228066996,,,21.621621621621628,-7.922024056408132,-3.4782608695652195,-0.1580042491432483
2017-11-01,0.2211,0.237,0.2171,0.2235,90736,0,0.6756756756756799,0.2224,0.2144,,0.2208324377547326,,,13.21426702191077,,,9.16628281897743,1.0854816824966138,1.5909090909090873,0.0067340321813441
2017-11-02,0.2232,0.25,0.215,0.2283,196271,0,2.147651006711415,0.23206,0.21463,,0.2215436341590438,,,13.206715420394085,,,16.27906976744186,2.284946236559137,1.0176991150442571,0.0212491394821263
2017-11-03,0.2202,0.2376,0.211,0.211,122682,0,-7.577748576434518,0.22896,0.21223,,0.2205394785248491,,,13.407406661468592,46.193910256410255,,12.606635071090052,-4.1780199818347015,-10.212765957446802,-0.0788024200596833
2017-11-06,0.2106,0.3,0.2056,0.271,239268,0,28.436018957345976,0.23116,0.21833,,0.2253452424748635,,,15.576887273632044,56.62144702842378,,45.914396887159526,28.679962013295352,29.047619047619055,0.2502606874036344
2017-11-07,0.262,0.27,0.2511,0.2662,76223,0,-1.771217712177131,0.24,0.22545,,0.2292361717629717,,,15.254118905203994,57.58869908015768,,7.526881720430119,1.6030534351144967,36.5128205128205,-0.0178709149186897
2017-11-08,0.254,0.275,0.242,0.275,91734,0,3.3057851239669533,0.2503,0.23635,,0.2335946315950696,,,13.744112119286456,57.975260416666664,,13.63636363636365,8.267716535433077,65.66265060240963,0.0325231917055601
