Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2017-02-10,4.6183,4.8069,4.477,4.7503,456929,0,,,,,4.7503,,,,,,7.368773732410082,2.85819457376092,,
2017-02-13,4.7503,4.8006,4.5335,4.6938,45920,0,-1.1893985643011915,,,,4.744919047619048,,,,,,5.891695158266243,-1.1893985643011973,,-0.0119652850099578
2017-02-14,4.7503,4.7526,4.6654,4.7315,37712,0,0.8031871830925796,,,,4.7436410430839,,,,,,1.8690787499464177,-0.3957644780329788,,0.0079997880291973
2017-02-15,4.6183,4.7221,4.6183,4.714,23209,0,-0.3698615660995275,,,,4.740818086599719,,,,,,2.2475802784574532,2.072191065976675,,-0.0037054724522107
2017-02-16,4.5806,4.7221,4.5806,4.7127,21583,0,-0.0275774289350994,4.72046,,,4.738140173590223,,,,,,3.0891149631052843,2.883901672270016,,-0.0002758123220727
2017-02-17,4.6372,4.716,4.6372,4.7127,1879,0,0.0,4.712940000000001,,,4.735717299914963,,,,,,1.6993013025101398,1.6281376692831862,,0.0
2017-02-21,4.7127,4.7221,4.6938,4.7221,15545,0,0.1994610308315936,4.7185999999999995,,,4.734420414208777,,,,,,0.6029230048148572,0.199461030831589,,0.0019926237143901
2017-02-22,4.7032,4.9106,4.7032,4.8539,58286,0,2.7911310645687415,4.743080000000001,,,4.74579942237937,,,,,,4.409763565232178,3.204201394795044,,0.0275288896202188
2017-02-23,4.8823,4.8823,4.7416,4.8257,20521,0,-0.5809761222934084,4.765420000000001,,,4.7534090012003825,,,,,,2.9673527923063907,-1.1592896790447031,,-0.0058267035380736
2017-02-24,4.9482,4.9482,4.6605,4.8352,40070,0,0.1968626313280985,4.78992,4.755190000000001,,4.76119862013368,,,,,,6.173157386546509,-2.2836587041752465,,0.0019666911078816
2017-02-27,4.8352,4.8446,4.6938,4.7315,13171,0,-2.1446889477167552,4.79368,4.75331,,4.758370180120949,,,1.290699784845451,,,3.212748732370348,-2.14468894771676,-0.3957644780329783,-0.0216802161301331
2017-02-28,4.7352,4.7598,4.7122,4.7598,25302,0,0.5981189897495742,4.80122,4.75991,,4.758506353442763,,,1.2352136670388578,,,1.0101438818386337,0.519513431322867,1.406110187907439,0.005963373587725
