Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2014-02-07,26.303,26.813,25.929,26.346,3869579,0,,,,,26.346,,,,,,3.409310038952526,0.1634794510131896,,
2014-02-10,26.275,26.548,25.774,26.428,1059650,0,0.311242693388003,,,,26.353809523809524,,,,,,3.003026305579255,0.5823025689819306,,0.0031075933600039
2014-02-11,26.23,26.502,25.964,26.249,819645,0,-0.6773119418798323,,,,26.343827664399093,,,,,,2.0720998305345875,0.0724361418223345,,-0.0067961610937438
2014-02-12,26.239,26.595,25.774,26.12,663688,0,-0.4914472932302072,,,,26.322510743980132,,,,,,3.185380616124769,-0.4535233812264178,,-0.004926588665665
2014-02-13,25.69,26.23,25.628,26.046,515686,0,-0.2833078101072028,26.2378,,,26.296176387410597,,,,,,2.3489932885906053,1.385753211366283,,-0.0028370988627188
2014-02-14,26.1,26.174,25.271,26.038,700834,0,-0.0307148890424602,26.1762,,,26.27158816003816,,,,,,3.573265798741635,-0.2375478927203109,,-0.0003071960703061
2014-02-18,25.727,26.211,25.727,26.029,660833,0,-0.0345648667332332,26.0964,,,26.24848452574881,,,,,,1.8812920278306768,1.173864033894351,,-0.0003457084176017
2014-02-19,25.954,26.046,25.873,25.984,314632,0,-0.1728840908217677,26.0434,,,26.223295523296542,,,,,,0.6686507169636233,0.115589119210916,,-0.001730337078336
2014-02-20,25.912,26.003,25.52,25.646,870240,0,-1.300800492610843,25.9486,,,26.1683149972683,,,,,,1.8926332288401275,-1.0265514047545472,,-0.0130933499423434
2014-02-21,25.59,25.764,25.472,25.709,444707,0,0.2456523434453572,25.8812,26.059500000000003,,26.124570711814176,,,,,,1.1463567839195905,0.4650254005470878,,0.0024535111129785
2014-02-24,25.655,25.764,25.153,25.207,493058,0,-1.9526235948500448,25.714999999999996,25.9456,,26.03718302497473,,,0.7110425757444934,,,2.429133701745321,-1.7462482946794011,-4.323236924011232,-0.0197193914278511
2014-02-25,25.041,25.088,24.698,24.834,416492,0,-1.47974768913397,25.476,25.7862,,25.92259416545333,,,0.726553621291354,,,1.579075228763465,-0.8266443033425213,-6.031481761767832,-0.0149080517274011
2014-02-26,24.871,25.236,24.733,24.943,1168811,0,0.4389143915599636,25.2678,25.6556,,25.8292994830292,,,0.7985663024091961,,,2.0337201309990705,0.2894937879458113,-4.97542763533848,0.0043795397159982
2014-02-27,24.863,25.051,24.579,24.769,582498,0,-0.6975905063544952,25.0924,25.5205,,25.72831857988356,,,0.800802102090194,12.182254196642717,,1.9203385003458144,-0.378071833648398,-5.172281776416554,-0.0070003504413647
2014-02-28,24.688,24.943,24.405,24.733,509129,0,-0.1453429690338681,24.8972,25.3892,,25.633526334180363,,,0.8066297834401672,11.97548326261203,,2.2044662978897773,0.1822747893713614,-5.041081164094285,-0.0014544869438243
2014-03-03,24.724,24.998,24.604,24.863,357295,0,0.5256135527432981,24.8284,25.2717,,25.560142873782233,,,0.8609426617409072,13.92346703550021,,1.601365631604625,0.5622067626597611,-4.512635379061369,0.0052423702607614
2014-03-04,24.733,24.961,24.733,24.943,305314,0,0.3217632626794975,24.850199999999997,25.1631,,25.50136736199345,,,0.8873534088511438,18.4541062801933,,0.9218453078882384,0.8490680467391778,-4.1722693918321845,0.0032124671244277
2014-03-05,24.897,24.916,24.796,24.916,339339,0,-0.1082468027101879,24.8448,25.0563,,25.445618089422645,,,0.889599847253827,19.410569105691096,,0.4839490240361389,0.0763144153914202,-4.110221674876858,-0.0010830543187495
2014-03-06,24.888,25.317,24.724,25.216,590723,0,1.204045593193137,24.9342,25.0133,,25.42374969995382,,,0.9622276416601888,31.084776663628137,,2.39847921048374,1.3179042108646712,-1.6766747251033332,0.0119685462835696
2014-03-07,24.952,25.782,24.952,25.463,268435,0,0.9795368020304672,25.0802,24.9887,25.5241,25.42748782376774,26.718714388345507,24.329485611654498,1.0230700547807885,38.18331278257298,747529.4,3.3263866623917853,2.0479320294966303,-0.956863355245241,0.0097477044053254
2014-03-10,25.362,25.819,25.317,25.673,166164,0,0.8247260731256922,25.2422,25.0353,25.490450000000003,25.45086993578986,26.623935258650924,24.35696474134908,0.8181034125959324,43.24221716021257,562358.65,1.9828573685665711,1.226243987067266,1.84869282342206,0.0082134379129579
2014-03-11,25.554,26.012,25.41,25.964,299526,0,1.1334865422817808,25.4464,25.1483,25.46725,25.499739465714637,26.537147363498505,24.397352636501495,0.6202003086617273,49.65277777777772,524352.45,2.369146005509643,1.604445487986226,4.550213417089477,0.01127110717747
2014-03-12,25.792,25.945,25.181,25.665,702637,0,-1.1515945154829788,25.596200000000003,25.2205,25.438049999999997,25.515478564218004,26.448328851552745,24.42777114844725,0.8004512468302662,50.33438929954239,518502.05,3.0340335967594587,-0.4924007444168828,2.894599687287003,-0.0115827671589556
2014-03-13,25.774,25.993,25.536,25.655,998065,0,-0.0389635690629219,25.683999999999997,25.309099999999997,25.4148,25.528766320006767,26.37936711861632,24.45023288138368,0.7346801813951878,49.03156384505024,535220.9,1.7896303258145254,-0.4617055947854418,3.5770519601114437,-0.0003897116183383
2014-03-14,25.563,26.046,25.271,25.526,721423,0,-0.5028259598518825,25.6966,25.3884,25.388799999999996,25.528502860958504,26.30872942521066,24.46887057478933,0.7695728853679027,56.60455486542441,545507.75,3.066756361046253,-0.1447404451746627,3.2062426717341275,-0.0050409438334291
2014-03-17,25.463,25.545,25.081,25.298,518911,0,-0.8932069262712616,25.6216,25.4319,25.3518,25.506550207533884,26.219851320335867,24.483748679664135,0.8534202669201822,60.22026431718058,536411.6,1.850005980622791,-0.647999057455927,1.7495877408196805,-0.008972199335149
2014-03-18,25.255,25.764,25.255,25.434,155642,0,0.5375919044983801,25.5156,25.481,25.322049999999997,25.49964066395923,26.131161657117985,24.512938342882013,0.8601939392155611,60.68785372224639,511152.05,2.015442486636311,0.7087705404870405,1.9684881529888232,0.005361520373205
2014-03-19,25.417,25.893,25.144,25.327,183879,0,-0.420696705197765,25.448,25.5221,25.2892,25.48319869596311,26.03611043639783,24.54228956360217,0.8780611727641645,62.51121076233192,504614.4,2.978841870824063,-0.3540937168037135,1.6495424626745914,-0.0042158412355429
2014-03-20,25.391,25.51,25.153,25.362,129723,0,0.13819244284754,25.3894,25.5367,25.275,25.471655963014246,26.003931156954444,24.546068843045553,0.7993839519264353,64.10946612830861,467588.55,1.4193137995467853,-0.1142136977669249,0.5789974619289318,0.0013809704496956
2014-03-21,25.354,26.11,25.255,26.012,548785,0,2.5628893620377013,25.4866,25.5916,25.29015,25.523117299870034,26.068013545062268,24.512286454937733,1.1013810051520312,70.89850854856311,472792.45,3.385468224114039,2.5952512424075147,2.1560695911714944,0.0253059791941976
2014-03-24,25.746,25.873,25.344,25.51,284324,0,-1.929878517607253,25.529,25.5753,25.3053,25.521868033215743,26.088131594446185,24.522468405553816,1.2653120000188414,58.94039735099338,462355.75,2.08727904040404,-0.9166472461741518,-0.634908269388057,-0.0194874378531853
2014-03-25,25.472,26.012,25.472,25.964,350654,0,1.779694237553886,25.635,25.5753,25.3618,25.563975839576152,26.16427475120142,24.559325248798576,1.3467208633122771,64.56364647026125,459063.85,2.119974874371856,1.931532663316572,0.0,0.0176404310175019
2014-03-26,25.929,26.1,25.665,25.819,242676,0,-0.5584655677091321,25.7334,25.5907,25.4056,25.588263854854613,26.207454009550105,24.603745990449895,1.3022977470764991,58.756898054022635,412757.1,1.6949152542372972,-0.4242354120868504,0.6000389635690606,-0.0056003081696634
2014-03-27,25.699,26.046,25.69,25.864,342416,0,0.1742902513652833,25.833800000000004,25.6116,25.46035,25.614524440106553,26.227988422285136,24.69271157771486,1.3021079188729447,56.186362233878434,400753.0,1.385753211366283,0.642048328728741,0.8146560124731916,0.0017413854215733
2014-03-28,25.727,26.15,25.727,26.064,217206,0,0.7732755954221959,25.8442,25.6654,25.5269,25.65733163628688,26.258991998820395,24.794808001179607,1.3002185019985877,56.050758279170566,386156.85,1.6441870408520165,1.3099078788821072,2.10765494006111,0.0077030114365572
