Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2006-06-14,8.0,8.0,8.0,8.0,0,0,,,,,8.0,,,,,,0.0,0.0,,
2006-06-15,9.0,9.5,8.25,8.85,2449687,0,10.624999999999996,,,,8.08095238095238,,,,,,15.151515151515152,-1.6666666666666703,,0.1009759173400021
2006-06-16,8.85,9.1,8.25,8.58,505077,0,-3.050847457627115,,,,8.128480725623582,,,,,,10.3030303030303,-3.050847457627114,,-0.0309835455199672
2006-06-19,8.63,9.0,8.24,8.5,242282,0,-0.932400932400934,,,,8.163863513659432,,,,,,9.223300970873783,-1.5063731170336123,,-0.0093677500036001
2006-06-20,8.61,8.88,8.26,8.41,36688,0,-1.0588235294117676,8.468,,,8.187305083787106,,,,,,7.506053268765145,-2.3228803716608515,,-0.0106446895114141
2006-06-21,8.58,8.69,8.4,8.51,142202,0,1.189060642092743,8.57,,,8.218037932950239,,,,,,3.4523809523809423,-0.8158508158508191,,0.011820468600426
2006-06-22,8.59,9.17,8.5,8.9,231937,0,4.582843713278506,8.58,,,8.282986701240691,,,,,,7.882352941176469,3.608847497089645,,0.0448093341528114
2006-06-23,8.99,8.99,8.62,8.9,64933,0,0.0,8.644,,,8.341749872551102,,,,,,4.292343387471009,-1.0011123470522787,,0.0
2006-06-26,8.8,8.99,8.75,8.99,42037,0,1.011235955056189,8.742,,,8.403487979927187,,,,,,2.742857142857145,2.1590909090909034,,0.0100615717454348
2006-06-27,8.6,8.98,8.6,8.97,26857,0,-0.2224694104560609,8.854,8.661,,8.457441505648408,,,,,,4.418604651162799,4.302325581395361,,-0.0022271724128241
2006-06-28,8.49,9.0,8.49,8.84,43993,0,-1.449275362318847,8.92,8.745000000000001,,8.493875647967608,,,3.920611202236252,,,6.007067137809185,4.122497055359242,10.499999999999998,-0.0145987994211527
2006-06-29,8.74,8.9,8.55,8.72,185315,0,-1.3574660633484117,8.884,8.732000000000001,,8.515411300542121,,,2.0699904340695876,,,4.093567251461984,-0.2288329519450752,-1.4689265536723006,-0.0136676387286637
2006-06-30,8.81,8.81,8.51,8.68,20994,0,-0.4587155963302836,8.84,8.742,,8.531086414776205,,,1.8093088188898487,,,3.5252643948296205,-1.4755959137344017,1.1655011655011591,-0.0045977092486295
2006-07-03,8.55,8.84,8.53,8.59,12186,0,-1.0368663594470084,8.76,8.751000000000001,,8.536697232416566,,,1.8164146316706116,62.99559471365639,,3.634232121922632,0.4678362573099314,1.0588235294117565,-0.0104227926760948
2006-07-05,8.45,8.74,8.39,8.52,21613,0,-0.8149010477299212,8.67,8.762,,8.535107019805464,,,1.8003933979710514,61.1111111111111,,4.171632896305121,0.8284023668639088,1.3079667063020215,-0.0081823951549396
2006-07-06,8.5,8.73,8.47,8.47,16415,0,-0.5868544600938885,8.596,8.758000000000001,,8.528906351252562,,,1.773276335744332,37.66233766233769,,3.0696576151121575,-0.3529411764705807,-0.4700352526439411,-0.0058858321772612
2006-07-07,8.58,8.58,8.17,8.25,29870,0,-2.59740259740261,8.501999999999999,8.693000000000001,,8.502343841609461,,,0.9667580059065376,38.92617449664429,,5.018359853121177,-3.846153846153847,-7.303370786516861,-0.0263173083173735
2006-07-10,9.0,9.0,8.2,8.2,17302,0,-0.60606060606061,8.406,8.623,,8.473549190027608,,,0.9328293744222912,39.72602739726025,,9.75609756097562,-8.888888888888896,-7.86516853932585,-0.0060790460763822
2006-07-11,8.39,8.39,7.12,7.75,310742,0,-5.487804878048774,8.238,8.498999999999999,,8.404639743358311,,,1.568733957451132,31.86813186813187,,17.837078651685403,-7.628128724672235,-13.793103448275868,-0.0564413109049517
2006-07-12,7.88,8.15,7.5,8.14,33575,0,5.032258064516126,8.162,8.416,8.5385,8.379435958276568,9.21733103858572,7.859668961414281,2.582500442971567,41.23222748815168,221685.25,8.666666666666671,3.2994923857868104,-9.253065774804902,0.0490973366491932
2006-07-13,8.18,8.42,7.83,8.05,43932,0,-1.1056511056511065,8.078,8.337,8.541,8.348061105107371,9.211801562939522,7.870198437060479,2.577197255919412,26.51933701657461,223881.85,7.535121328224774,-1.589242053789719,-8.936651583710397,-0.0111180885839769
2006-07-14,8.26,8.26,7.6,7.65,30041,0,-4.968944099378891,7.958000000000001,8.23,8.481,8.281579095097145,9.243789893124331,7.718210106875667,2.8830193577923615,21.719457013574683,102899.55,8.684210526315791,-7.384987893462464,-12.27064220183487,-0.0509664435920276
2006-07-17,7.5,7.63,7.24,7.5,90990,0,-1.9607843137254943,7.818,8.112,8.427,8.20714299080218,9.304558814943029,7.549441185056972,2.875573969068291,17.180616740088112,82195.2,5.386740331491708,0.0,-13.594470046082952,-0.0198026272961797
2006-07-18,7.55,7.63,7.0,7.1,32428,0,-5.333333333333334,7.688,7.963000000000001,8.357,8.101700801201972,9.414864780932252,7.299135219067748,3.123376329633646,14.716981132075489,71702.5,8.999999999999998,-5.960264900662255,-17.34575087310827,-0.054808236494995
2006-07-19,6.9,7.1,6.8,6.91,193960,0,-2.6760563380281654,7.442,7.802000000000001,8.282,7.988205486801784,9.52119498486974,7.04280501513026,3.110736192575044,14.39114391143913,79566.1,4.411764705882351,0.1449275362318809,-18.896713615023465,-0.0271251462676911
2006-07-20,7.0,7.29,6.65,6.65,305456,0,-3.762662807525319,7.162000000000001,7.619999999999999,8.189,7.860757345201613,9.620420347251748,6.757579652748252,3.1092503841674612,13.684210526315796,87728.8,9.624060150375936,-4.999999999999995,-21.48760330578513,-0.0383527831118156
2006-07-21,7.21,7.21,6.29,6.35,302615,0,-4.511278195488733,6.901999999999999,7.43,8.061499999999999,7.71687569327765,9.66962771160816,6.4533722883918365,3.184396160053461,12.540192926045023,91262.7,14.62639109697933,-11.927877947295428,-23.030303030303035,-0.0461620417631626
2006-07-24,6.29,7.49,6.25,7.17,26998,0,12.913385826771664,6.836,7.327000000000001,7.975,7.664792293917874,9.579329668182485,6.3706703318175135,5.849973028313841,31.51041666666669,89365.95,19.840000000000003,13.990461049284578,-12.560975609756088,0.1214508417069287
2006-07-25,7.55,7.64,6.74,6.95,92105,0,-3.0683403068340276,6.806,7.247000000000002,7.872999999999999,7.5967168373542675,9.4649679975625,6.281032002437499,5.70041304923076,30.32581453634087,91869.35,13.35311572700296,-7.947019867549663,-10.322580645161285,-0.0311639950348281
2006-07-26,6.9,7.37,6.9,7.18,36719,0,3.3093525179856087,6.860000000000001,7.151000000000001,7.783499999999999,7.557029519511004,9.315945929328596,6.251054070671402,5.522986335228821,34.53237410071942,92362.45,6.811594202898546,4.057971014492744,-11.793611793611802,0.032557723483432
2006-07-27,7.2,7.48,7.0,7.27,58545,0,1.253481894150421,6.984,7.073,7.705000000000001,7.52969337479567,9.16888811766905,6.2411118823309515,5.5736505453753455,37.871287128712865,93090.05,6.857142857142863,0.9722222222222138,-9.689440993788834,0.0124569084852952
2006-07-28,7.37,7.55,7.3,7.55,36255,0,3.851444291609352,7.223999999999999,7.063,7.646499999999999,7.531627339100845,9.030959233210227,6.262040766789771,5.552642375482939,42.38875878220141,85637.05,3.4246575342465753,2.4423337856173637,-1.3071895424836666,0.0377912717155053
2006-07-31,7.64,7.79,7.37,7.75,66781,0,2.6490066225165476,7.340000000000001,7.087999999999999,7.6,7.552424735376954,8.89807955315373,6.301920446846269,5.562973401422534,50.0,87926.4,5.69877883310719,1.4397905759162346,3.3333333333333437,0.0261452801043222
