Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2005-02-25,4.9709,4.9709,4.9709,4.9709,5216,0,,,,,4.9709,,,,,,0.0,0.0,,
2005-03-02,5.1737,5.1737,5.1737,5.1737,43494,0,4.079744110724404,,,,4.990214285714286,,,,,,0.0,0.0,,0.0399871896305497
2005-03-03,5.1179,5.1179,5.1132,5.1179,130483,0,-1.078531805091143,,,,5.002374829931973,,,,,,0.0919189548619202,0.0,,-0.0108439011996827
2005-03-07,5.2141,5.2141,5.2141,5.2141,43494,0,1.8796772113562232,,,,5.022539131843213,,,,,,0.0,0.0,,0.0186222957961612
2005-03-11,5.2373,5.2373,5.2373,5.2373,85678,0,0.4449473542893267,5.14278,,,5.042992547858145,,,,,,0.0,0.0,,0.0044396039011323
2005-03-14,5.2373,5.2373,5.2373,5.2373,43494,0,0.0,5.19606,,,5.061498019490703,,,,,,0.0,0.0,,0.0
2005-03-22,5.4766,5.4766,5.4676,5.4766,8695,0,4.569148225230557,5.25664,,,5.1010315414439695,,,,,,0.1646060428707356,0.0,,0.0446783720908144
2005-03-28,5.3982,5.3982,5.3982,5.3982,2311,0,-1.4315451192345674,5.3127,,,5.1293332994016865,,,,,,0.0,0.0,,-0.0144189057834518
2005-04-08,5.4031,5.4031,5.4031,5.4031,2205,0,0.0907709977399973,5.3505,,,5.155406318506288,,,,,,0.0,0.0,,0.0009072982578275
2005-04-18,5.2788,5.2788,5.2788,5.2788,30012,0,-2.300531176546794,5.3588000000000005,5.25079,,5.1671580976961655,,,,,,0.0,0.0,,-0.0232740637662811
2005-04-19,5.2739,5.2739,5.2739,5.2739,20007,0,-0.0928241266954676,5.36612,5.281090000000001,,5.177323993153673,,,2.260256364246384,,,0.0,0.0,6.095475668390038,-0.000928672349666
2005-04-26,5.2373,5.2373,5.2373,5.2373,54801,0,-0.6939835795142124,5.31826,5.287450000000001,,5.183035993805705,,,1.9269818815332604,,,0.0,0.0,1.2292943154802227,-0.006964028449243
