Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2005-02-25,24.47,24.59,24.26,24.59,494965,0,,,,,24.59,,,,,,1.3602638087386574,0.4903964037597098,,
2005-02-28,24.21,24.88,24.21,24.45,1215843,0,-0.5693371289141935,,,,24.576666666666668,,,,,,2.7674514663362166,0.991325898389089,,-0.0057096403072201
2005-03-01,24.49,24.63,24.31,24.51,1240125,0,0.2453987730061335,,,,24.57031746031746,,,,,,1.3163307280954353,0.0816659861167951,,0.0024509816191401
2005-03-02,24.53,25.75,24.53,25.25,2922720,0,3.019175846593214,,,,24.635049130763417,,,,,,4.973501834488377,2.9351814105177287,,0.0297449581813474
2005-03-03,25.65,25.69,24.61,24.95,3801042,0,-1.1881188118811892,24.75,,,24.66504445164309,,,,,,4.388459975619675,-2.72904483430799,,-0.0119523335238411
2005-03-04,25.93,26.38,25.18,26.35,7115202,0,5.611222444889785,25.101999999999997,,,24.825516408629465,,,,,,4.765687053216836,1.6197454685692316,,0.0545944527898437
2005-03-07,26.41,27.28,26.25,27.14,3494056,0,2.9981024667931733,25.640000000000004,,,25.045943417331426,,,,,,3.923809523809528,2.764104505868991,,0.0295403794193517
2005-03-08,27.07,27.37,26.72,27.0,2316574,0,-0.5158437730287457,26.138,,,25.23204404425224,,,,,,2.4326347305389304,-0.2585888437384568,,-0.005171788402394
2005-03-09,26.92,27.63,26.83,27.01,2330025,0,0.0370370370370354,26.49,,,25.401373182894883,,,,,,2.9817368617219557,0.3343239227340262,,0.0003703018001951
2005-03-10,27.08,27.25,26.59,27.16,1377856,0,0.5553498704183646,26.932,25.841,,25.568861451190607,,,,,,2.4821361414065444,0.295420974889224,,0.0055381348859711
2005-03-11,27.07,27.32,26.69,26.78,1474941,0,-1.3991163475699508,27.018,26.06,,25.684207979648644,,,2.2653437587292284,,,2.360434619707752,-1.0712966383450282,8.90605937372917,-0.0140899624274688
2005-03-14,26.87,27.27,26.81,26.9,1038423,0,0.4480955937266495,26.97,26.305,,25.799997695872584,,,2.2153438351404677,,,1.71577769488997,0.1116486788239582,10.020449897750506,0.0044709463447668
2005-03-15,26.96,27.99,26.75,26.9,2741127,0,0.0,26.95,26.544,,25.904759820075196,,,2.225734048851379,,,4.635514018691582,-0.2225519287833912,9.75112199102406,0.0
2005-03-16,26.8,27.04,26.43,26.5,1686186,0,-1.4869888475836368,26.848000000000003,26.669,,25.961449361020417,,,2.217889326721078,70.62634989200865,,2.3079833522512274,-1.1194029850746294,4.950495049504955,-0.0149815536156168
2005-03-17,26.43,27.47,26.43,26.73,2115976,0,0.8679245283018888,26.762,26.847,,26.03464465997085,,,2.13722624105909,72.0164609053498,,3.934922436625045,1.1350737797956896,7.134268537074151,0.0086417971586511
2005-03-18,26.91,27.59,26.85,27.33,2126898,0,2.244668911335568,26.872000000000003,26.945,,26.158011835211724,,,1.4267332475755854,77.06766917293234,,2.756052141526996,1.560758082497206,3.719165085388987,0.0221984697891489
2005-03-21,27.37,27.87,27.23,27.61,2085010,0,1.0245151847786405,27.014,26.992,,26.296296422334414,,,1.1289869811235786,77.9783393501805,,2.3503488799118637,0.8768724881256793,1.7317612380250536,0.0101930260020865
2005-03-22,26.19,27.71,26.07,27.17,4205818,0,-1.5936254980079556,27.068,27.008999999999997,,26.379506286874,,,1.2477375725889073,68.32061068702293,,6.290755657844267,3.7418862161130217,0.6296296296296466,-0.0160646025038065
2005-03-23,27.07,27.43,26.49,26.59,1615180,0,-2.1347073978652986,27.086,26.967,,26.39955330717171,,,1.4297906954781294,64.85507246376812,,3.5485088712721833,-1.7731806427779846,-1.5549796371714275,-0.0215782181833279
2005-03-24,26.71,27.03,26.65,26.7,1143114,0,0.4136893569010924,27.08,26.921,26.381,26.42816727791726,28.41955366685098,24.34244633314902,1.422738880480658,54.137115839243485,2327054.05,1.4258911819887528,-0.0374391613627913,-1.6936671575846884,0.0041283601512754
2005-03-28,26.79,27.06,26.37,26.73,1034862,0,0.1123595505617913,26.96,26.916000000000004,26.488,26.45691325144895,28.347525689382557,24.62847431061744,1.3553468925964347,44.092219020172905,2354048.9,2.61660978384527,-0.2239641657334778,-0.1867064973861132,0.0011229647446237
2005-03-29,26.77,27.03,25.86,25.89,1727245,0,-3.142536475869806,26.616000000000003,26.815,26.559999999999995,26.402921513215716,28.18384857992557,24.93615142007442,1.6614396148866324,36.69064748201437,2379619.0,4.5243619489559235,-3.287261860291367,-3.75464684014869,-0.0319297363873813
2005-03-30,26.01,26.81,26.01,26.74,1272189,0,3.283120896098879,26.53,26.799,26.6715,26.435024226242792,27.97787747426352,25.36512252573647,2.0267779215118447,47.30538922155685,2381222.2,3.0757400999615423,2.806612841214905,-0.5947955390334547,0.0323037779103508
2005-03-31,26.71,26.78,25.9,26.07,1515424,0,-2.505609573672396,26.426,26.756,26.7125,26.40026001421967,27.874528625428724,25.550471374571273,2.130461468828039,40.14466546112114,2310857.4,3.397683397683408,-2.396106327218272,-1.622641509433964,-0.0253753437283867
2005-04-01,26.31,26.35,25.27,25.99,1658665,0,-0.3068661296509511,26.284,26.682,26.7645,26.361187631913033,27.656038587292525,25.872961412707472,2.1007040596420388,42.44741873804968,2203738.55,4.273842500989323,-1.216267578867352,-2.7684249906472225,-0.0030733792920115
2005-04-04,25.93,26.49,25.69,26.29,882595,0,1.1542901115813908,26.196000000000005,26.577999999999996,26.7615,26.354407857445125,27.65929320089814,25.863706799101863,1.9811188486703737,44.36229205175601,1892108.2,3.114052160373675,1.3883532587736191,-3.805342114892052,0.011476790088391
2005-04-05,26.35,26.48,25.93,26.17,841398,0,-0.4564473183719997,26.252,26.434000000000005,26.713,26.33684520435511,27.629310680477904,25.7966893195221,1.9197318665883991,43.399638336347216,1759475.3,2.121095256459702,-0.6831119544592019,-5.215501629844255,-0.0045749221997353
2005-04-06,26.28,26.49,26.03,26.07,878736,0,-0.3821169277799074,26.118,26.324,26.666500000000003,26.31143137536891,27.615300350581272,25.717699649418737,1.882143104883277,45.88910133843212,1687583.4,1.767191701882433,-0.7990867579908708,-4.048582995951422,-0.0038284885966441
2005-04-07,26.07,26.77,26.05,26.55,993795,0,1.8411967779056404,26.214,26.32,26.6435,26.33415219676235,27.579454902197405,25.70754509780259,1.8940598515350016,48.35766423357664,1620771.9,2.763915547024948,1.8411967779056404,-0.150432493418573,0.0182445197425374
2005-04-08,26.55,26.89,26.43,26.52,473230,0,-0.1129943502824915,26.32,26.302,26.6115,26.351851987546887,27.516347181049163,25.706652818950836,1.88862739447658,41.75152749490836,1575540.6,1.7404464623533895,-0.1129943502824901,-0.6741573033707815,-0.0011305823702861
2005-04-11,26.58,26.71,26.44,26.51,761245,0,-0.0377073906485558,26.363999999999997,26.28,26.598000000000003,26.36691370301861,27.500315150919533,25.69568484908047,1.8877762073202884,38.14655172413795,1539855.8,1.0211800302571843,-0.2633559066967522,-0.8230452674897082,-0.0003771450167274
2005-04-12,26.56,26.63,26.05,26.44,706822,0,-0.2640513013956957,26.418,26.335,26.575,26.373874302731124,27.468308457365083,25.681691542634915,1.557138951993246,41.45199063231849,1523275.75,2.226487523992316,-0.451807228915653,2.1243723445345752,-0.0026440053174485
2005-04-13,26.4,26.42,25.42,25.8,786050,0,-2.4205748865355536,26.364000000000004,26.241000000000003,26.52,26.319219607232924,27.46311912514301,25.57688087485699,1.3405415708496418,40.877598152424945,1425521.9,3.933910306845003,-2.272727272727265,-3.5153328347045543,-0.0245035230559138
