Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns
2005-02-25,12.98,13.01,12.66,12.66,11199,0,,,,,12.66,,,,,,2.7646129541864113,-2.465331278890603,,
2005-02-28,12.59,12.95,12.42,12.79,11199,0,1.0268562401263726,,,,12.672380952380951,,,,,,4.2673107890499145,1.588562351072274,,0.010216198874721
2005-03-01,12.82,13.03,12.8,13.03,12533,0,1.8764659890539548,,,,12.706439909297051,,,,,,1.7968749999999891,1.6380655226208976,,0.0185907755460024
2005-03-02,13.1,13.1,12.97,13.04,2933,0,0.0767459708365336,,,,12.738207536983047,,,,,,1.0023130300693832,-0.4580152671755763,,0.0007671653617531
2005-03-03,13.1,13.1,12.76,12.79,8399,0,-1.917177914110435,12.862,,,12.743140152508472,,,,,,2.664576802507836,-2.3664122137404617,,-0.0193579409077556
2005-03-04,12.75,13.27,12.75,13.1,7466,0,2.423768569194684,12.95,,,12.77712680465052,,,,,,4.078431372549017,2.7450980392156836,,0.0239486146163545
2005-03-07,13.23,13.29,13.13,13.15,6533,0,0.3816793893129722,13.022,,,12.812638537540948,,,,,,1.218583396801206,-0.6046863189720338,,0.0038095284166676
2005-03-08,13.15,13.22,13.01,13.01,3999,0,-1.0646387832699666,13.018,,,12.831434867298952,,,,,,1.6141429669485077,-1.0646387832699662,,-0.0107034660993596
2005-03-09,12.84,12.84,12.31,12.32,11333,0,-5.303612605687924,12.874,,,12.782726784699053,,,,,,4.305442729488215,-4.049844236760122,,-0.0544943344190401
2005-03-10,12.22,12.74,12.13,12.74,5999,0,3.409090909090917,12.864,12.863,,12.778657567108668,,,,,,5.0288540807914215,4.255319148936167,,0.0335226920386436
2005-03-11,12.75,12.88,12.49,12.49,13466,0,-1.9623233908948157,12.742,12.846,,12.751166370241174,,,2.5582289323653775,,,3.1224979983987233,-2.0392156862745083,-1.3428120063191162,-0.0198183260065309
2005-03-14,12.57,13.01,12.56,12.82,3999,0,2.642113690952752,12.676,12.849,,12.75772195402773,,,2.6854849148764934,,,3.582802547770695,1.988862370723946,0.2345582486317443,0.0260781273550375
2005-03-15,12.82,12.82,12.57,12.59,3733,0,-1.7940717628705194,12.592000000000002,12.804999999999998,,12.741748434596518,,,2.6597702016485076,,,1.988862370723946,-1.794071762870518,-3.3768227168073595,-0.0181036034362682
2005-03-16,12.59,12.68,12.48,12.48,3599,0,-0.8737092930897528,12.624,12.749,,12.716820012253994,,,2.6613625423635536,47.15189873417722,,1.6025641025640969,-0.8737092930897493,-4.294478527607348,-0.0087754851149741
2005-03-17,12.41,12.41,12.17,12.35,14666,0,-1.041666666666674,12.546,12.705,,12.681884772991708,,,2.620203994597252,45.28875379939209,,1.9720624486442089,-0.4834810636583441,-3.4401876465989023,-0.0104712998672954
2005-03-18,12.26,13.24,12.23,12.63,20666,0,2.267206477732797,12.574000000000002,12.658,,12.676943366040115,,,2.602406188196611,47.67441860465119,,8.258381030253473,3.0179445350734175,-3.5877862595419807,0.0224188732884135
2005-03-21,12.48,12.48,11.8,11.87,21733,0,-6.017418844022182,12.384,12.53,,12.600091616893438,,,3.1384170752861804,35.35353535353538,,5.762711864406777,-4.8878205128205225,-9.733840304182518,-0.0620607277408232
2005-03-22,11.73,11.98,11.26,11.78,49466,0,-0.7582139848357206,12.222,12.407,,12.521987653379778,,,3.1389286002231,34.40594059405943,,6.394316163410307,0.4262574595055323,-9.454265949269791,-0.007611030398136
2005-03-23,11.78,11.8,11.27,11.27,8799,0,-4.329371816638372,11.98,12.302,,12.402750734010276,,,3.0006299294001377,32.32558139534886,,4.702750665483595,-4.329371816638369,-8.522727272727282,-0.0442588501717557
